ORDER,FAMILY,GENUS,SPECIES,SP.CODE,COLLECTED,ENDEMIC,EXOTIC,AUTH,FIA.CODE,COMMENT
LAURALES,LAURACEAE,OCOTEA,LEUCOXYLON,OCOLEU,YES,NO,NO,(Sw.) Laness.,687,
LAURALES,LAURACEAE,OCOTEA,MOSCHATA,OCOMOS,YES,YES,NO,(Meisn.) Mez,688,
LAURALES,LAURACEAE,OCOTEA,PORTORICENSIS,OCOPOR,HERBARIUM,YES,NO,Mez,689,
LAURALES,LAURACEAE,OCOTEA,SPATHULATA,OCOSPA,YES,NO,NO,Mez,690,
LAURALES,LAURACEAE,OCOTEA,WRIGHTII,OCOWRI,YES,NO,NO,(Meisn.) Mez,691,
LAURALES,LAURACEAE,PERSEA,AMERICANA,PERAME,NO,NO,YES,Mill.,,
MYRTALES,LYTHRACEAE,GINORIA,ROHRII,GINROH,YES,NO,NO,(Vahl) Koehne,421,
MAGNOLIALES,MAGNOLIACEAE,MAGNOLIA,PORTORICENSIS,MAGPOR,GENEBANK,YES,NO,Bello,561,
MAGNOLIALES,MAGNOLIACEAE,MAGNOLIA,SPLENDENS,MAGSPL,YES,YES,NO,Urb.,562,
MALPIGHIALES,MALPIGHIACEAE,BUNCHOSIA,GLANDULOSA,BUNGLA,YES,NO,NO,(Cav.) DC.,98,
MALPIGHIALES,MALPIGHIACEAE,BYRSONIMA,CRASSIFOLIA,BYRCRA,GENEBANK,NO,NO,(L.) Kunth,104,
MALPIGHIALES,MALPIGHIACEAE,BYRSONIMA,LUCIDA,BYRLUC,YES,NO,NO,(Mill.) DC.,105,
MALPIGHIALES,MALPIGHIACEAE,BYRSONIMA,SPICATA,BYRSPI,YES,NO,NO,(Cav.) DC.,108,
MALPIGHIALES,MALPIGHIACEAE,BYRSONIMA,WADSWORTHII,BYRWAD,YES,YES,NO,Little,112,
MALPIGHIALES,MALPIGHIACEAE,MALPIGHIA,COCCIGERA,MALCOC,YES,NO,NO,L.,565,
MALPIGHIALES,MALPIGHIACEAE,MALPIGHIA,EMARGINATA,MALEMA,HERBARIUM,NO,NO,Sessé & Moc. ex DC.,567,
MALPIGHIALES,MALPIGHIACEAE,MALPIGHIA,FUCATA,MALFUC,YES,YES,NO,Ker Gawl.,566,
MALPIGHIALES,MALPIGHIACEAE,MALPIGHIA,INFESTISSIMA,MALINF,HERBARIUM,NO,NO,Rich. ex Nied.,569,
MALPIGHIALES,MALPIGHIACEAE,MALPIGHIA,LINEARIS,MALLIN,YES,NO,NO,Jacq.,NA,Offshore islands only
MALVALES,MALVACEAE,BASTARDIOPSIS,EGGERSII,BASEGG,YES,NO,NO,(Baker f.) Fuertes & Fryxell,NA,
MALVALES,MALVACEAE,CEIBA,PENTANDRA,CEIPEN,YES,NO,NO,(L.) Gaertn.,171,
MALVALES,MALVACEAE,CORCHORUS,HIRSUTUS,CORHIR,YES,NO,NO,L.,NA,
MALVALES,MALVACEAE,GOSSYPIUM,HIRSUTUM,GOSHIR,GENEBANK,NO,NO,L.,456,
MALVALES,MALVACEAE,GUAZUMA,ULMIFOLIA,GUAULM,YES,NO,NO,Lam.,253,
MALVALES,MALVACEAE,HELICTERES,JAMAICENSIS,HELJAM,YES,NO,NO,Jacq.,463,
MALVALES,MALVACEAE,HIBISCUS,ELATUS,HIBELA,YES,NO,YES,Sw.,,
MALVALES,MALVACEAE,HIBISCUS,TILIACEUS,HIBTIL,YES,NO,NO,L.,NA,
MALVALES,MALVACEAE,MELOCHIA,TOMENTOSA,MELTOM,HERBARIUM,NO,NO,L.,597,
MALVALES,MALVACEAE,OCHROMA,PYRAMIDALE,OCHPYR,YES,NO,NO,(Cav. ex Lam.) Urb.,682,
MALVALES,MALVACEAE,PAVONIA,PALUDICOLA,PAVPAL,YES,NO,NO,Nicolson ex Fryxell,NA,
MALVALES,MALVACEAE,QUARARIBEA,TURBINATA,QUATUR,YES,NO,NO,(Sw.) Poir.,799,
MALVALES,MALVACEAE,STERCULIA,APETALA,STEAPE,YES,NO,NAT,(Jacq.) H. Karst.,NA,
MALVALES,MALVACEAE,THESPESIA,GRANDIFLORA,THEGRA,YES,YES,NO,DC.,628,
MALVALES,MALVACEAE,THESPESIA,POPULNEA,THEPOP,GENEBANK,NO,NO,(L.) Sol. ex Corrêa,938,
MYRTALES,MELASTOMATACEAE,CLIDEMIA,EGGERSII,CLIEGG,YES,NO,NO,(Cogn.) F.S. Axelrod,476,
MYRTALES,MELASTOMATACEAE,CLIDEMIA,HIRTA,CLIHIR,YES,NO,NO,(L.) D. Don,202,
MYRTALES,MELASTOMATACEAE,HENRIETTEA,FASCICULARIS,HENFAS,YES,NO,NO,(Sw.) Gómez,468,
MYRTALES,MELASTOMATACEAE,HENRIETTEA,MACFADYENII,HENMAC,YES,NO,NO,(Triana) Alain,469,
MYRTALES,MELASTOMATACEAE,HENRIETTEA,SQUAMULOSA,HENSQU,YES,YES,NO,(Cogn.) Judd,121,
MYRTALES,MELASTOMATACEAE,MECRANIUM,LATIFOLIUM,MECLAT,YES,NO,NO,(Cogn.) Skean,588,
MYRTALES,MELASTOMATACEAE,MICONIA,AFFINIS,MICAFF,YES,NO,NO,DC.,609,
MYRTALES,MELASTOMATACEAE,MICONIA,CALYCINA,MICCAL,YES,NO,NO,Cogn.,618,
MYRTALES,MELASTOMATACEAE,MICONIA,FOVEOLATA,MICFOV,YES,YES,NO,Cogn.,605,
MYRTALES,MELASTOMATACEAE,MICONIA,IMPETIOLARIS,MICIMP,YES,NO,NO,(Sw.) D. Don,606,
MYRTALES,MELASTOMATACEAE,MICONIA,LAEVIGATA,MICLAE,YES,NO,NO,(L.) D. Don,607,
MYRTALES,MELASTOMATACEAE,MICONIA,MIRABILIS,MICMIR,YES,NO,NO,(Aubl.) L.O. Williams,917,
MYRTALES,MELASTOMATACEAE,MICONIA,PACHYPHYLLA,MICPAC,YES,YES,NO,Cogn.,611,
MYRTALES,MELASTOMATACEAE,MICONIA,PRASINA,MICPRA,YES,NO,NO,(Sw.) DC.,612,
MYRTALES,MELASTOMATACEAE,MICONIA,PYCNONEURA,MICPYC,YES,YES,NO,Urb.,614,
MYRTALES,MELASTOMATACEAE,MICONIA,RACEMOSA,MICRAC,YES,NO,NO,(Aubl.) DC.,615,
MYRTALES,MELASTOMATACEAE,MICONIA,RUBIGINOSA,MICRUB,HERBARIUM,NO,NO,(Bonpl.) DC.,616,
MYRTALES,MELASTOMATACEAE,MICONIA,SERRULATA,MICSER,YES,NO,NO,(DC.) Naudin,918,
MYRTALES,MELASTOMATACEAE,MICONIA,SINTENISII,MICSIN,YES,YES,NO,Cogn.,617,
MYRTALES,MELASTOMATACEAE,MICONIA,TETRANDRA,MICTET,YES,NO,NO,(Sw.) D. Don ex G. Don,619,
MYRTALES,MELASTOMATACEAE,MICONIA,TETRASTOMA,MICTRA,YES,NO,NO,Naudin,NA,
MYRTALES,MELASTOMATACEAE,MICONIA,THOMASIANA,MICTHO,YES,NO,NO,DC.,620,
MYRTALES,MELASTOMATACEAE,MOURIRI,DOMINGENSIS,MOUDOM,HERBARIUM,NO,NO,(Tussac) Spach,636,
MYRTALES,MELASTOMATACEAE,MOURIRI,HELLERI,MOUHEL,YES,YES,NO,Britton,629,
MYRTALES,MELASTOMATACEAE,OSSAEA,KRUGIANA,OSSKRU,YES,YES,NO,Cogn.,652,
MYRTALES,MELASTOMATACEAE,TETRAZYGIA,ANGUSTIFOLIA,TETANG,YES,NO,NO,(Sw.) DC.,934,
MYRTALES,MELASTOMATACEAE,TETRAZYGIA,BIFLORA,TETBIF,YES,YES,NO,(Cogn.) Urb.,599,
MYRTALES,MELASTOMATACEAE,TETRAZYGIA,CROTONIFOLIA,TETCRO,YES,NO,NO,(Desr.) DC.,NA,
MYRTALES,MELASTOMATACEAE,TETRAZYGIA,ELAEAGNOIDES,TETELA,YES,NO,NO,(Sw.) DC.,935,
MYRTALES,MELASTOMATACEAE,TETRAZYGIA,URBANII,TETURB,YES,YES,NO,Cogn.,601,
SAPINDALES,MELIACEAE,CEDRELA,ODORATA,CEDODO,GENEBANK,NO,NO,L.,169,
SAPINDALES,MELIACEAE,GUAREA,GLABRA,GUAGLA,YES,NO,NO,Vahl,435,
SAPINDALES,MELIACEAE,GUAREA,GUIDONIA,GUAGUI,YES,NO,NO,(L.) Sleumer,436,
SAPINDALES,MELIACEAE,MELIA,AZEDARACH,MELAZE,GENEBANK,NO,NAT,L.,NA,
SAPINDALES,MELIACEAE,SWIETENIA,MACROPHYLLA,SWIMAC,YES,NO,NO,G. King,NA,
SAPINDALES,MELIACEAE,SWIETENIA,MAHOGANI,SWIMAH,YES,NO,YES,(L.) Jacq.,NA,
SAPINDALES,MELIACEAE,TRICHILIA,HIRTA,TRIHIR,YES,NO,NO,L.,954,
SAPINDALES,MELIACEAE,TRICHILIA,PALLIDA,TRIPAL,YES,NO,NO,Sw.,955,
SAPINDALES,MELIACEAE,TRICHILIA,TRIACANTHA,TRITRI,YES,YES,NO,Urb.,956,T&E
ROSALES,MORACEAE,ARTOCARPUS,ALTILIS,ARTALT,YES,NO,YES,(Parkinson) Fosberg,,
ROSALES,MORACEAE,CASTILLA,ELASTICA,CASELA,GENEBANK,NO,NAT,Cerv.,NA,
ROSALES,MORACEAE,FICUS,AMERICANA,FICAME,YES,NO,NO,Aubl.,409,
ROSALES,MORACEAE,FICUS,CITRIFOLIA,FICCIT,YES,NO,NO,Mill.,407,
ROSALES,MORACEAE,FICUS,CRASSINERVIA,FICCRA,YES,NO,NO,Desf. ex Willd.,422,
ROSALES,MORACEAE,FICUS,TRIGONATA,FICTRI,YES,NO,NO,L.,405,
ROSALES,MORACEAE,MACLURA,TINCTORIA,MACTIN,HERBARIUM,NO,NO,(L.) D. Don ex Steud.,182,
ROSALES,MORACEAE,PSEUDOLMEDIA,SPURIA,PSESPU,YES,NO,NO,(Sw.) Griseb.,788,
ROSALES,MORACEAE,TROPHIS,RACEMOSA,TRORAC,YES,NO,NO,(L.) Urb.,960,
MALVALES,MUNTINGIACEAE,MUNTINGIA,CALABURA,MUNCAL,YES,NO,NO,L.,1029,
FAGALES,MYRICACEAE,MYRICA,CERIFERA,MYRCER,GENEBANK,NO,NO,L.,649,
FAGALES,MYRICACEAE,MYRICA,HOLDRIDGEANA,MYRHOL,HERBARIUM,YES,NO,Lundell,650,
MYRTALES,MYRTACEAE,CALYPTRANTHES,KRUGII,CALKRU,YES,YES,NO,Kiaersk.,123,
MYRTALES,MYRTACEAE,CALYPTRANTHES,LUQUILLENSIS,CALLUQ,YES,YES,NO,Alain,1020,
MYRTALES,MYRTACEAE,CALYPTRANTHES,PALLENS,CALPAL,HERBARIUM,NO,NO,Griseb.,122,
MYRTALES,MYRTACEAE,CALYPTRANTHES,SINTENISII,CALSIN,YES,NO,NO,Kiaersk.,125,
MYRTALES,MYRTACEAE,CALYPTRANTHES,WOODBURYI,CALWOO,YES,YES,NO,Alain,NA,
MYRTALES,MYRTACEAE,CALYPTRANTHES,ZUZYGIUM,CALZUZ,HERBARIUM,NO,NO,(L.) Sw.,129,Tissue from DR
MYRTALES,MYRTACEAE,EUGENIA,AXILLARIS,EUGAXI,YES,NO,NO,(Sw.) Willd.,351,
MYRTALES,MYRTACEAE,EUGENIA,BIFLORA,EUGBIF,YES,NO,NO,(L.) DC.,360,
MYRTALES,MYRTACEAE,EUGENIA,BORINQUENSIS,EUGBOR,YES,YES,NO,Britton,353,
MYRTALES,MYRTACEAE,EUGENIA,CONFUSA,EUGCON,YES,NO,NO,DC.,355,
MYRTALES,MYRTACEAE,EUGENIA,CORDATA,EUGCOR,HERBARIUM,NO,NO,(Sw.) DC.,356,
MYRTALES,MYRTACEAE,EUGENIA,DOMINGENSIS,EUGDOM,YES,NO,NO,O. Berg,350,
MYRTALES,MYRTACEAE,EUGENIA,EGGERSII,EUGEGG,YES,YES,NO,Kiaersk.,357,
MYRTALES,MYRTACEAE,EUGENIA,FAJARDENSIS,EUGFAJ,NO,YES,NO,(Krug & Urb.) Urb.,NA,
MYRTALES,MYRTACEAE,EUGENIA,FOETIDA,EUGFOE,YES,NO,NO,Pers.,NA,
MYRTALES,MYRTACEAE,EUGENIA,HAEMATOCARPA,EUGHAE,YES,YES,NO,Alain,390,T&E
MYRTALES,MYRTACEAE,EUGENIA,LIGUSTRINA,EUGLIG,YES,NO,NO,(Sw.) Willd.,361,
MYRTALES,MYRTACEAE,EUGENIA,MONTICOLA,EUGMON,YES,NO,NO,(Sw.) DC.,363,
MYRTALES,MYRTACEAE,EUGENIA,PADRONII,EUGPAD,YES,YES,NO,Alain,NA,
MYRTALES,MYRTACEAE,EUGENIA,PROCERA,EUGPRO,HERBARIUM,NO,NO,(Sw.) Poir.,364,
MYRTALES,MYRTACEAE,EUGENIA,PSEUDOPSIDIUM,EUGPSE,YES,NO,NO,Jacq.,365,
MYRTALES,MYRTACEAE,EUGENIA,RHOMBEA,EUGRHO,YES,NO,NO,(O. Berg) Krug & Urb.,366,
MYRTALES,MYRTACEAE,EUGENIA,SESSILIFLORA,EUGSES,YES,NO,NO,Vahl,380,
MYRTALES,MYRTACEAE,EUGENIA,STAHLII,EUGSTA,YES,YES,NO,(Kiaersk.) Krug & Urb.,369,
MYRTALES,MYRTACEAE,EUGENIA,STEWARDSONII,EUGSTE,HERBARIUM,NO,NO,Britton,370,
MYRTALES,MYRTACEAE,EUGENIA,WOODBURYANA,EUGWOO,YES,YES,NO,Alain,NA,T&E
MYRTALES,MYRTACEAE,GOMIDESIA,LINDENIANA,GOMLIN,YES,NO,NO,O. Berg,427,
MYRTALES,MYRTACEAE,MARLIEREA,SINTENISII,MARSIN,HERBARIUM,YES,NO,Kiaersk.,660,
MYRTALES,MYRTACEAE,MOSIERA,LONGIPES,MOSLON,NO,NO,NO,(O. Berg) Small,131,
MYRTALES,MYRTACEAE,MOSIERA,XEROPHYTICA,MOSXER,YES,YES,NO,(Britton) Salywon,375,
MYRTALES,MYRTACEAE,MYRCIA,AMAZONICA,MYRAMA,YES,NO,NO,DC,641,
MYRTALES,MYRTACEAE,MYRCIA,DEFLEXA,MYRDEF,YES,NO,NO,(Poir.) DC.,640,
MYRTALES,MYRTACEAE,MYRCIA,FALLAX,MYRFAL,YES,NO,NO,(Rich.) DC.,638,
MYRTALES,MYRTACEAE,MYRCIA,GUIANENSIS,MYRCIT,YES,NO,NO,(Aubl.) DC.,639,
MYRTALES,MYRTACEAE,MYRCIA,PAGANII,MYRPAG,NO,YES,NO,Krug & Urb.,648,T&E
MYRTALES,MYRTACEAE,MYRCIA,PORTORICENSIS,MYRPOR,HERBARIUM,YES,NO,(Britton) Cedeño-Mald. & Breckon ex F.S. Axelrod,124,
MYRTALES,MYRTACEAE,MYRCIA,SPLENDENS,MYRSPL,YES,NO,NO,(Sw.) DC.,642,
MYRTALES,MYRTACEAE,MYRCIANTHES,FRAGRANS,MYRFRA,HERBARIUM,NO,NO,(Sw.) McVaugh,40,
MYRTALES,MYRTACEAE,MYRCIARIA,BORINQUENA,MYRBOR,YES,YES,NO,Alain,NA,
MYRTALES,MYRTACEAE,MYRCIARIA,FLORIBUNDA,MYRFLO,HERBARIUM,NO,NO,(H. West ex Willd.) O. Berg,1031,
MYRTALES,MYRTACEAE,PIMENTA,RACEMOSA,PIMRAC,YES,NO,NO,(Mill.) J.W. Moore,475,
MYRTALES,MYRTACEAE,PSIDIUM,AMPLEXICAULE,PSIAMP,YES,NO,NO,Pers.,700,
MYRTALES,MYRTACEAE,PSIDIUM,SINTENISII,PSISIN,HERBARIUM,YES,NO,(Kiaersk.) Alain,1037,
MYRTALES,MYRTACEAE,SIPHONEUGENA,DENSIFLORA,SIPDEN,HERBARIUM,NO,NO,O. Berg,778,
MYRTALES,MYRTACEAE,SYZYGIUM,JAMBOS,SYZJAM,YES,NO,YES,(L.) Alston,,
MYRTALES,MYRTACEAE,SYZYGIUM,MALACCENSE,SYZMAL,YES,NO,YES,(L.) Merr. & L.M. Perry,,
CARYOPHYLLALES,NYCTAGINACEAE,NEEA,BUXIFOLIA,NEEBUX,YES,NO,NO,(Hook. f.) Heimerl,677,
CARYOPHYLLALES,NYCTAGINACEAE,PISONIA,ALBIDA,PISALB,YES,NO,NO,(Heimerl) Britton ex Standl.,765,
CARYOPHYLLALES,NYCTAGINACEAE,PISONIA,SUBCORDATA,PISSUB,YES,NO,NO,Sw.,766,
CARYOPHYLLALES,NYCTAGINACEAE,PISONIA,TAINA,PISTAI,YES,NO,NO,Trejo,NA,
CARYOPHYLLALES,NYCTAGINACEAE,GUAPIRA,DISCOLOR,GUADIS,HERBARIUM,NO,NO,(Spreng.) Little,948,
CARYOPHYLLALES,NYCTAGINACEAE,GUAPIRA,FRAGRANS,GUAFRA,YES,NO,NO,(Dum. Cours.) Little,949,
CARYOPHYLLALES,NYCTAGINACEAE,GUAPIRA,OBTUSATA,GUAOBT,YES,NO,NO,(Jacq.) Little,950,
MALPIGHIALES,OCHNACEAE,OURATEA,LITORALIS,OURLIT,YES,NO,NO,Urb.,699,
MALPIGHIALES,OCHNACEAE,OURATEA,STRIATA,OURSTR,HERBARIUM,NO,NO,(Tiegh.) Urb.,654,
SANTALALES,OLACACEAE,XIMENIA,AMERICANA,XIMAME,HERBARIUM,NO,NO,L.,985,
LAMIALES,OLEACEAE,CHIONANTHUS,COMPACTUS,CHICOM,YES,NO,NO,Sw.,549,
LAMIALES,OLEACEAE,CHIONANTHUS,DOMINGENSIS,CHIDOM,YES,NO,NO,Lam.,550,
LAMIALES,OLEACEAE,CHIONANTHUS,HOLDRIDGEI,CHIHOL,HERBARIUM,YES,NO,(Camp & Monachino) Stearn,556,
LAMIALES,OLEACEAE,CHIONANTHUS,LIGUSTRINUS,CHILIG,HERBARIUM,NO,NO,(Sw.) Pers.,520,
LAMIALES,OLEACEAE,FORESTIERA,EGGERSIANA,FOREGG,HERBARIUM,NO,NO,Krug & Urb.,439,
LAMIALES,OLEACEAE,FORESTIERA,SEGREGATA,FORSEG,YES,NO,NO,(Jacq.) Krug & Urb.,412,
LAMIALES,OLEACEAE,HAENIANTHUS,SALICIFOLIUS,HAESAL,HERBARIUM,NO,NO,Griseb.,457,
MYRTALES,ONAGRACEAE,LUDWIGIA,OCTAVALIS,LUDOCT,YES,NO,NO,(Jacq.) P.H. Raven,,
RANUNCULALES,PAPAVERACEAE,BOCCONIA,FRUTESCENS,BOCFRU,YES,NO,NO,L.,86,
ERICALES,PENTAPHYLACACEAE,CLEYERA,ALBOPUNCTATA,CLEALB,HERBARIUM,NO,NO,(Planch. ex Griseb.) Krug & Urb.,333,
ERICALES,PENTAPHYLACACEAE,TERNSTROEMIA,HEPTASEPALA,TERHEP,HERBARIUM,YES,NO,Krug & Urb.,920,
ERICALES,PENTAPHYLACACEAE,TERNSTROEMIA,LUQUILLENSIS,TERLUQ,YES,YES,NO,Krug & Urb.,921,
ERICALES,PENTAPHYLACACEAE,TERNSTROEMIA,PEDUNCULARIS,TERPED,YES,NO,NO,DC.,923,
ERICALES,PENTAPHYLACACEAE,TERNSTROEMIA,STAHLII,TERSTA,YES,YES,NO,Krug & Urb.,924,
ERICALES,PENTAPHYLACACEAE,TERNSTROEMIA,SUBSESSILIS,TERSUB,NO,YES,NO,(Britton) Kobuski,919,T&E
MALPIGHIALES,PHYLLANTHACEAE,FLUEGGEA,ACIDOTON,FLUACI,YES,NO,NO,(L.) G.L. Webster,848,
MALPIGHIALES,PHYLLANTHACEAE,HIERONYMA,CLUSIOIDES,HIECLU,YES,YES,NO,(Tul.) Griseb.,NA,
MALPIGHIALES,PHYLLANTHACEAE,MARGARITARIA,NOBILIS,MARNOB,YES,NO,NO,L. f.,740,
MALPIGHIALES,PHYLLANTHACEAE,PHYLLANTHUS,CUNEIFOLIUS,PHYCUN,YES,NO,NO,(Britton) Croizat,39,
MALPIGHIALES,PHYLLANTHACEAE,PHYLLANTHUS,EPIPHYLLANTHUS,PHYEPI,YES,NO,NO,L.,NA,
MALPIGHIALES,PHYLLANTHACEAE,PHYLLANTHUS,JUGLANDIFOLIUS,PHYJUG,HERBARIUM,NO,NO,Willd.,59,
MALPIGHIALES,PHYLLANTHACEAE,SAVIA,SESSILIFLORA,SAVSES,YES,NO,NO,(Sw.) Willd.,856,
PICRAMNIALES,PICRAMNIACEAE,PICRAMNIA,PENTANDRA,PICPEN,YES,NO,NO,Sw.,742,
PINALES,PINACEAE,PINUS,CARIBAEA,PINCAR,YES,NO,NAT,Sw.,NA,
PIPERALES,PIPERACEAE,PIPER,ADUNCUM,PIPADU,YES,NO,NO,L.,748,
PIPERALES,PIPERACEAE,PIPER,AMALAGO,PIPAMA,YES,NO,NO,L.,749,
PIPERALES,PIPERACEAE,PIPER,BLATTARUM,PIPBLA,YES,NO,NO,Spreng.,750,
PIPERALES,PIPERACEAE,PIPER,GLABRESCENS,PIPGLA,YES,NO,NO,(Miq.) C. DC.,713,
PIPERALES,PIPERACEAE,PIPER,HISPIDUM,PIPHIS,YES,NO,NO,Sw.,706,
PIPERALES,PIPERACEAE,PIPER,JACQUEMONTIANUM,PIPJAC,YES,NO,NO,Kunth,775,
PIPERALES,PIPERACEAE,PIPER,MARGINATUM,PIPMAR,HERBARIUM,NO,NO,Jacq.,705,
PIPERALES,PIPERACEAE,PIPER,SWARTZIANUM,PIPSWA,HERBARIUM,NO,NO,(Miq.) C. DC.,659,
PIPERALES,PIPERACEAE,PIPER,UMBELLATUM,PIPUMB,YES,NO,NO,L.,,
ARAUCARIALES,PODOCARPACEAE,PODOCARPUS,CORIACEUS,PODCOR,YES,NO,NO,Rich. & A. Rich.,783,
FABALES,POLYGALACEAE,BADIERA,PENAEA,BADPEN,YES,NO,NO,(L.) DC.,68,
FABALES,POLYGALACEAE,PHLEBOTAENIA,COWELLII,PHLCOW,YES,YES,NO,Britton,784,
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,BUCHII,COCBUC,NO,NO,NO,O.C. Schmidt,NA,
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,COSTATA,COCCOS,YES,NO,NO,C. Wright,235,
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,DIVERSIFOLIA,COCDIV,YES,NO,NO,Jacq.,209,
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,KRUGII,COCKRU,YES,NO,NO,Lindau,212,
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,MICROSTACHYA,COCMIC,YES,NO,NO,Willd.,214,
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,PUBESCENS,COCPUB,YES,NO,NO,L.,210,
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,PYRIFOLIA,COCPYR,YES,YES,NO,Desf.,215,T&E
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,RUGOSA,COCRUG,YES,NO,NO,Desf.,216,
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,SINTENISII,COCSIN,YES,YES,NO,Urb.,217,
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,SWARTZII,COCSWA,YES,NO,NO,Meisn.,224,
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,TENUIFOLIA,COCTEN,YES,NO,NO,L.,NA,
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,UVIFERA,COCUVI,YES,NO,NO,(L.) L.,218,
CARYOPHYLLALES,POLYGONACEAE,COCCOLOBA,VENOSA,COCVEN,YES,NO,NO,L.,219,
CARYOPHYLLALES,POLYGONACEAE,TRIPLARIS,CUMINGIANA,TRICUM,NEW,NO,YES,Fisch. & Mey. ex C. A. Mey.,,
ERICALES,PRIMULACEAE,ARDISIA,GLAUCIFLORA,ARDGLA,YES,YES,NO,Urb.,498,
ERICALES,PRIMULACEAE,ARDISIA,LUQUILLENSIS,ARDLUQ,YES,YES,NO,(Britton) Alain,968,
ERICALES,PRIMULACEAE,ARDISIA,ELLIPTICA,ARDELL,NO,NO,YES,Thunb.,,
ERICALES,PRIMULACEAE,ARDISIA,OBOVATA,ARDOBO,YES,NO,NO,Desv. ex Ham.,54,
ERICALES,PRIMULACEAE,BONELLIA,PAUCIFLORA,BONPAU,NEW,YES,NO,(B. Ståhl & F.S. Axelrod) B. Ståhl & Källersjö,,
ERICALES,PRIMULACEAE,BONELLIA,UMBELLATA,BONUMB,YES,NO,NO,(A. DC.) B. Ståhl & Källersjö,464,
ERICALES,PRIMULACEAE,CYBIANTHUS,SINTENISII,CYBSIN,HERBARIUM,YES,NO,(Urb.) G. Agostini,429,
ERICALES,PRIMULACEAE,JACQUINIA,ARBOREA,JACARB,YES,NO,NO,Vahl,526,
ERICALES,PRIMULACEAE,JACQUINIA,BERTEROI,JACBER,YES,NO,NO,Spreng.,527,
ERICALES,PRIMULACEAE,MYRSINE,CORIACEA,MYRCOR,YES,NO,NO,(Sw.) R. Br. ex Roem. & Schult.,804,
ERICALES,PRIMULACEAE,MYRSINE,GUIANENSIS,MYRGUI,HERBARIUM,NO,NO,(Aubl.) Kuntze,805,
ERICALES,PRIMULACEAE,PARATHESIS,CRENULATA,PARCRE,YES,NO,NO,(Vent.) Hook. f. ex Hemsl.,714,
ERICALES,PRIMULACEAE,WALLENIA,LAMARCKIANA,WALLAM,YES,NO,NO,(A. DC.) Mez,729,
MALPIGHIALES,PUTRANJIVACEAE,DRYPETES,ALBA,DRYALB,YES,NO,NO,Poit.,318,
MALPIGHIALES,PUTRANJIVACEAE,DRYPETES,GLAUCA,DRYGLA,YES,NO,NO,Vahl,319,
MALPIGHIALES,PUTRANJIVACEAE,DRYPETES,ILICIFOLIA,DRYILI,YES,NO,NO,Krug & Urb.,320,
MALPIGHIALES,PUTRANJIVACEAE,DRYPETES,LATERIFLORA,DRYLAT,YES,NO,NO,(Sw.) Krug & Urb.,321,
ROSALES,RHAMNACEAE,COLUBRINA,ARBORESCENS,COLARB,YES,NO,NO,(Mill.) Sarg.,229,
ROSALES,RHAMNACEAE,COLUBRINA,ELLIPTICA,COLELL,YES,NO,NO,(Sw.) Brizicky,231,
ROSALES,RHAMNACEAE,COLUBRINA,VERRUCOSA,COLVER,YES,NO,NO,(Urb.) M.C. Johnst.,494,
ROSALES,RHAMNACEAE,KRUGIODENDRON,FERREUM,KRUFER,YES,NO,NO,(Vahl) Urb.,530,
ROSALES,RHAMNACEAE,REYNOSIA,KRUGII,REYKRU,YES,YES,NO,Urb.,811,
ROSALES,RHAMNACEAE,REYNOSIA,UNCINATA,REYUNC,YES,NO,NO,Urb.,812,
ROSALES,RHAMNACEAE,REYNOSIA,VIVESIANA,REYVIV,YES,YES,NO,Trejo,810,
ROSALES,RHAMNACEAE,RHAMNUS,SPHAEROSPERMA,RHASPH,YES,NO,NO,Sw.,816,
ROSALES,RHAMNACEAE,ZIZIPHUS,MAURITIANA,ZIZMAU,GENEBANK,NO,YES,Lam.,995,
ROSALES,RHAMNACEAE,ZIZIPHUS,RETICULATA,ZIZRET,YES,NO,NO,(Vahl) DC.,854,
ROSALES,RHAMNACEAE,ZIZIPHUS,RIGNONII,ZIZRIG,YES,NO,NO,Delponte,853,
MALPIGHIALES,RHIZOPHORACEAE,CASSIPOUREA,GUIANENSIS,CSSGUI,YES,NO,NO,Aubl.,161,
MALPIGHIALES,RHIZOPHORACEAE,RHIZOPHORA,MANGLE,RHIMAN,YES,NO,NO,L.,821,
ROSALES,ROSACEAE,PRUNUS,MYRTIFOLIA,PRUMYR,YES,NO,NO,(L.) Urb.,662,
ROSALES,ROSACEAE,PRUNUS,OCCIDENTALIS,PRUOCC,YES,NO,NO,Sw.,664,
GENTIANALES,RUBIACEAE,STENOSTOMUM,OBTUSIFOLIA,STEOBT,YES,YES,NO,(Urb.) Britton & P. Wilson,52,
