Code ;WD;THK;LA.wp;SLA.wp;LP.mass;MAXHT;sprout
CSSGUI;0.765860106;206.6041667;28.68842327;165.102972;0.972819192;10;0
CUPAME;0.5025;NA;315.41;135.16;NA;17;0
CYNHAS;0.828205188;483.7111111;43.91378768;39.17742011;0.966115052;6;0.225352112676056
CYRRAC;0.580838172;317.7333333;21.0238919;77.74172343;0.925125512;13;0
DACEXC;0.507989783;218.5299145;529.1321962;129.5060676;0.850529993;28;0
DAPPHI;0.356617351;335.4555556;32.65501234;125.916548;0.965898887;5;0.00552486187845304
DENARB;0.46467937;217.5132275;70.2859667;214.652433;0.899611016;30;0.00947867298578199
DENLAU;0.39725;NA;82.314;124.328;NA;NA;NA
DIOSIN;0.738020991;242.5111111;40.8870516;103.924859;0.964421066;9;0.2
DITMYR;0.42522894;313.6888889;11.65797669;106.0222993;0.968174688;9;0
DRYALB;0.726896355;199.7777778;39.34479947;131.0802932;0.982832772;14;0
DRYGLA;0.694962363;217.3111111;56.79770966;139.6844093;0.955775254;17;0.1328125
DRYLAT;0.936879601;159.7777778;20.82713368;105.6074091;0.955610416;4;0
ELAXYL;0.905063548;496.4305556;4.691587417;36.39572698;0.971836058;4.5;0.170731707317073
ERIFRU;1.023628308;502.6777778;13.86739497;48.60143284;0.955733027;3.5;0
ERYARE;0.930545126;213.4567901;14.26529182;116.1929091;0.968664769;8;0.0333333333333333
ERYBRE;0.849764475;137.1777778;3.84386116;253.7316667;0.955691813;6;0
ERYPOE;0.324989708;124.2222222;502.1049163;379.2501888;0.790711055;24;0
ERYROT;0.984493196;224.2222222;1.181258257;97.59893309;0.949762105;6;0.142857142857143
ERYRUF;0.950822015;194.7111111;40.58090844;166.9023945;0.96557773;3;0
EUDDOM;NA;NA;14.42;229.67;NA;NA;NA
EUGAXI;0.888336743;289.6222222;15.56126218;81.26648576;0.963045776;6;0
EUGBIF;0.805339482;250.6444444;7.268658704;100.5496554;0.96615526;18;0.043859649122807
EUGBOR;0.4665;NA;103.554;55.611;NA;NA;NA
EUGDOM;0.564446579;247.4166667;42.17733333;95.314;0.938170947;20;0
EUGEGG;0.672226716;NA;36.84157895;185.5536842;NA;7;NA
EUGFOE;0.940811223;272.948718;4.792203905;86.0395185;0.959892521;14;0.12218045112782
EUGLIG;1.01784157;261.3111111;4.456037929;83.21975984;0.965586819;3;2.94444444444444
EUGLIN;1.131927243;252.3333333;3.630901443;67.38492953;NA;NA;NA
EUGMON;0.858228983;200.6720867;2.900834804;106.903796;0.962957682;19;0.00710900473933649
EUGPAD;NA;387.0555556;32.65742622;112.8289778;0.962213311;5.5;0
EUGPSE;0.911617723;215.4848485;27.34892411;105.6434169;0.966268167;9;0.043859649122807
EUGRHO;0.939445443;294.7888889;8.381956101;64.02254137;0.974569866;6;0.255072463768116
EUGSTA;0.728793857;384.9;49.72505251;85.74476574;0.96240301;23;0.00337837837837838
EXOCAR;0.933805399;230.6464647;6.214811063;86.3030788;0.941699614;11;0.0172117039586919
EXOPAN;0.737322109;131.8194445;57.96796526;162.4232733;0.952779365;14;0.0144927536231884
FAROCC;0.738158583;181.3407407;53.92664422;198.5756813;0.960071082;9;0.0077120822622108
FICAME;0.486519806;215.0555556;53.79085778;126.1857886;0.960614853;17;0
FICCIT;0.490161223;260.3827161;41.90101412;126.6175776;0.947092308;28;0.117647058823529
FICCRA;0.42;NA;44.1;101.8;NA;20;NA
FLUACI;0.630913195;404.4888889;0.655976702;44.83197239;0.977025176;NA;NA
FORSEG;0.747903773;331.6888889;1.191740872;72.91821353;0.974688018;6;0.571428571428571
GARPOR;0.860291667;418.1555556;28.97146016;65.96088047;0.95208259;8;0
GAUATT;0.160961377;198.4444445;86.4147816;183.2369273;1;18;0
GENAME;0.626962069;NA;114.79;160.09;NA;20;NA
GESPED;0.744258131;299.7111111;31.62403286;150.555304;0.933160241;5;0.0377358490566038
GONSPI;0.695505321;NA;159.4506667;1303.648;NA;6;NA
GUABLA;0.630529512;273.2777778;15.99557038;114.0439278;0.965968625;18;0
GUACAR;0.67859854;305.75;23.33428196;109.5496751;0.962677691;NA;0
GUAFRA;0.628042363;317.4285714;25.32756662;124.6362122;0.962296664;22.5;0.00740740740740741
GUAGLA;0.570363918;207.0296296;367.6059505;153.7631088;0.866749712;12;0.0802752293577982
GUAGUI;0.603745926;188.5873016;632.6101539;221.7594176;0.796099155;20;0.00943396226415094
GUAOBT;0.659363774;245.7037037;82.56342337;124.8797467;0.957644023;4.5;0.0833333333333333
GUAOFF;1.021323866;254.9222222;36.70473203;64.75539077;0.943834745;7;0
GUASAN;0.952193579;201.2083333;14.03463595;77.7912531;0.895552443;2;0
GUAULM;0.525926316;NA;42.69;322.09;NA;17;NA
GUEELL;0.908929778;221.1222222;6.119206652;131.2805784;0.96085503;7;0.909385113268608
GUEOVA;0.713895038;174.7777778;47.2898828;202.675005;0.94247659;10;0
GUESCA;0.829841831;399.1616162;26.1900392;102.583055;0.955789546;14;0.128205128205128
GUEVAL;0.604209748;421.6111111;86.13864724;90.23123049;0.928772548;22;0
GUTCAR;0.594418342;NA;123.8513333;254.7066667;NA;8;0
GYMLAT;0.862964727;350.5777778;6.320925642;80.30804239;0.979471251;12;0.08
GYMLUC;0.923566003;237.236715;14.39291113;94.44891167;0.949271718;14;0.0482536764705882
HAESAL;0.581744373;402.6666667;9.587615762;106.0337309;0.954899981;NA;NA
HAMAXI;0.617386931;NA;34.58133333;223.3773333;NA;10;NA
HEDARB;0.407625;NA;39.718;173.467;NA;2.5;0
HELJAM;0.807694796;276.3492064;98.06386984;119.1847257;0.947218099;5.5;0.0421052631578947
HENFAS;0.47443242;188.5555556;28.77933333;280.3733333;0.92833056;3;0
HENMAC;0.575499409;196.6666667;33.9067605;192.6020724;0.935540829;5;0
HENSQU;0.727746374;280.0598291;22.86491239;126.3955792;0.923551244;16;0.00775193798449612
HIBTIL;0.435488973;NA;113.4033333;203.5993333;NA;7;NA
HIECLU;0.766104499;300.9111111;64.4671664;115.0225629;0.920745326;18;0
HIRRUG;0.856089422;212.6222222;19.07064454;124.9520373;0.971931983;9;0
HOMRAC;0.790200521;187.9555556;35.3446682;226.0411287;0.980158935;30;0
HYPTRI;1.028529859;310.4444444;8.701129903;54.73865275;0.936918774;6;0
ILENIT;0.655514127;259.2698413;48.32122012;126.0084656;0.973627647;17;0
ILESID;0.772795015;NA;18.70666667;180.1566667;NA;3;0
INGLAU;0.679611516;220.5111111;206.1755368;141.7319236;0.929448237;28;0.00561797752808989
INGVER;0.605008315;173.4920635;523.3424;242.7776;0.855353039;9;0
IXOFER;0.697065875;230.0740741;68.4412724;137.0760111;0.962668766;9;0
JATHER;0.467624435;165.4444444;173.11618;324.1464446;0.855462269;4;0
KRUFER;0.957352001;170.1014493;13.66621734;117.8833885;0.972778578;17;0.0752269779507134
LAEPRO;0.666998579;NA;128.0608;302.43;NA;30;0
LANCAM;0.915896948;434.0222222;3.350265015;88.75113465;0.945149139;3.5;0.129032258064516
LASLAN;0.472625;NA;60.414;164.881;NA;NA;NA
