"","code","Species","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass"
"1","DENARB","Dendropanax arboreus",-1.24376489840353,-0.314211803784312,-0.0955574860222728,1.00142876833544,1.75154911214419,-0.185038987711018
"2","ILENIT","Ilex nitida",-0.165068610481732,0.0965015474562347,-0.100119849915579,-0.202713786363201,0.208991655426295,-0.0760864780464262
"3","PLUOBT","Plumeria obtusa",-0.858715748631844,-0.105056081575435,-0.0997779545781183,1.16922701196459,-1.39289493424229,-0.367898459554237
"4","PLUALB","Plumeria alba",-1.07014682109907,2.17708836860603,-0.0954662845994658,-1.227628195888,-0.740274471784717,-0.182800858535798
"5","RANACU","Randia aculeata",1.68013969940223,-0.496383887271498,-0.109147320162159,-0.0897131585743895,-1.03692013653816,0.0659151464817118
"6","COFARA","Coffea arabica",-0.101649406743054,-0.279042000899207,-0.0967519797659374,0.449944134108374,-0.97759100358747,-0.162620393805906
"7","IXOFER","Ixora ferrea",0.0698032599724644,-0.190664731068746,-0.0959406530503036,-0.0523718860229695,-0.740274471784717,-0.0972938252903145
"8","EXOCAR","Exostema caribaeum",1.40797692266209,-0.185034761582461,-0.108865899393488,-0.742073060310249,-0.502957939981964,0.139490563387363
"9","ERIFRU","Erithalis fruticosa",1.91570224498709,2.49063460137885,-0.107276358062764,-1.25421345309933,-1.39289493424229,0.152070619548246
"10","NEORES","Neolaugeria resinosa",0.2272274306745,-0.697922673693689,-0.106341983187208,-0.358276825148439,0.683624719031802,-0.132304179349106
"11","GUEVAL","Guettarda valenzuelana",-0.455067371983198,1.69327199640973,-0.0922646778378312,-0.688712919175136,0.802282984933178,-0.28807001308906
"12","GUEOVA","Guettarda ovalifolia",0.164930352868498,-0.734552874713269,-0.100334072107192,0.838726994332501,-0.62161620588334,-0.169967600119397
"13","GUESCA","Guettarda scabra",0.820321316085631,1.47246129254857,-0.104716784388639,-0.520925330725425,-0.146983142277834,-0.127049050525459
"14","FAROCC","Faramea occidentalis",0.302080400033772,-0.670000310665885,-0.0989555303352293,0.783041647010663,-0.740274471784717,-0.148731558868574
"15","PSYGRA","Psychotria grandis",-2.02895520896713,-1.206238319453,-0.0694493272374619,0.749774079168161,0.208991655426295,-0.365651986134465
"16","CHIDOM","Chionanthus domingensis",1.00179083253732,-0.358056962626666,-0.0931732528450739,-0.020545857092441,0.920941250834555,-0.129129149213144
"17","CITSPI","Citharexylum spinosum",-0.0473913807029354,0.758134109589439,-0.10158989580015,0.365531522951682,0.446308187229049,-0.1769449551915
"18","TABSCH","Tabebuia schumanniana",0.319866970510729,1.65534918667512,-0.0860529449130063,-0.920780877260701,0.564966453130425,-0.184202176080505
"19","TABHET","Tabebuia heterophylla",0.572690866202536,0.864730033644066,-0.080010237911609,-0.317196864095366,-0.384299674080587,-0.184790306691549
"20","SPACAM","Spathodea campanulata",-1.97472827741092,-0.530184992000293,0.0166522135957885,1.29983783715545,-1.21490753539022,-0.185412009240221
"21","PETDOM","Petitia domingensis",-0.452481069489873,2.09381118835264,-0.0957512090572703,-0.72705755103804,1.15825778263731,-0.184483185632505
"22","VITDIV","Vitex divaricata",-0.187222647390024,-0.686466314017063,-0.086464115956085,-0.103068933371254,1.63289084624281,-0.218715975293551
"23","CORALL","Cordia alliodora",-0.615072548772193,-0.335215846566455,-0.100954615703938,-0.0130327785343078,-1.21490753539022,-0.181930474967658
"24","CORSUL","Cordia sulcata",-0.707327214528339,1.40311331832276,-0.00183338947496491,-0.547784340428079,1.15825778263731,-0.17590060681619
"25","CORBOR","Cordia borinquensis",-0.0821837341352817,0.564877137401201,-0.0825457901916283,0.327175676654715,-0.502957939981964,-0.178379310009643
"26","CORLAE","Cordia laevigata",-1.15559848745776,-0.601221957268707,-0.10008077234959,-0.0759015606919601,-1.27423666834091,-0.180107543622544
"27","BOUVIR","Bourreria virgata",0.674486615176817,0.404224310313679,-0.107905463893546,-0.821838286702707,-0.0283248763764576,-0.183415946169353
"28","SYMMAR","Symplocos martinicensis",-0.119743513592628,-0.797666485811461,-0.0743233403468907,0.0981423060380209,-0.0283248763764576,0.0949292932903685
"29","MANBID","Manilkara bidentata",0.874725487895853,0.183165224722546,-0.0789095298627023,-0.648736880027865,-0.384299674080587,0.000477052812702056
"30","SIDSAL","Sideroxylon salicifolium",0.892503715260968,-0.430778779012681,-0.105630186480346,-0.534870770723965,1.15825778263731,-0.177379612311379
"31","SIDOBO","Sideroxylon obovatum",1.57605281660487,0.424005372627647,-0.10886296549524,-0.90898454330871,-0.740274471784717,0.249191199301234
"32","POUMUL","Pouteria multiflora",0.769207354436534,-0.565521328262022,-0.0745666977960585,-0.478809316854249,-0.146983142277834,1.80341444396145
"33","MICGUY","Micropholis guyanensis",0.450244604036122,0.80769241116546,-0.103329251974534,-0.970997496357412,1.15825778263731,-0.0439299168338403
"34","MICGAR","Micropholis garciniifolia",-0.88809250858124,2.45096318823892,-0.101614946428898,-1.01859029555105,0.208991655426295,0.293295772386255
"35","CHRARG","Chrysophyllum argenteum",0.593375537541594,-0.453059145231096,-0.099849890040677,0.554193232508444,1.03959951673593,-0.156627181236708
"36","CYRRAC","Cyrilla racemiflora",-0.587175551176585,0.671541871356851,-0.105789860457291,-0.858370791890738,-0.265641408179211,0.0940078458862861
"37","MYRCOR","Myrsine coriacea",-0.180008427541014,0.148491237117846,-0.106583297423614,-0.419967883893815,0.208991655426295,-0.184872371427973
"38","ARDOBO","Ardisia obovata",0.680709208702292,1.44075198107366,-0.0995723100972377,-0.942377771740248,-0.384299674080587,-0.0738968080568306
