"","Code","WD","THK","LA.wp","SLA.wp","LP.mass","MAXHT","sprout","species","seed_mass"
"53","DRYGLA",0.694962363,217.3111111,56.79770966,139.6844093,0.955775254,17,0.1328125,"Drypetes glauca",NA
"54","ERIFRU",1.023628308,502.6777778,13.86739497,48.60143284,0.955733027,3.5,0,"Erithalis fruticosa",NA
"55","ERYARE",0.930545126,213.4567901,14.26529182,116.1929091,0.968664769,8,0.0333333333333333,"Erythroxylum areolatum",NA
"56","ERYPOE",0.324989708,124.2222222,502.1049163,379.2501888,0.790711055,24,0,"Erythrina poeppigiana",245
"57","ERYROT",0.984493196,224.2222222,1.181258257,97.59893309,0.949762105,6,0.142857142857143,"Erythroxylum rotundifolium",20.5465
"58","ERYRUF",0.950822015,194.7111111,40.58090844,166.9023945,0.96557773,3,0,"Erythroxylum rufum",NA
"59","EUGBIF",0.805339482,250.6444444,7.268658704,100.5496554,0.96615526,18,0.043859649122807,"Eugenia biflora",97.92
"60","EUGBOR",0.4665,NA,103.554,55.611,NA,NA,NA,"Eugenia borinquensis",NA
"61","EUGDOM",0.564446579,247.4166667,42.17733333,95.314,0.938170947,20,0,"Eugenia domingensis",25.87
"62","EUGLIG",1.01784157,261.3111111,4.456037929,83.21975984,0.965586819,3,2.94444444444444,"Eugenia ligustrina",NA
"63","EUGMON",0.858228983,200.6720867,2.900834804,106.903796,0.962957682,19,0.00710900473933649,"Eugenia monticola",NA
"64","EUGPSE",0.911617723,215.4848485,27.34892411,105.6434169,0.966268167,9,0.043859649122807,"Eugenia pseudopsidium",NA
"65","EUGRHO",0.939445443,294.7888889,8.381956101,64.02254137,0.974569866,6,0.255072463768116,"Eugenia rhombea",NA
"66","EUGSTA",0.728793857,384.9,49.72505251,85.74476574,0.96240301,23,0.00337837837837838,"Eugenia stahlii",NA
"67","EXOCAR",0.933805399,230.6464647,6.214811063,86.3030788,0.941699614,11,0.0172117039586919,"Exostema caribaeum",NA
"68","EXOPAN",0.737322109,131.8194445,57.96796526,162.4232733,0.952779365,14,0.0144927536231884,"Exothea paniculata",NA
"69","FAROCC",0.738158583,181.3407407,53.92664422,198.5756813,0.960071082,9,0.0077120822622108,"Faramea occidentalis",300
"70","FICAME",0.486519806,215.0555556,53.79085778,126.1857886,0.960614853,17,0,"Ficus americana",NA
"71","FICCIT",0.490161223,260.3827161,41.90101412,126.6175776,0.947092308,28,0.117647058823529,"Ficus citrifolia",0.6
"72","GUAFRA",0.628042363,317.4285714,25.32756662,124.6362122,0.962296664,22.5,0.00740740740740741,"Guapira fragrans",52
"73","GUAGLA",0.570363918,207.0296296,367.6059505,153.7631088,0.866749712,12,0.0802752293577982,"Guarea glabra",595
"74","GUAGUI",0.603745926,188.5873016,632.6101539,221.7594176,0.796099155,20,0.00943396226415094,"Guarea guidonia",500
"75","GUAOBT",0.659363774,245.7037037,82.56342337,124.8797467,0.957644023,4.5,0.0833333333333333,"Guapira obtusata",NA
"76","GUAOFF",1.021323866,254.9222222,36.70473203,64.75539077,0.943834745,7,0,"Guaiacum officinale",NA
"77","GUAULM",0.525926316,NA,42.69,322.09,NA,17,NA,"Guazuma ulmifolia",47
"78","GUEOVA",0.713895038,174.7777778,47.2898828,202.675005,0.94247659,10,0,"Guettarda ovalifolia",NA
"79","GUESCA",0.829841831,399.1616162,26.1900392,102.583055,0.955789546,14,0.128205128205128,"Guettarda scabra",NA
"80","GUEVAL",0.604209748,421.6111111,86.13864724,90.23123049,0.928772548,22,0,"Guettarda valenzuelana",NA
"81","GYMLAT",0.862964727,350.5777778,6.320925642,80.30804239,0.979471251,12,0.08,"Gyminda latifolia",38.2155
"82","GYMLUC",0.923566003,237.236715,14.39291113,94.44891167,0.949271718,14,0.0482536764705882,"Gymnanthes lucida",NA
"83","HELJAM",0.807694796,276.3492064,98.06386984,119.1847257,0.947218099,5.5,0.0421052631578947,"Helicteres jamaicensis",1337.96
"84","HENSQU",0.727746374,280.0598291,22.86491239,126.3955792,0.923551244,16,0.00775193798449612,"Henriettea squamulosum",NA
"85","HOMRAC",0.790200521,187.9555556,35.3446682,226.0411287,0.980158935,30,0,"Homalium racemosum",NA
"86","ILENIT",0.655514127,259.2698413,48.32122012,126.0084656,0.973627647,17,0,"Ilex nitida",NA
"87","INGLAU",0.679611516,220.5111111,206.1755368,141.7319236,0.929448237,28,0.00561797752808989,"Inga laurina",892.86
"88","INGVER",0.605008315,173.4920635,523.3424,242.7776,0.855353039,9,0,"Inga vera",NA
"89","IXOFER",0.697065875,230.0740741,68.4412724,137.0760111,0.962668766,9,0,"Ixora ferrea",NA
"90","KRUFER",0.957352001,170.1014493,13.66621734,117.8833885,0.972778578,17,0.0752269779507134,"Krugiodendron ferreum",90.09
"91","LAEPRO",0.666998579,NA,128.0608,302.43,NA,30,0,"Laetia procera",4
"92","LEULEU",0.687443655,147.5111111,59.03898181,109.7780581,0.791670878,9,0.0114068441064639,"Leucaena leucocephala",43.27
"93","LICBRI",0.562043713,148.6666667,34.84209848,146.8035856,0.962239564,25,0.0588235294117647,"Licaria brittoniana",NA
"94","LICPAR",0.780449774,252.0888889,16.2295638,80.26022878,0.959012467,19,0.352769679300292,"Licaria parvifolia",NA
"95","LONGLA",0.80414719,234.7948718,84.5287233,94.15122388,0.885539382,18,0.430939226519337,"Lonchocarpus glaucifolius",NA
"96","LONHEP",0.685125371,NA,192.71,144.06,NA,10,NA,"Lonchocarpus heptaphyllus",91
"97","MAGPOR",0.625100991,258.8444444,79.69494271,100.5107411,0.945219618,15,0,"Magnolia portoricensis",135.53
"98","MAMAME",0.789289012,378.5555556,100.8260137,76.09275534,0.956123155,17,0,"Mammea americana",73300
"99","MANBID",0.839466604,268.0808081,150.4347989,93.17410025,0.930091126,12,0,"Manilkara bidentata",1500
"100","MANIND",0.576040704,181.1555556,283.4946667,125.7686667,0.899720325,18,0,"Mangifera indica",16466
"101","MARNOB",0.533196408,NA,76.37333333,156.216,NA,13,NA,"Margaritaria nobilis",11
"102","MATDOM",0.735805517,260.8888889,33.7343887,71.79409939,0.880636631,28,0.0680272108843537,"Matayba domingensis",NA
"103","MAYELO",0.748879561,NA,27.24625,103.944375,NA,3,NA,"Maytenus elongata",NA
"104","MELHER",0.485808211,246.6944445,210.465627,158.1109369,0.943564686,20,0,"Meliosma herbertii",NA
"105","MICGAR",NA,498.6444444,41.12332517,65.94702985,0.94837594,17,0,"Micropholis garciniifolia",NA
"106","MICGUY",0.764370669,331.5755556,32.87008458,69.45061381,0.95281997,25,0.0181368507831822,"Micropholis guyanensis",1142.86
"107","MICIMP",0.758613667,213.5833333,210.3095,195.8715,1,4.5,0,"Miconia impetiolaris",NA
"108","MICLAE",0.483406458,NA,26.38,188.8626667,NA,3,0,"Miconia laevigata",NA
"109","MICPRA",0.661806593,168.6666667,58.25319992,156.3868944,0.936352174,9,0,"Miconia prasina",5.7168
"110","MICRAC",0.437214564,169.030303,100.444,226.4932,0.922602095,10,0,"Miconia racemosa",2
"111","MICSIN",0.436916667,NA,73.47866667,96.80666667,NA,NA,NA,"Miconia sintenisii",0.048
"112","MICTET",0.660691633,211.9494949,108.4375829,132.2611611,0.91958316,21,0,"Miconia tetrandra",NA
"113","MYRCOR",0.652871088,264.5555555,17.20402082,110.0151224,0.931565657,17,0,"Myrsine coriacea",9.34
"114","MYRDEF",0.807127193,248.6611111,65.49730504,112.9646487,0.959701438,18,0.0188679245283019,"Myrcia deflexa",NA
"115","NECCOR",0.717952139,209.6919192,30.52515694,94.92088448,0.966131037,34,0.0909090909090909,"Nectandra coriacea",NA
"116","NEORES",0.724916164,178.5019157,18.36578831,114.5565616,0.959338708,21,0.00806451612903226,"Neolaugeria resinosa",NA
"117","OCHPYR",0.165925641,NA,169.6,225.56,NA,27,NA,"Ochroma pyramidale",10.2
"118","OCOFLO",0.424580988,NA,113.1373333,157.0726667,NA,20,NA,"Ocotea floribunda",1643.32
"119","OCOLEU",0.499727496,218.7154472,166.1296835,123.1518399,0.957814776,30,0.0174002047082907,"Ocotea leucoxylon",100
"120","ORMKRU",0.516591536,180.1333333,1402.33764,167.3877816,0.777147008,28,0.0697674418604651,"Ormosia krugii",720
"121","PERAME",0.530551645,162,90.44101596,170.6231186,0.941919858,21,0,"Persea americana",15308
"122","PETDOM",0.604667297,462.3333333,69.35331918,87.40845815,0.891047211,25,0,"Petitia domingensis",12.47
"123","PICACU",0.990253994,253.5277778,19.86112488,99.91767447,0.869528349,10,0.0588235294117647,"Pictetia aculeata",NA
"124","PICPEN",0.9807088,186.5,161.9744972,124.4783968,0.864324433,8,0,"Picramnia pentandra",105.9
"125","PIMRAC",0.958278813,354.1851852,22.26959603,55.18908896,0.963166202,8,0,"Pimenta racemosa",28.01
"126","PIPADU",0.548162288,NA,38.55133333,185.006,NA,7,NA,"Piper aduncum",NA
"127","PIPBLA",0.45785977,183.1759259,47.03291667,270.9554167,0.956269025,2,0,"Piper blattarum",NA
"128","PISALB",0.595706282,270.6666667,26.19749321,109.5637403,0.941487072,3,0,"Pisonia albida",10.2
"129","PISSUB",0.521259838,NA,145.34,138.42,NA,17,NA,"Pisonia subcordata",14
"130","PITUNG",0.937801719,191.7777778,10.42350886,101.114154,0.965653553,8,0.782485875706215,"Pithecellobium unguis-cati",88.77
"131","PLUALB",0.495394562,470.8,70.72504087,50.55852892,0.930756782,9,0,"Plumeria alba",26
"132","PLUOBT",0.532799342,238.7777778,49.96721869,227.0050419,0.958197984,3.5,0,"Plumeria obtusa",NA
"133","POIFLO",0.875470216,202.3888889,7.41175887,126.1967688,0.861573757,14,0.171875,"Poitea florida",17
"134","POUMUL",0.820799137,191.962963,171.3426458,105.6834608,0.949242141,14,0,"Pouteria multiflora",16000
"135","PRUMYR",0.915410877,161.1944444,22.23997487,143.0545095,0.965591975,8.5,0.125,"Prunus myrtifolia",NA
"136","PSESPU",0.690606911,148.962963,41.23085309,170.6363223,0.978492737,19,0.00802139037433155,"Pseudolmedia spuria",1700.84
"137","PSYBER",0.468008213,189.8395062,161.1968341,346.6437271,0.928332308,9,0,"Psychotria berteriana",NA
"138","PSYGRA",0.325769462,126.8222222,195.9793802,196.1266613,0.948251702,17,0,"Psychotria grandis",NA
"139","QUATUR",0.591129426,152.5555555,101.3003715,182.3588953,0.966591335,10,0.00446428571428571,"Quararibea turbinata",NA
"140","RANACU",0.981954371,198.9920635,4.859957305,134.3271019,0.984094824,6.5,0,"Randia aculeata",NA
"141","ROCACA",0.927591145,202.7222222,1.385829067,102.0599372,0.971178479,4,0,"Rochefortia acanthophora",NA
"142","ROYBOR",0.739967091,NA,60383.37667,121.1626667,NA,17,0,"Roystonea borinquena",333.33
"143","SAMDOD",0.8004896,216.8148148,29.9330665,123.39608,0.97560518,6.5,0.236220472440945,"Samyda dodecandra",NA
"144","SAPLAU",0.469707152,271.8730159,74.19376109,277.3738731,0.925136947,24,0,"Sapium laurocerasus",NA
"145","SCHFRU",0.942216616,238.4343434,8.222583301,114.0863914,0.994408903,7,0.105769230769231,"Schaefferia frutescens",38.2968
"146","SCHMOR",0.401807862,261,2572.314077,221.0996571,0.747733333,28,0,"Schefflera morototonii",140
"147","SCHOBO",0.579912997,328.4444444,4.360751307,67.13341067,NA,5,0,"Schoepfia obovata",NA
"148","SIDOBO",0.96354011,292.5666667,6.228935831,74.01574953,0.95647467,9,0.0869565217391304,"Sideroxylon obovatum",NA
"149","SIDSAL",0.842611793,205.662037,21.79261586,101.5564497,0.951119496,25,0.0330578512396694,"Sideroxylon salicifolium",69.6
"150","SLOAMY",0.784991099,133.2222222,114.2998069,134.3430704,0.91925284,12,0,"Sloanea amygdalina",NA
