PLANTS_Accepted_Name,SPCD,Symbol,Origin,Height_m,Height_max,Deciduous,Wood_Density,Myco_Group,Leaf_Thickness,Family,Nfixer,Seed_wt_avg_Kew_or_other_g_per_1000
Coccoloba microstachya,6661,COMI,N,6,9.1,E,0.733,EM,Subcoriaceous,Polygonaceae,no,37
Coccoloba pubescens,6663,COPU,N,21,21,E,1,EM,Coriaceous,Polygonaceae,no,27.144
Coccoloba pyrifolia,6664,COPY,N,7.5,11.6,E,No data,No data,Subcoriaceous,Polygonaceae,no,43.6
Coccoloba rugosa,6665,CORU4,N,9,9,E,No data,EM,Coriaceous,Polygonaceae,no,
Coccoloba sintenisii,6666,COSI2,N,10,10,E,No data,EM,Coriaceous,Polygonaceae,no,
Coccoloba swartzii,6668,COSW,N,12,12,E,0.7,No data,Coriaceous,Polygonaceae,no,
Coccoloba uvifera,6670,COUV,N,9,9,E,0.7,EM,Coriaceous,Polygonaceae,no,632
Coccoloba venosa,6671,COVE,N,9,9,D,No data,EM,Chartaceous,Polygonaceae,no,14.2288557
Coccothrinax barbadensis,6673,COBA3,N,15,15,E,No data,AM + NM,Coriaceous,Arecaceae,no,
Cochlospermum vitifolium,6679,COVI,I,7.5,7.5,D,0.218,AM,Chartaceous,Bixaceae,no,28
Cocos nucifera,908,CONU,I,18,18,E,0.539,AM,Coriaceous,Arecaceae,no,576800
Coffea arabica,6684,COAR2,I,4.5,9.4,E,0.62,AM,Subcoriaceous,Rubiaceae,no,188.3
Coffea liberica,6686,COLI8,I,9,12.2,E,No data,AM,Coriaceous,Rubiaceae,no,252.6
Cojoba arborea,6688,COAR9,N,18,18,E,0.655,No data,No data,Fabaceae,yes,850
Colubrina arborescens,6693,COAR3,N,4.5,6.1,E,0.7,AM,Subcoriaceous,Rhamnaceae,no,15.075
Comocladia dodonaea,6705,CODO,N,3,6.1,E,No data,AM,Subcoriaceous,Anacardiaceae,no,
Comocladia glabra,6706,COGL4,N,6,6,E,0.76,AM,Coriaceous,Anacardiaceae,no,
Conocarpus erectus,987,COER2,N,6,13.7,E,0.832,AM,Subcoriaceous,Combretaceae,no,3.194
Cordia alliodora,6728,COAL,N,20,34.1,E,0.529,AM,Subcoriaceous,Boraginaceae,no,33
Cordia borinquensis,6730,COBO3,N,6,30.5,E,0.632,AM,Coriaceous,Boraginaceae,no,61.56
Cordia collococca,6731,COCO5,N,18,18,D,0.42,AM,Subcoriaceous,Boraginaceae,no,97.5
Cordia laevigata,6735,COLA12,N,7.5,12.5,DE,No data,AM,Subcoriaceous,Boraginaceae,no,47.6608
Cordia obliqua,6737,COOB3,I,9,10.1,E,No data,No data,Subcoriaceous,Boraginaceae,no,
Cordia rickseckeri,6738,CORI,N,10.5,11,D,No data,AM,Coriaceous,Boraginaceae,no,
Cordia sebestena,865,COSE2,I,6,7.9,DE,0.7,AM,Subcoriaceous,Boraginaceae,no,333.33
Cordia sulcata,6743,COSU3,N,20,20.1,D,0.494,AM,Subcoriaceous,Boraginaceae,no,81.4948
Cornutia obovata,6746,COOB4,N,7.5,7.5,E,No data,No data,Subcoriaceous,Verbenaceae,no,
Cornutia pyramidata,6747,COPY2,N,4.5,4.5,E,No data,No data,Subcoriaceous,Verbenaceae,no,
Crescentia cujete,6761,CRCU,N,9,9,DE,0.634,AM,Subcoriaceous,Bignoniaceae,no,26.5944
Crossopetalum rhacoma,6767,CRRH,I,6,6.1,DE,No data,AM,Subcoriaceous,Celastraceae,no,19.8744
Croton astroites,6773,CRAS3,N,6,6,E,No data,AM,Subcoriaceous,Euphorbiaceae,no,
Croton flavens,6774,CRFL23,N,2,5.2,E,No data,AM,No data,Euphorbiaceae,no,
Croton poecilanthus,6775,CRPO4,N,12,18.9,E,0.6,AM,Coriaceous,Euphorbiaceae,no,
Cupania americana,6790,CUAM,N,15,22.6,E,0.614,No data,Subcoriaceous,Sapindaceae,no,197.64
Cupania triquetra,6792,CUTR,N,19.5,19.5,E,No data,No data,Subcoriaceous,Sapindaceae,no,
Cyathea arborea,6835,CYAR,N,9,13.4,E,0.173,AM,Subcoriaceous,Cyatheaceae,no,
Cyathea tenera,6848,CYTE10,N,6,6,E,No data,AM,Chartaceous,Cyatheaceae,no,
Cyrilla racemiflora,6862,CYRA,N,15,18,E,0.59,NM,Coriaceous,Cyrillaceae,no,
Dacryodes excelsa,6867,DAEX,N,30,30,E,0.467,AM + NM,Coriaceous,Burseraceae,no,1988.07
Daphnopsis americana,6871,DAAM2,N,7.5,14.9,E,No data,AM,Subcoriaceous,Thymelaeaceae,no,
Daphnopsis philippiana,6873,DAPH,N,6,6,E,No data,AM,Coriaceous,Thymelaeaceae,no,
Delonix regia,6883,DERE,I,15,15,D,0.537,No data,Chartaceous,Fabaceae,yes,408
Dendropanax arboreus,6888,DEAR,N,12,20.1,E,0.42,AM + NM,Chartaceous to Subcoriaceous,Araliaceae,no,8
Ditta myricoides,6923,DIMY,N,10.5,10.5,E,No data,No data,Subcoriaceous,Euphorbiaceae,no,
Dracaena fragrans,6932,DRFR2,I,9,9,E,No data,AM,Subcoriaceous,Agavaceae,no,178.2894737
Drypetes alba,6937,DRAL5,N,10.5,10.5,E,No data,No data,Subcoriaceous,Euphorbiaceae,no,
Drypetes glauca,6938,DRGL2,N,9,17.4,E,0.673,AM + NM,Subcoriaceous,Euphorbiaceae,no,
Drypetes lateriflora,6940,DRLA3,N,9,9,E,0.9,No data,Subcoriaceous,Euphorbiaceae,no,
Erithalis fruticosa,7000,ERFR4,N,2,9.8,E,No data,AM,Subcoriaceous,Rubiaceae,no,
Erythrina berteriana,7004,ERBE3,I,7.5,7.6,D,No data,AM,Chartaceous,Fabaceae,yes,
Erythrina poeppigiana,7011,ERPO5,I,21,29.9,D,0.294,AM,Chartaceous,Fabaceae,yes,245
Erythroxylum areolatum,7019,ERAR17,N,6,8.2,D,No data,NM,Chartaceous,Erythroxylaceae,no,
Erythroxylum rotundifolium,7021,ERRO3,N,7.5,8.8,D,0.832,NM,Chartaceous,Erythroxylaceae,no,20.5465
Erythroxylum rufum,7022,ERRU4,N,6,6,E,No data,NM,Subcoriaceous,Erythroxylaceae,no,
Eucalyptus deglupta,7034,EUDE2,I,60,60,E,0.449,No data,Chartaceous,Myrtaceae,no,0.16
Eucalyptus robusta,514,EURO2,I,27,32.3,E,0.64,AM + EM,Coriaceous,Myrtaceae,no,3.15
Eugenia axillaris,7060,EUAX,N,6.5,7.9,E,0.9,AM,Subcoriaceous,Myrtaceae,no,158.9
Eugenia biflora,7061,EUBI,N,9,15.2,E,0.8,AM,Subcoriaceous,Myrtaceae,no,97.92
Eugenia borinquensis,7063,EUBO4,N,7.5,15.5,E,0.647,AM,Coriaceous,Myrtaceae,no,
Eugenia confusa,7066,EUCO4,N,6,11,E,0.81,AM,Subcoriaceous,Myrtaceae,no,
Eugenia cordata,7067,EUCO5,N,9,9,E,0.645,AM,Subcoriaceous,Myrtaceae,no,95.8015267
Eugenia cordata var. sintenisii,7068,EUCOS,N,9,14,E,No data,AM,Subcoriaceous,Myrtaceae,no,
Eugenia domingensis,7071,EUDO,N,18,18,E,0.59,AM,Subcoriaceous,Myrtaceae,no,25.87
Eugenia ligustrina,7081,EULI,N,2.5,7.9,E,0.981,AM,Subcoriaceous,Myrtaceae,no,
Eugenia monticola,7084,EUMO,N,15,15,E,0.697,AM,Subcoriaceous,Myrtaceae,no,
Eugenia procera,7089,EUPR4,N,4.5,8.2,E,No data,AM,Subcoriaceous,Myrtaceae,no,
Eugenia pseudopsidium,7090,EUPS,N,1,9.1,E,0.868,AM,Subcoriaceous,Myrtaceae,no,
Eugenia rhombea,873,EURH,N,7.5,12.2,E,0.689,AM,Subcoriaceous,Myrtaceae,no,
Eugenia sessiliflora,7094,EUSE10,N,4.5,4.5,E,No data,AM,Coriaceous,Myrtaceae,no,
Eugenia stahlii,7098,EUST3,N,18,20.1,E,0.73,AM,Coriaceous,Myrtaceae,no,
Eugenia xerophytica,7105,EUXE,N,4.5,5.8,E,No data,AM,Subcoriaceous,Myrtaceae,no,
Euphorbia petiolaris,7113,EUPE8,N,6,6,D,No data,AM,Chartaceous,Euphorbiaceae,no,
Exostema caribaeum,7135,EXCA,N,7.5,13.4,E,0.937,AM,Subcoriaceous,Rubiaceae,no,
Exostema sanctae-luciae,7137,EXSA2,N,7.5,7.5,E,No data,AM,Subcoriaceous,Rubiaceae,no,
Exothea paniculata,874,EXPA,N,14,22.9,E,0.73,No data,Chartaceous,Sapindaceae,no,
Faramea occidentalis,7146,FAOC,N,9,9,E,0.584,AM,Subcoriaceous,Rubiaceae,no,300
Ficus americana,7148,FIAM,N,15,15,E,0.4,AM,Coriaceous,Moraceae,no,
Ficus citrifolia,877,FICI,N,18,22.3,E,0.384,AM,Subcoriaceous,Moraceae,no,0.6
Ficus trigonata,7177,FITR,N,27,27,E,0.43,AM,Subcoriaceous,Moraceae,no,0.7884
Flueggea acidoton,7190,FLAC,N,4,4,DE,No data,No data,Coriaceous,Phyllanthaceae,no,
Genipa americana,7235,GEAM,N,18,18,D,0.634,AM,Subcoriaceous,Rubiaceae,no,106
Gesneria pedunculosa,7237,GEPE4,N,4.5,7.3,E,No data,No data,Chartaceous to Subcoriaceous,Gesneriaceae,no,
Gliricidia sepium,7245,GLSE2,I,8,11,D,0.616,AM,Chartaceous,Fabaceae,yes,104
Gomidesia lindeniana,7258,GOLI,N,9,9.4,E,No data,No data,Coriaceous,Myrtaceae,no,
Guaiacum officinale,7279,GUOF,N,9,9.1,E,No data,No data,Subcoriaceous,Zygophyllaceae,no,#N/A
Guapira fragrans,7285,GUFR,N,12,19.5,E,0.489,EM,Subcoriaceous,Nyctaginaceae,no,52
Guapira obtusata,7286,GUOB,N,18,18,D,No data,EM,Subcoriaceous,Nyctaginaceae,no,
Guarea glabra,7288,GUGL3,N,7.5,17.1,E,0.478,AM,Subcoriaceous,Meliaceae,no,595
Guarea guidonia,7290,GUGU,N,23,24.4,E,0.559,AM,Subcoriaceous,Meliaceae,no,500
Guatteria caribaea,7295,GUCA2,N,21,21,E,0.8,AM,Subcoriaceous,Annonaceae,no,
Guazuma ulmifolia,7298,GUUL,N,15,18,E,0.525,AM,Chartaceous,Sterculiaceae,no,47
Guettarda elliptica,7299,GUEL,N,6,6.4,E,0.8,AM,Chartaceous,Rubiaceae,no,86.298
Guettarda odorata,7302,GUOD,N,7.5,7.6,E,No data,AM,Chartaceous,Rubiaceae,no,90
Guettarda ovalifolia,7303,GUOV,N,9,10.4,E,No data,AM,Chartaceous,Rubiaceae,no,
Guettarda pungens,7305,GUPU,N,6,7.9,E,No data,AM,Coriaceous,Rubiaceae,no,
Guettarda scabra,7306,GUSC,N,4.5,13.7,E,0.69,AM,Coriaceous,Rubiaceae,no,
Guettarda valenzuelana,7309,GUVA,N,19.5,19.5,E,0.66,No data,Subcoriaceous,Rubiaceae,no,
Gyminda latifolia,7315,GYLA,N,6,7.3,E,No data,AM,Subcoriaceous,Celastraceae,no,38.2155
Gymnanthes lucida,7317,GYLU,N,9,12.8,E,0.964,No data,Subcoriaceous,Euphorbiaceae,no,
Haematoxylum campechianum,7321,HACA2,I,9,18.3,D,0.934,No data,Chartaceous,Fabaceae,yes,17.087
Helicteres jamaicensis,7347,HEJA,N,3,4.6,E,No data,No data,Subcoriaceous,Sterculiaceae,no,1337.96
Henriettea fascicularis,7353,HEFA5,N,6,8.5,E,No data,No data,Chartaceous,Melastomataceae,no,
Henriettea macfadyenii,7354,HEMA11,N,12,17.1,E,No data,No data,Chartaceous,Melastomataceae,no,
Henriettea squamulosum,7357,HESQ,N,15,17.4,E,0.74,No data,Coriaceous,Melastomataceae,no,
Hernandia sonora,7366,HESO,N,18,18,E,0.28,No data,Subcoriaceous,Hernandiaceae,no,2506.666667
Hibiscus elatus,7403,HIEL,I,24,24,E,0.6,AM,Subcoriaceous,Malvaceae,no,100
Hibiscus rosa-sinensis,7410,HIRO3,I,4.5,4.5,E,No data,AM,Chartaceous,Malvaceae,no,
Hippomane mancinella,883,HIMA2,N,12,12,E,0.5,No data,Coriaceous,Euphorbiaceae,no,
Hirtella rugosa,7418,HIRU2,N,6,6.4,E,0.9,AM,Subcoriaceous,Chrysobalanaceae,no,96.892
Hirtella triandra,7420,HITR3,N,9,9,E,0.683,No data,Chartaceous,Chrysobalanaceae,no,
Homalium racemosum,7422,HORA,N,21,21,E,0.778,No data,Chartaceous to Subcoriaceous,Flacourtiaceae,no,
Hura crepitans,7434,HUCR,N,24,24,D,0.367,No data,Subcoriaceous,Euphorbiaceae,no,868
Hyeronima clusioides,7438,HYCL,N,21,21,E,No data,No data,Subcoriaceous,Euphorbiaceae,no,4.9
Hymenaea courbaril,7442,HYCO,N,20,25.6,E,0.788,EM + NM,Coriaceous,Fabaceae,yes,3678
Hypelate trifoliata,7445,HYTR,N,6,7,E,No data,No data,Coriaceous,Sapindaceae,no,
Ilex macfadyenii,7458,ILMA,N,12,12,E,No data,No data,Subcoriaceous,Aquifoliaceae,no,
Ilex nitida,7459,ILNI,N,12,12,E,No data,AM + EM,Coriaceous,Aquifoliaceae,no,
Ilex sideroxyloides,7462,ILSI,N,12,12,E,0.77,No data,Coriaceous,Aquifoliaceae,no,
Inga,7467,INGA,N,19.5,19.5,E,0.6,AM,Coriaceous,Fabaceae,yes,
Inga laurina,7470,INLA,N,21,22.9,E,0.649,AM,Coriaceous,Fabaceae,yes,892.86
Inga nobilis ssp. quaternata,7471,INNOQ,I,7.5,11.9,E,0.56,AM,No data,Fabaceae,yes,
Inga vera,7474,INVE,N,18,29,E,0.563,AM,Coriaceous,Fabaceae,yes,
Ixora ferrea,7479,IXFE,I,6,23.5,E,0.65,AM,Subcoriaceous,Rubiaceae,no,
Jacquinia armillaris,7485,JAAR2,N,4.5,4.5,E,No data,No data,Coriaceous,Theophrastaceae,no,19.9932
Krugiodendron ferreum,7514,KRFE,N,4.5,10.4,E,1.089,No data,Subcoriaceous,Rhamnaceae,no,90.09
Laetia procera,7530,LAPR2,N,23,23,E,0.648,No data,Subcoriaceous,Flacourtiaceae,no,4
Laguncularia racemosa,988,LARA2,N,12,15.8,E,0.61,No data,Coriaceous,Combretaceae,no,280
Lawsonia inermis,7550,LAIN5,I,5.5,5.5,E,No data,AM + NM,Chartaceous,Lythraceae,no,1.236
Leandra krugiana,7552,LEKR,N,3,3,E,No data,AM,Chartaceous,Melastomataceae,no,
Leucaena leucocephala,7565,LELE10,I,7.5,13.1,D,0.678,AM,Chartaceous,Fabaceae,yes,43.27
Licaria brittoniana,7569,LIBR5,N,18,18,E,No data,No data,Coriaceous,Lauraceae,no,
Licaria parvifolia,7570,LIPA9,N,15,15.8,E,0.8,AM,Coriaceous,Lauraceae,no,
Lonchocarpus domingensis,7590,LODO5,N,21,21,D,No data,AM + EM,Subcoriaceous,Fabaceae,yes,
Lonchocarpus glaucifolius,7591,LOGL2,N,9,17.7,E,No data,AM + EM,Coriaceous,Fabaceae,yes,
Lonchocarpus heptaphyllus,7592,LOHE7,N,9,17.1,D,0.687,No data,Subcoriaceous,Fabaceae,yes,91
Lyonia rubiginosa,7608,LYRU2,N,6,14.9,E,No data,No data,Subcoriaceous,Ericaceae,no,
Machaonia portoricensis,7630,MAPO6,N,6,6,D,No data,AM,Chartaceous,Rubiaceae,no,1.606
Maclura tinctoria,7632,MATI3,N,15,15,D,0.795,No data,No data,Moraceae,no,3
Magnolia portoricensis,7635,MAPO2,N,21,21,E,0.7,AM,Coriaceous,Magnoliaceae,no,135.53
Magnolia splendens,7636,MASP,N,23,23,E,0.59,AM,Coriaceous,Magnoliaceae,no,
Mammea americana,7652,MAAM2,N,18,18,E,0.624,AM + NM,Coriaceous,Clusiaceae,no,73300
Mangifera indica,885,MAIN3,I,19.5,35.1,E,0.573,AM,Coriaceous,Anacardiaceae,no,16466
Manilkara bidentata,7662,MABI5,N,30,30,E,0.873,AM + EM,Coriaceous,Sapotaceae,no,1500
Manilkara zapota,7674,MAZA,I,15,36.6,E,0.81,AM + EM,Subcoriaceous,Sapotaceae,no,126.74
Margaritaria nobilis,7682,MANO,N,12,17.1,D,0.622,No data,Chartaceous,Euphorbiaceae,no,11
Matayba domingensis,7689,MADO2,N,18,21,E,0.73,AM,Coriaceous,Sapindaceae,no,
Maytenus elongata,7697,MAEL3,N,6,6,E,No data,No data,Coriaceous,Celastraceae,no,
Maytenus laevigata,7698,MALA8,N,13.5,14,E,No data,AM,Subcoriaceous,Celastraceae,no,
Maytenus ponceana,7699,MAPO5,N,12,12,E,No data,AM,Coriaceous,Celastraceae,no,
Melicoccus bijugatus,7717,MEBI,I,18,18.3,E,0.767,No data,Chartaceous,Sapindaceae,no,2638.52
Meliosma herbertii,7763,MEHE,N,18,21,E,0.42,No data,Subcoriaceous,Sabiaceae,no,
Metopium toxiferum,886,METO3,N,6,8.8,E,0.574,AM,Coriaceous,Anacardiaceae,no,
Miconia impetiolaris,7807,MIIM,N,6,6,E,No data,AM,Coriaceous,Melastomataceae,no,
Miconia laevigata,7808,MILA8,N,3,13.1,E,No data,AM,Coriaceous,Melastomataceae,no,
Miconia pachyphylla,7812,MIPA7,N,3,7,E,No data,AM,Coriaceous,Melastomataceae,no,
Miconia prasina,7813,MIPR3,N,7.5,13.4,E,0.705,AM,Subcoriaceous,Melastomataceae,no,5.7168
Miconia pycnoneura,7815,MIPY2,N,4.5,7.6,E,No data,AM,Coriaceous,Melastomataceae,no,
Miconia racemosa,7816,MIRA2,N,3,3.7,E,0.45,AM,Subcoriaceous,Melastomataceae,no,2
Miconia serrulata,7818,MISE2,N,7.5,9.4,E,No data,AM,Subcoriaceous,Melastomataceae,no,
Miconia sintenisii,7819,MISI2,N,7.5,7.5,E,No data,AM,Coriaceous,Melastomataceae,no,0.048
Miconia tetrandra,7822,MITE4,N,18,21.3,E,0.667,AM,Subcoriaceous,Melastomataceae,no,
Micropholis garciniifolia,7828,MIGA,N,15,16.8,E,0.646,AM,Coriaceous,Sapotaceae,no,
Micropholis guyanensis,7829,MIGU2,N,18,18.6,E,0.663,AM,Coriaceous,Sapotaceae,no,1142.86
Morisonia americana,7857,MOAM,N,7.5,7.5,E,0.88,AM + NM,Coriaceous,Capparaceae,no,
Morus nigra,684,MONI,I,9,13.7,D,0.517,No data,Chartaceous,Moraceae,no,4.2
Mouriri helleri,7863,MOHE,N,3,3,E,No data,No data,Subcoriaceous,Melastomataceae,no,
Myrcia citrifolia,7886,MYCI,N,6,8.2,E,No data,AM,Coriaceous,Myrtaceae,no,
Myrcia deflexa,7887,MYDE,N,9,11.6,E,0.8,AM,Coriaceous,Myrtaceae,no,
Myrcia fallax,7888,MYFA3,N,10,13.1,E,0.82,AM,Coriaceous,Myrtaceae,no,
Myrcia leptoclada,7889,MYLE,N,10.5,10.5,E,0.804,AM,Subcoriaceous,Myrtaceae,no,
Myrcia splendens,7891,MYSP,N,9,13.1,E,0.702,AM,Subcoriaceous,Myrtaceae,no,173
Myrcianthes fragrans,7893,MYFR,N,16.5,16.5,E,No data,No data,Coriaceous,Myrtaceae,no,
Myrciaria floribunda,7895,MYFL,N,16.5,16.8,E,0.785,No data,Chartaceous,Myrtaceae,no,
Myrospermum frutescens,7905,MYFR2,I,6,6.1,D,0.83,No data,Chartaceous,Fabaceae,yes,
Myrsine coriacea,7911,MYCO2,N,9,9.4,E,0.647,AM,Subcoriaceous,Myrsinaceae,no,9.34
Myrsine cubana,7912,MYCU2,N,6,22.3,E,No data,AM,Coriaceous,Myrsinaceae,no,
Nectandra coriacea,7932,NECO,N,9,19.2,E,0.47,AM,Coriaceous,Lauraceae,no,
