PLANTS_Accepted_Name,SPCD,Symbol,Origin,Height_m,Height_max,Deciduous,Wood_Density,Myco_Group,Leaf_Thickness,Family,Nfixer,Seed_wt_avg_Kew_or_other_g_per_1000
Psychotria berteriana,8361,PSBE,N,6,10.1,E,0.473,AM,Chartaceous,Rubiaceae,no,
Psychotria brachiata,8362,PSBR2,N,5,5,E,0.376,AM,Chartaceous,Rubiaceae,no,
Psychotria grandis,8367,PSGR2,N,10.5,10.5,E,0.295,No data,Chartaceous,Rubiaceae,no,
Pterocarpus macrocarpus,8408,PTMA7,I,24,24,E,0.7,AM,Chartaceous,Fabaceae,yes,533.46
Pterocarpus marsupium,8409,PTMA3,I,30,30,D,0.62,AM,No data,Fabaceae,yes,583
Quararibea turbinata,8422,QUTU,N,6,25.9,E,No data,AM,Subcoriaceous,Bombacaceae,no,
Randia aculeata,8425,RAAC,N,3,7.6,D,0.672,AM,Subcoriaceous,Rubiaceae,no,
Rauvolfia nitida,8433,RANI2,N,12,12,E,No data,AM,Subcoriaceous,Apocynaceae,no,
Reynosia uncinata,8447,REUN,N,9,9,E,No data,No data,Coriaceous,Rhamnaceae,no,
Rhizophora mangle,989,RHMA2,N,7.5,13.4,E,0.884,No data,Subcoriaceous,Rhizophoraceae,no,10100
Ricinus communis,8472,RICO3,I,4.5,4.5,E,No data,AM,Chartaceous,Euphorbiaceae,no,322.31
Rochefortia acanthophora,8476,ROAC2,N,3,4.6,D,No data,AM + NM,Subcoriaceous,Boraginaceae,no,
Rondeletia inermis,8483,ROIN4,N,4.5,8.5,E,No data,AM,Subcoriaceous,Rubiaceae,no,0.0788
Rondeletia pilosa,8484,ROPI3,N,4.5,14,E,No data,AM,Subcoriaceous,Rubiaceae,no,
Roystonea borinquena,8489,ROBO,N,18,24.4,E,0.82,AM + NM,Coriaceous,Arecaceae,no,333.33
Sabal causiarum,8494,SACA,N,9,9,E,No data,No data,Coriaceous,Arecaceae,no,484.26
Samanea saman,8505,SASA10,I,20,20,E,0.503,No data,Subcoriaceous,Fabaceae,yes,176
Samyda dodecandra,8556,SADO7,N,3.5,8.8,D,No data,No data,Chartaceous,Flacourtiaceae,no,
Sapindus saponaria,8529,SASA4,N,18,18.3,E,0.712,No data,Chartaceous,Sapindaceae,no,767
Sapium laurocerasus,8536,SALA8,N,18,19.8,E,0.415,No data,Subcoriaceous,Euphorbiaceae,no,
Savia sessiliflora,8546,SASE6,N,7.5,7.5,D,No data,No data,Chartaceous,Euphorbiaceae,no,
Schaefferia frutescens,8554,SCFR,N,9,9,E,No data,AM,Subcoriaceous,Celastraceae,no,38.2968
Schefflera actinophylla,888,SCAC2,I,10.5,10.5,E,0.413,No data,Subcoriaceous,Araliaceae,no,7.4
Schefflera gleasonii,8557,SCGL6,N,4.5,11.6,E,No data,No data,Subcoriaceous,Araliaceae,no,
Schefflera morototonii,8558,SCMO10,N,18,21.6,E,No data,No data,Coriaceous,Araliaceae,no,140
Schoepfia obovata,8572,SCOB,N,3,4.9,E,No data,AM,Subcoriaceous,Olacaceae,no,
Senegalia muricata,6012,ACMU,N,9,18.3,D,No data,AM + EM,Chartaceous to Subcoriaceous,Fabaceae,yes,
Senna siamea,8596,SESI3,I,18,25,E,0.669,AM,Chartaceous,Fabaceae,no,25
Senna spectabilis,8597,SESP9,I,15,15,D,0.48,AM,Chartaceous,Fabaceae,no,27.2
