"","PLANTS_Accepted_Name","SPCD","Symbol","Origin","Height_m","Height_max","Deciduous","Wood_Density","Myco_Group","Leaf_Thickness","Family","Nfixer","Seed_wt_avg_Kew_or_other_g_per_1000"
"214","Plumeria obtusa",8268,"PLOB2","N",12,12,"E","0.684","AM","Subcoriaceous","Apocynaceae","no",""
"215","Podocarpus coriaceus",8273,"POCO3","N",9,12.2,"E","0.7","AM","Coriaceous","Podocarpaceae","no","160.4"
"216","Poitea florida",8275,"POFL20","N",1.5,15.2,"E","No data","No data","No data","Fabaceae","yes","17"
"217","Pouteria multiflora",8302,"POMU6","N",24,24,"E","0.77","AM","Coriaceous","Sapotaceae","no","16000"
"218","Pouteria sapota",8305,"POSA13","N",18,18,"DE","0.855","AM","Coriaceous","Sapotaceae","no","17770"
"219","Prosopis pallida",8344,"PRPA4","I",20,20,"D","0.774","AM + EM","Chartaceous","Fabaceae","yes","38.7"
"220","Prunus myrtifolia",8346,"PRMY","N",7.5,7.5,"E","0.741","No data","Subcoriaceous","Rosaceae","no",""
"221","Prunus occidentalis",8347,"PROC","N",24,24,"E","0.97","AM + EM","Subcoriaceous","Rosaceae","no","1930.5"
"222","Pseudolmedia spuria",8352,"PSSP2","N",15,16.8,"E","0.75","AM","Subcoriaceous","Moraceae","no","1700.84"
"223","Psidium guajava",8356,"PSGU","N",4.5,9.1,"E","0.652","AM","Subcoriaceous","Myrtaceae","no","9"
"224","Psidium sintenisii",8359,"PSSI2","N",9,12.8,"E","No data","No data","Subcoriaceous","Myrtaceae","no",""
"225","Psychotria berteriana",8361,"PSBE","N",6,10.1,"E","0.473","AM","Chartaceous","Rubiaceae","no",""
"226","Psychotria grandis",8367,"PSGR2","N",10.5,10.5,"E","0.295","No data","Chartaceous","Rubiaceae","no",""
"227","Quararibea turbinata",8422,"QUTU","N",6,25.9,"E","No data","AM","Subcoriaceous","Bombacaceae","no",""
"228","Randia aculeata",8425,"RAAC","N",3,7.6,"D","0.672","AM","Subcoriaceous","Rubiaceae","no",""
"229","Rhizophora mangle",989,"RHMA2","N",7.5,13.4,"E","0.884","No data","Subcoriaceous","Rhizophoraceae","no","10100"
"230","Rochefortia acanthophora",8476,"ROAC2","N",3,4.6,"D","No data","AM + NM","Subcoriaceous","Boraginaceae","no",""
"231","Rondeletia inermis",8483,"ROIN4","N",4.5,8.5,"E","No data","AM","Subcoriaceous","Rubiaceae","no","0.0788"
"232","Rondeletia pilosa",8484,"ROPI3","N",4.5,14,"E","No data","AM","Subcoriaceous","Rubiaceae","no",""
"233","Roystonea borinquena",8489,"ROBO","N",18,24.4,"E","0.82","AM + NM","Coriaceous","Arecaceae","no","333.33"
"234","Sabal causiarum",8494,"SACA","N",9,9,"E","No data","No data","Coriaceous","Arecaceae","no","484.26"
"235","Samanea saman",8505,"SASA10","I",20,20,"E","0.503","No data","Subcoriaceous","Fabaceae","yes","176"
"236","Samyda dodecandra",8556,"SADO7","N",3.5,8.8,"D","No data","No data","Chartaceous","Flacourtiaceae","no",""
"237","Sapium laurocerasus",8536,"SALA8","N",18,19.8,"E","0.415","No data","Subcoriaceous","Euphorbiaceae","no",""
"238","Schaefferia frutescens",8554,"SCFR","N",9,9,"E","No data","AM","Subcoriaceous","Celastraceae","no","38.2968"
"239","Schefflera morototonii",8558,"SCMO10","N",18,21.6,"E","No data","No data","Coriaceous","Araliaceae","no","140"
"240","Schoepfia obovata",8572,"SCOB","N",3,4.9,"E","No data","AM","Subcoriaceous","Olacaceae","no",""
"241","Senna siamea",8596,"SESI3","I",18,25,"E","0.669","AM","Chartaceous","Fabaceae","no","25"
"242","Senna spectabilis",8597,"SESP9","I",15,15,"D","0.48","AM","Chartaceous","Fabaceae","no","27.2"
"243","Sideroxylon cubense",8611,"SICU7","N",6,10.1,"E","No data","AM","Subcoriaceous","Sapotaceae","no",""
"244","Sideroxylon foetidissimum",890,"SIFO","N",15,18,"E","0.895","AM","Subcoriaceous","Sapotaceae","no",""
"245","Sideroxylon obovatum",8613,"SIOB","N",12,12.5,"E","0.86","AM","Subcoriaceous","Sapotaceae","no",""
"246","Sideroxylon salicifolium",891,"SISA6","N",15,18,"E","0.867","AM","Subcoriaceous","Sapotaceae","no","69.6"
"247","Sloanea amygdalina",8623,"SLAM","N",27,27,"E","No data","AM","Coriaceous","Elaeocarpaceae","no",""
"248","Sloanea berteriana",8624,"SLBE","N",30,30,"E","0.775","AM","Chartaceous","Elaeocarpaceae","no","460"
"249","Spathodea campanulata",8644,"SPCA2","I",24,28.3,"D","0.324","AM","Subcoriaceous","Bignoniaceae","no","5"
"250","Spondias dulcis",8649,"SPDU3","I",12,12,"D","0.314","No data","Chartaceous","Anacardiaceae","no","1710.280186"
"251","Spondias mombin",8650,"SPMO","N",18,21,"D","0.391","AM","Chartaceous","Anacardiaceae","no","2047"
"252","Spondias purpurea",8652,"SPPU","I",9,14,"D","0.33","AM","Chartaceous","Anacardiaceae","no",""
"253","Sterculia apetala",8664,"STAP","I",15,15,"E","0.392","AM","Coriaceous","Sterculiaceae","no","1898.5"
"254","Swietenia macrophylla",8679,"SWMA","I",18,25,"D","0.52","AM","Subcoriaceous","Meliaceae","no","566"
"255","Swietenia mahagoni",940,"SWMA2","I",18,38.1,"DE","0.64","AM","Subcoriaceous","Meliaceae","no","93.4"
"256","Symplocos martinicensis",8684,"SYMA","N",9,13.1,"E","0.8","No data","Chartaceous to Subcoriaceous","Symplocaceae","no",""
"257","Syzygium jambos",8701,"SYJA","I",9,19.8,"E","0.684","AM","Coriaceous","Myrtaceae","no","1340"
"258","Tabebuia haemantha",8712,"TAHA","N",6,18,"E","0.607","AM","Coriaceous","Bignoniaceae","no","14.065"
"259","Tabebuia heterophylla",8713,"TAHE","N",18,23.5,"DE","0.535","AM","Subcoriaceous","Bignoniaceae","no","10"
"260","Tabebuia schumanniana",8717,"TASC2","N",12,12,"E","0.9","AM","Coriaceous","Bignoniaceae","no","14.73"
"261","Tamarindus indica",897,"TAIN2","I",12,12.2,"E","0.978","AM","Chartaceous","Fabaceae","no","646"
"262","Tecoma stans",8743,"TEST","N",7.5,7.5,"E","0.516","AM","Chartaceous","Bignoniaceae","no","9"
"263","Terminalia catappa",8750,"TECA","I",15,15.8,"E","0.494","AM","Coriaceous","Combretaceae","no","2473"
"264","Ternstroemia stahlii",8766,"TEST3","N",6,6,"E","No data","No data","Coriaceous","Theaceae","no",""
"265","Tetragastris balsamifera",8768,"TEBA","N",24,24,"E","0.65","AM + NM","Subcoriaceous","Burseraceae","no",""
"266","Tetrazygia elaeagnoides",8781,"TEEL","N",9,14.6,"E","0.562","No data","Coriaceous","Melastomataceae","no",""
"267","Thespesia grandiflora",8786,"THGR2","N",15,18,"E","0.665","AM","Subcoriaceous","Malvaceae","no","253.81"
"268","Thespesia populnea",8787,"THPO3","I",9,9,"E","0.627","AM","Subcoriaceous","Malvaceae","no","125.6"
"269","Thouinia striata",8793,"THST2","N",15,20.4,"E","0.837","No data","Subcoriaceous","Sapindaceae","no","9.3324"
"270","Trichilia hirta",8833,"TRHI3","N",6,11.9,"D","0.55","AM","Chartaceous","Meliaceae","no","51.4516"
"271","Trichilia pallida",8834,"TRPA2","N",9,17.7,"E","0.7","AM","Subcoriaceous","Meliaceae","no","43.0228"
"272","Triplaris cumingiana",8844,"TRCU6","I",21,21,"E","0.52","No data","Subcoriaceous","Polygonaceae","no","59"
"273","Turpinia occidentalis",8850,"TUOC","N",9,22.3,"E","0.335","No data","Chartaceous","Staphyleaceae","no","40"
"274","Urera baccifera",8853,"URBA","N",4.5,5.8,"E","0.165","AM + NM","Chartaceous","Urticaceae","no",""
"275","Vitex divaricata",8873,"VIDI2","N",19.5,19.5,"D","0.62","AM","Chartaceous","Verbenaceae","no",""
"276","Xylosma pachyphylla",8910,"XYPA2","N",6,9.8,"E","No data","AM","Coriaceous","Flacourtiaceae","no",""
"277","Zanthoxylum caribaeum",8924,"ZACA3","N",18,18,"E","0.76","AM","Subcoriaceous","Rutaceae","no",""
"278","Zanthoxylum martinicense",8931,"ZAMA","N",19.5,29,"E","0.581","AM","Chartaceous","Rutaceae","no","15.3504"
"279","Zanthoxylum monophyllum",8932,"ZAMO","N",7.5,12.8,"D","0.735","AM","Subcoriaceous","Rutaceae","no",""
"280","Ziziphus mauritiana",8939,"ZIMA","I",12,13.4,"E","0.618","AM","No data","Rhamnaceae","no","545"
