"","PLANTS_Accepted_Name","SPCD","Symbol","Origin","Height_m","Height_max","Deciduous","Wood_Density","Myco_Group","Leaf_Thickness","Family","Nfixer","Seed_wt_avg_Kew_or_other_g_per_1000"
"57","Cinnamomum elongatum",6559,"CIEL2","N",30,30,"E","0.56","AM","Subcoriaceous","Lauraceae","no",""
"58","Cinnamomum montanum",6560,"CIMO3","N",19,19,"E","No data","AM","Chartaceous","Lauraceae","no",""
"59","Citharexylum spinosum",859,"CISP3","N",12,12,"E","0.684","AM","Coriaceous","Verbenaceae","no","73.0957"
"60","Citharexylum spinosum",6567,"CISP3","N",12,12,"E","0.684","AM","Coriaceous","Verbenaceae","no","73.0957"
"61","Clusia rosea",6651,"CLRO","N",18,21.3,"E","0.618","AM","Coriaceous","Clusiaceae","no","11.3808"
"62","Coccoloba diversifolia",863,"CODI8","N",9,16.2,"E","0.763","EM","Coriaceous","Polygonaceae","no",""
"63","Coccoloba krugii",6660,"COKR","N",6,6,"E","No data","EM","Coriaceous","Polygonaceae","no","22.9532"
"64","Coccoloba microstachya",6661,"COMI","N",6,9.1,"E","0.733","EM","Subcoriaceous","Polygonaceae","no","37"
"65","Coccoloba pyrifolia",6664,"COPY","N",7.5,11.6,"E","No data","No data","Subcoriaceous","Polygonaceae","no","43.6"
"66","Coccoloba rugosa",6665,"CORU4","N",9,9,"E","No data","EM","Coriaceous","Polygonaceae","no",""
"67","Coccoloba sintenisii",6666,"COSI2","N",10,10,"E","No data","EM","Coriaceous","Polygonaceae","no",""
"68","Coccoloba uvifera",6670,"COUV","N",9,9,"E","0.7","EM","Coriaceous","Polygonaceae","no","632"
"69","Coccoloba venosa",6671,"COVE","N",9,9,"D","No data","EM","Chartaceous","Polygonaceae","no","14.2288557"
"70","Coccothrinax barbadensis",6673,"COBA3","N",15,15,"E","No data","AM + NM","Coriaceous","Arecaceae","no",""
"71","Cochlospermum vitifolium",6679,"COVI","I",7.5,7.5,"D","0.218","AM","Chartaceous","Bixaceae","no","28"
"72","Cocos nucifera",908,"CONU","I",18,18,"E","0.539","AM","Coriaceous","Arecaceae","no","576800"
"73","Coffea arabica",6684,"COAR2","I",4.5,9.4,"E","0.62","AM","Subcoriaceous","Rubiaceae","no","188.3"
"74","Coffea liberica",6686,"COLI8","I",9,12.2,"E","No data","AM","Coriaceous","Rubiaceae","no","252.6"
"75","Cojoba arborea",6688,"COAR9","N",18,18,"E","0.655","No data","No data","Fabaceae","yes","850"
"76","Colubrina arborescens",6693,"COAR3","N",4.5,6.1,"E","0.7","AM","Subcoriaceous","Rhamnaceae","no","15.075"
"77","Comocladia dodonaea",6705,"CODO","N",3,6.1,"E","No data","AM","Subcoriaceous","Anacardiaceae","no",""
"78","Comocladia glabra",6706,"COGL4","N",6,6,"E","0.76","AM","Coriaceous","Anacardiaceae","no",""
"79","Conocarpus erectus",987,"COER2","N",6,13.7,"E","0.832","AM","Subcoriaceous","Combretaceae","no","3.194"
"80","Cordia alliodora",6728,"COAL","N",20,34.1,"E","0.529","AM","Subcoriaceous","Boraginaceae","no","33"
"81","Cordia borinquensis",6730,"COBO3","N",6,30.5,"E","0.632","AM","Coriaceous","Boraginaceae","no","61.56"
"82","Cordia collococca",6731,"COCO5","N",18,18,"D","0.42","AM","Subcoriaceous","Boraginaceae","no","97.5"
"83","Cordia laevigata",6735,"COLA12","N",7.5,12.5,"DE","No data","AM","Subcoriaceous","Boraginaceae","no","47.6608"
"84","Cordia obliqua",6737,"COOB3","I",9,10.1,"E","No data","No data","Subcoriaceous","Boraginaceae","no",""
"85","Cordia sulcata",6743,"COSU3","N",20,20.1,"D","0.494","AM","Subcoriaceous","Boraginaceae","no","81.4948"
"86","Cornutia obovata",6746,"COOB4","N",7.5,7.5,"E","No data","No data","Subcoriaceous","Verbenaceae","no",""
