CN,TRE_CN,THRESHOLD_TYPE,PLT_CN,STATECD,DIA,DIAHTCD,TREE_SIZE,TREECLCD,SUBPTYP,HT,ACTUALHT,VOLCFSND,VOLCFNET,VOLCSNET,VOLBFNET,REGIONAL_DRYBIOT,REGIONAL_DRYBIOM,REGIONAL_DRYBIOSL,DRYBIO_BG,DRYBIO_AG,DRYBIO_WDLD_SPP,DRYBIO_SAPLING,DRYBIO_STUMP,DRYBIO_BOLE,DRYBIO_SAWLOG,DRYBIO_TOP,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,VOLBSNET
619085714126144,249698865010854,MICROPLOT,249604191010854,72,1.0,1,SAPLING,3,2.0,,,,,,,5.864835311366765,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:07,126144,FSJASONMEADE,2019-03-06 12:02:07,126144,
619085715126144,249698866010854,MICROPLOT,249604191010854,72,1.0,1,SAPLING,3,2.0,,,,,,,5.864835311366765,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:07,126144,FSJASONMEADE,2019-03-06 12:02:07,126144,
619085716126144,249698867010854,MICROPLOT,249604191010854,72,1.0,1,SAPLING,3,2.0,,,,,,,4.985687706379398,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:07,126144,FSJASONMEADE,2019-03-06 12:02:07,126144,
619085717126144,249698868010854,MICROPLOT,249604191010854,72,1.0,1,SAPLING,3,2.0,,,,,,,4.985687706379398,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:07,126144,FSJASONMEADE,2019-03-06 12:02:07,126144,
619085718126144,249699714010854,MICROPLOT,249604191010854,72,1.0,1,SAPLING,3,2.0,,,,,,,5.576137,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:07,126144,FSJASONMEADE,2019-03-06 12:02:07,126144,
619085719126144,249699715010854,MICROPLOT,249604191010854,72,1.0,1,SAPLING,3,2.0,,,,,,,5.576137,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:07,126144,FSJASONMEADE,2019-03-06 12:02:07,126144,
619085711126144,249698479010854,SUBPLOT,249604191010854,72,5.0,1,SMALL,2,1.0,,,1.1990126198561257,1.1990126198561257,,,,,,14.782294861641468,73.19157031245794,,,6.087168631925804,44.917069286256044,,22.187332394276094,FSJASONMEADE,2019-03-06 12:02:07,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085712126144,249699709010854,MICROPLOT,249604191010854,72,1.0,1,SAPLING,3,2.0,,,,,,,4.985687706379398,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:07,126144,FSJASONMEADE,2019-03-06 12:02:07,126144,
619085713126144,249698478010854,SUBPLOT,249604191010854,72,5.0,1,SMALL,3,1.0,,,1.199013,1.199013,,,,,,14.782299548330121,73.1915935176575,,,6.087170561846999,44.9170835270976,,22.187339428712896,FSJASONMEADE,2019-03-06 12:02:07,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085723126144,249698686010854,SUBPLOT,249604194010854,72,5.0,1,SMALL,2,1.0,,,1.27491,1.27491,,,,,,15.718012663049988,77.82458946783456,,,6.472485803743877,47.760315325632,,23.59178833845868,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
