CN,ESTN_UNIT_CN,RSCD,EVALID,ESTN_UNIT,STRATUMCD,STRATUM_DESCR,STATECD,P1POINTCNT,P2POINTCNT,EXPNS,ADJ_FACTOR_MACR,ADJ_FACTOR_SUBP,ADJ_FACTOR_MICR,ADJ_FACTOR_CWD,ADJ_FACTOR_FWD_SM,ADJ_FACTOR_FWD_LG,ADJ_FACTOR_DUFF,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,ADJ_FACTOR_PILE,ADJ_FACTOR_REGEN_MICR,ADJ_FACTOR_INV_SUBP,ADJ_FACTOR_P2VEG_SUBP,ADJ_FACTOR_GRNDLYR_MICROQUAD,ADJ_FACTOR_SOIL
312201345489998,313194413489998,33,721401,1,3,FOREST,72,4401059,187,5233.865911794339,0.0,1.0438240833559733,1.0432357043235705,,,,,JTURNER02,2015-03-17 15:28:20,489998,JTURNER02,2015-03-17 15:28:21,489998,,,,,,
312201346489998,313194413489998,33,721401,1,5,CENSUS WATER,72,3908966,133,6536.07850620699,0.0,1.0,1.0,,,,,JTURNER02,2015-03-17 15:28:21,489998,JTURNER02,2015-03-17 15:28:21,489998,,,,,,
312201347489998,313194414489998,33,721401,2,1,NONFOREST,72,34841,10,774.8248556646342,0.0,1.0256410256410255,1.0256410256410255,,,,,JTURNER02,2015-03-17 15:28:21,489998,JTURNER02,2015-03-17 15:28:21,489998,,,,,,
312201348489998,313194414489998,33,721401,2,3,FOREST,72,51755,11,1046.33935475506,0.0,1.0,1.0,,,,,JTURNER02,2015-03-17 15:28:21,489998,JTURNER02,2015-03-17 15:28:21,489998,,,,,,
312201349489998,313194414489998,33,721401,2,5,CENSUS WATER,72,610457,206,659.0233313926618,0.0,1.0,1.0,,,,,JTURNER02,2015-03-17 15:28:21,489998,JTURNER02,2015-03-17 15:28:21,489998,,,,,,
312201350489998,313194414489998,33,721401,2,800,NAVAL BOMBING RANGE,72,62643,11,1266.463843105424,0.0,1.0731707317073171,1.0731707317073171,,,,,JTURNER02,2015-03-17 15:28:21,489998,JTURNER02,2015-03-17 15:28:21,489998,,,,,,
312201351489998,313194415489998,33,721401,3,1,NONFOREST,72,10827,6,401.2977847391311,0.0,1.0434782608695652,1.0434782608695652,,,,,JTURNER02,2015-03-17 15:28:21,489998,JTURNER02,2015-03-17 15:28:21,489998,,,,,,
312201352489998,313194415489998,33,721401,3,3,FOREST,72,22121,5,983.885652115746,0.0,1.0,1.0,,,,,JTURNER02,2015-03-17 15:28:21,489998,JTURNER02,2015-03-17 15:28:21,489998,,,,,,
312201353489998,313194415489998,33,721401,3,5,CENSUS WATER,72,452909,206,488.9377914125557,0.0,1.0,1.0,,,,,JTURNER02,2015-03-17 15:28:21,489998,JTURNER02,2015-03-17 15:28:21,489998,,,,,,
312201354489998,313194490489998,33,721403,1,1,NONFOREST,72,5207047,181,6397.641951209552,0.0,1.011173184357542,1.011173184357542,,,,,JTURNER02,2015-03-17 15:28:22,489998,JTURNER02,2015-03-17 15:28:22,489998,,,,,,
312201355489998,313194490489998,33,721403,1,3,FOREST,72,4401059,177,5529.564550878765,0.0,1.043331256495032,1.0427098674521356,,,,,JTURNER02,2015-03-17 15:28:22,489998,JTURNER02,2015-03-17 15:28:23,489998,,,,,,
312201356489998,313194490489998,33,721403,1,5,CENSUS WATER,72,3908966,133,6536.07850620699,0.0,1.0,1.0,,,,,JTURNER02,2015-03-17 15:28:23,489998,JTURNER02,2015-03-17 15:28:23,489998,,,,,,
312201357489998,313194491489998,33,721403,2,1,NONFOREST,72,34841,10,774.8248556646342,0.0,1.0256410256410255,1.0256410256410255,,,,,JTURNER02,2015-03-17 15:28:23,489998,JTURNER02,2015-03-17 15:28:23,489998,,,,,,
312201358489998,313194491489998,33,721403,2,3,FOREST,72,51755,11,1046.33935475506,0.0,1.0,1.0,,,,,JTURNER02,2015-03-17 15:28:23,489998,JTURNER02,2015-03-17 15:28:23,489998,,,,,,
312201359489998,313194491489998,33,721403,2,5,CENSUS WATER,72,610457,205,662.2380793506748,0.0,1.0,1.0,,,,,JTURNER02,2015-03-17 15:28:23,489998,JTURNER02,2015-03-17 15:28:23,489998,,,,,,
312201360489998,313194491489998,33,721403,2,800,NAVAL BOMBING RANGE,72,62643,5,2786.220454831933,0.0,1.0,1.0,,,,,JTURNER02,2015-03-17 15:28:23,489998,JTURNER02,2015-03-17 15:28:23,489998,,,,,,
312201361489998,313194492489998,33,721403,3,1,NONFOREST,72,10827,6,401.2977847391311,0.0,1.0434782608695652,1.0434782608695652,,,,,JTURNER02,2015-03-17 15:28:23,489998,JTURNER02,2015-03-17 15:28:23,489998,,,,,,
312201362489998,313194492489998,33,721403,3,3,FOREST,72,22121,5,983.885652115746,0.0,1.0,1.0,,,,,JTURNER02,2015-03-17 15:28:23,489998,JTURNER02,2015-03-17 15:28:23,489998,,,,,,
312201363489998,313194492489998,33,721403,3,5,CENSUS WATER,72,452909,206,488.9377914125557,0.0,1.0,1.0,,,,,JTURNER02,2015-03-17 15:28:23,489998,JTURNER02,2015-03-17 15:28:23,489998,,,,,,
