"","Code","D_51","D_71","D_91","D_00"
"99","CONERE",1466.205173744,1304.57431641668,1281.73815890587,1246.2523045371
"100","CORALL",1354.34542667568,1310.67868318762,1211.87870029989,1153.17688705214
"101","CORBOR",1364.61042834296,1245.56509932732,1106.99459008756,1064.20739655755
"102","CORCOL",1521.74629236146,1333.3189454975,1273.20022317815,1204.00043685658
"103","CORHIR",2294.22429944996,1696.89810945326,1658.64213019001,1483.32436921597
"104","CORLAE",1358.36876109876,1224.00055550382,1202.52203697714,1169.92328202597
"105","COROBO",1276.12624775905,1197.15607570904,1168.7331580163,1124.57459745007
"106","CORRIC",1394.59228230196,1250.56382286081,1252.52567849561,1224.75622241807
"107","CORSUL",1305.36860011216,1240.26341901588,1113.69274628789,1066.78564416645
"108","CRECUJ",1455.8986339857,1299.15633560114,1287.20694158994,1280.71207787743
"109","CRELIN",1904.29320772491,1550.39627153605,1527.88890724502,1366.75683086826
"110","CREPOR",1803.02200917288,1618.60015397439,1687.74127313439,1647.30129547034
"111","CRIPOR",1255.2466967377,1169.54352801057,1126.84970330059,1088.62648720801
"112","CROAST",1863.90123904066,1440.25236891705,1457.21150832837,1374.89830469067
"113","CROBET",1641.55430242143,1447.83356278239,1334.3463196382,1373.72068737919
"114","CRODIS",1897.64735999608,1382.48725576217,1522.72061682814,1401.33553230341
"115","CROFLA",1553.2925036044,1316.18015739394,1339.24271080683,1272.06711797594
"116","CROGLA",1883.04353518641,1440.87816122174,1684.50674547293,1447.97310255369
"117","CROIMP",1276.58063792176,1219.52236685959,1294.51574757922,1157.9306933786
"118","CROPOE",1161.70333648526,1199.57388845408,NA,1000.81848278896
"119","CRORHA",1668.43074033978,1436.85434315825,1923.40384498185,1750.23346402969
"120","CSSGUI",1335.48642528259,1213.49650335666,1167.94780737869,1106.64193995503
"121","CUPAME",1336.77843174026,1200.00514333102,1149.04182110889,1132.98196832647
"122","CYAARB",1309.0345161511,1233.33166077367,1144.2131971432,1073.77306043816
"123","CYABOR",1264.96171480856,1167.14857321185,1143.50014254503,1089.69693342194
"124","CYNFLE",1639.0938427794,1509.35168276392,1477.46776725984,1429.4057259152
"125","CYNHAS",1448.28519343292,1266.1543441013,1319.6411733855,1282.20140928345
"126","CYNPOR",1555.67237974545,1404.66556619189,1449.01442583744,1430.93590097999
"127","CYRRAC",1866.72684302854,3326.3062355367,5857.62356860136,2008.71996460092
"128","DACEXC",1363.65365232398,1233.98524691846,1069.43133998557,1042.27384348403
"129","DAPAME",1262.56457985696,1380.12102691898,1219.12531103251,1148.7373120516
"130","DAPHEL",1520.56497352224,1615.39811637412,1529.95490970798,1555.07516114312
"131","DAPPHI",1319.47682596517,1290.00546400706,1238.9260926808,1132.10123769488
"132","DELREG",1343.37666475396,1235.98347092424,1223.14276611307,1187.68834960472
"133","DENARB",1244.74570475247,1206.36911722907,1128.10323860027,1080.08476449904
"134","DENLAU",1374.12024057698,1156.23333694807,1187.5011918225,1100.92337678328
"135","DIOSIN",1260.95096180984,1492.40377842896,1412.14164401362,1440.98959879484
"136","DITMYR",1707.39362870317,1345.84840273348,1454.20921580328,1369.08796986816
"137","DRYALB",1366.23716198214,1374.22304058572,1339.11065216367,1337.97667680917
"138","DRYGLA",1345.4978436411,1443.63570981793,1287.27641219249,1263.77502183197
"139","DRYILI",1586.77827899488,1621.61565410752,1532.06077017693,1559.43033117496
"140","ELAXYL",1577.81360114351,1396.17281183262,1407.94128088109,1371.62822110242
"141","ERIFRU",1723.02555392102,1557.25449800699,1569.27016322543,1491.52800913431
"142","ERYARE",1600.70501650251,1322.9515969682,1427.63700212899,1223.95322015882
"143","ERYBER",1343.68651338106,1221.96951423803,1220.54130525102,1165.22223537542
"144","ERYBRE",1586.58700544534,1331.75465209712,1327.35777422487,1307.85443204088
"145","ERYPOE",1304.39281422546,1251.32796124073,1212.11034793925,1163.31291400856
"146","ERYROT",1694.47874511717,1383.41337886784,1317.35838078571,1227.85313368488
"147","ERYRUF",1785.83950827733,1620.31013940753,1707.56199264334,1659.05019539418
"148","ERYURB",1541.04299798083,1509.32440453027,1506.26853885313,1494.03241190946
"149","EUGAXI",1974.43804639062,1571.13540849171,1620.80038853659,1424.08944306335
"150","EUGBIF",1352.64127170263,1191.13677776119,1166.68872061157,1127.22521893164
"151","EUGBOR",1364.52555399068,1334.95419390563,1146.45524178986,1156.65332571618
"152","EUGCON",1879.33891053381,1684.53059410968,4053.24573341001,2045.09494777825
"153","EUGCOR",1429.98210197534,1222.03895268216,1203.1470028356,1136.27902396944
"154","EUGDOM",1373.16468908603,1185.93967592006,1146.1513919087,1120.06364647476
"155","EUGEGG",1317.52323607036,1287.1808902961,1122.9396917395,1044.41635587539
"156","EUGFOE",1585.81424185271,1473.17484939359,1501.36430573081,1474.2680993663
"157","EUGLIG",1550.4639085086,1356.45704338522,1350.58922672311,1306.20754706556
"158","EUGMON",1373.53599050132,1218.27243800757,1163.95590689014,1137.59586096202
"159","EUGPAD",1260.95096180984,1492.40377842896,1412.14164401362,1440.98959879484
"160","EUGPSE",1586.52241507222,1316.19989856529,1299.05250589925,1287.09027428334
"161","EUGRHO",1429.99142447009,1248.83546673754,1246.40273467738,1181.00388741185
"162","EUGSTA",1265.15039398112,1315.14629899889,1077.32283924111,1035.22617727023
"163","EUGSTE",1345.97527262965,1212.73502205239,1142.50003092694,1088.00440088401
"164","EUGWOO",1990.77535672179,1521.09680712506,1636.96026121969,1441.28489177938
"165","EUPPET",1619.72501167424,1284.71158861735,1310.58982951056,1239.75967988885
"166","EXOCAR",1529.02631070473,1261.81815034479,1258.69980940903,1207.56120024453
"167","EXOPAN",1355.11302417968,1271.45293299839,1271.21024243773,1235.21305836891
"168","FAROCC",1339.50336292522,1208.54272926751,1169.18916727387,1152.46477759224
"169","FICAME",1354.20008467928,1274.36885603335,1150.07737286971,1115.23095412274
"170","FICCIT",1328.54664438966,1199.27354913704,1160.23658850524,1122.89833425109
"171","FICCRA",1276.12624775905,1197.15607570904,1168.7331580163,1124.57459745007
"172","FICTRI",1350.30802730653,1223.82790940684,1214.58738464796,1164.34931454491
"173","FORSEG",1669.55403157333,1447.75791697373,1750.2568554245,1422.39443629842
"174","GARHES",1925.25959911937,1767.11966028857,1689.7124891788,1616.23919664622
"175","GARPOR",1794.48542144373,1377.78526592838,1311.3153966935,1233.30596929288
"176","GAUATT",1635.98406692916,1419.81458177239,1471.06548536571,1420.84038581176
"177","GENAME",1468.63122958659,1291.29520215848,1268.86957413525,1229.09091852634
"178","GESPED",1383.22033854701,1265.44141486411,1209.90156204128,1179.62983207128
"179","GOEELE",1516.01547287041,1270.6335743442,1213.02188649657,1223.18089823255
"180","GOMLIN",1282.05006878644,1208.72285602492,1126.60883775869,1054.42625965829
"181","GONHIR",1255.70287691784,1187.6034506294,1130.12102156865,1080.40518635865
"182","GONPOR",1046.90428976677,1596.15919791141,NA,925.329028772059
"183","GOSHIR",1768.24881900284,1260.22662015334,1336.49896915014,1221.13873335219
"184","GUABLA",1232.12495893956,1332.03346076354,1181.98437556447,1126.71005414728
"185","GUACAR",1491.54364434337,1447.03006619133,1352.09439257278,1428.14279573005
"186","GUAFRA",1375.32574417109,1163.84530864627,1163.4530621164,1133.06569282735
"187","GUAGLA",1222.88116342828,1270.33569251459,1086.2537355091,1078.10889623813
"188","GUAGUI",1290.04765229492,1150.68103363081,1111.11676272538,1059.97029628849
"189","GUAOBT",1260.95096180984,1492.40377842896,1412.14164401362,1440.98959879484
"190","GUAOFF",1729.962617417,1386.2034845084,1559.9382359006,1329.82131729015
"191","GUASAN",1904.11897851932,1449.4876445645,1545.61814599277,1418.55666133061
"192","GUAULM",1449.51640137098,1311.92890589973,1210.58847012361,1155.43730891124
"193","GUEELL",1769.31726375451,1438.10760208636,1559.5442743494,1455.61966197095
"194","GUEKRU",1707.54470305668,1322.85577279111,1458.66517771351,1316.68364851886
"195","GUEOVA",1337.20590097437,1248.54184744719,1161.86770293465,1132.04353292202
"196","GUEPUN",1492.35928854766,1433.375567354,1352.60180699033,1410.48885146026
"197","GUESCA",1502.68947914069,1433.86916206997,1364.62463874123,1340.37363204752
"198","GUEVAL",1529.63160563012,1289.77262316858,1149.64555867773,1102.90269535491
"199","GYMLAT",1510.84580877581,1421.64455348111,1467.94810641319,1420.70513542166
"200","GYMLUC",1398.68310273044,1345.01484371229,1315.47545841526,1263.05108273185
"201","HAESAL",1420.71499991342,1615.96707875135,1306.41716385242,1385.81528057674
"202","HAMAXI",1501.08855135931,1402.03073031944,1319.6259675049,1324.38153131437
"203","HEDARB",1487.63702801886,1386.08715592407,1205.04985169417,1145.40712400763
"204","HELJAM",1543.90085418858,1364.95320493024,1363.85581449758,1300.63423359294
"205","HENFAS",1356.96758047843,1220.38370145789,1139.84993787525,1089.98940578083
"206","HENMAC",1311.55657552002,1273.69548012849,1111.1158341905,1063.52064721739
"207","HENSQU",1238.69252414588,1560.29977200752,1116.92884309791,1050.83427603887
"208","HIBELA",1349.77518556516,1241.16562811547,1228.26651122396,1189.85543685996
"209","HIBTIL",1262.23575371656,1184.40106477003,1125.9742204649,1085.94556973507
"210","HIECLU",1269.29480896454,1188.5118705825,1169.8211008471,1126.21337845906
"211","HIPMAN",1500.90922690137,1314.29570643699,1287.88679174578,1225.41319322628
"212","HIRRUG",1295.43619548771,1209.37091089075,1050.46100742052,994.80782533749
"213","HIRTRI",1350.30802730653,1223.82790940684,1214.58738464796,1164.34931454491
"214","HOMRAC",1515.85937078311,1272.97520144935,1189.99134038384,1145.04939332471
"215","HURCRE",1348.11474803489,1286.44637848037,1225.19474629872,1174.69205341109
"216","HYMCOU",1443.0786676874,1220.62184542069,1226.70575430246,1224.41593134167
"217","HYPTRI",1545.38083484985,1810.04634021941,1400.86399565541,1409.04010736849
"218","ILENIT",1206.1306873297,1373.51509628826,1193.11961977983,1184.15377173594
"219","ILESID",1346.01905623469,1210.62917563757,1142.79647454476,1097.63055365309
"220","ILEURB",1244.73210113473,1358.54258599441,1283.18036477152,1284.17738344272
"221","INDSUF",1624.29370752076,1476.59035563226,1536.66946077999,1486.0801264349
"222","INGLAU",1327.23023074089,1233.93069445032,1104.65765410928,1074.35515599553
"223","INGVER",1303.31090749131,1171.36564009715,1129.86636593985,1075.1394035658
"224","IXOFER",1379.08861360377,1195.54980709332,1148.88567549821,1152.47190967802
"225","JACARB",1578.02260478955,1361.95181744061,1348.55452700356,1278.19806380486
"226","JACBER",1799.36189386222,1370.99844795202,1497.55271223505,1447.8909751411
"227","JATGOS",1922.57619693369,1436.84138931048,1595.18540537693,1459.77246118444
"228","JATHER",1405.49514365215,1287.42557929262,1227.8840984785,1219.29892788865
"229","KOAPOL",1343.68651338106,1221.96951423803,1220.54130525102,1165.22223537542
"230","KRUFER",1532.07339079091,1309.94218576604,1308.51320101045,1252.34744213824
"231","LAEPRO",1337.41906109936,1201.41570106541,1137.18728695331,1079.4943413521
"232","LAGRAC",1765.90859000452,1558.90779730455,1638.88921554231,1582.06078076078
"233","LANCAM",1609.28198575693,1450.39627046175,1466.78135700053,1473.78268515796
"234","LANINV",1510.51774867019,1371.51136358795,1301.61365678483,1271.81804514058
"235","LEULEU",1495.46775787194,1369.07415638247,1356.75251741575,1325.7702188494
"236","LICBRI",1879.33891053381,1684.53059410968,4053.24573341001,2045.09494777825
"237","LICPAR",1504.79578443726,1299.21858253111,1273.18598362965,1241.79271393175
"238","LONGLA",1113.5775248519,1244.44837065049,1201.88100088357,1175.31451846265
"239","LONHEP",1255.2466967377,1169.54352801057,1126.84970330059,1088.62648720801
"240","LONSER",1533.94151744084,1510.49520613067,1515.30202739826,1502.9821462002
"241","LYOSTA",1432.41872440911,1361.28536553597,1337.02204873133,1295.66131724712
"242","MACLUN",1618.04275700897,1353.61486257478,1332.439554641,1303.78271801386
"243","MACPOR",1634.61116454388,1667.17706906245,1511.36208226042,1528.18947958079
"244","MAGPOR",1034.64621677798,1658.17008108947,1258.24932414805,1228.96303237015
"245","MAGSPL",1356.96758047843,1220.38370145789,1139.84993787525,1089.98940578083
"246","MALCOC",1337.51171925533,1203.54872293519,1192.29954963078,1156.08421615749
"247","MALFUC",1607.80717674634,1224.05060445898,1232.33952321098,1170.34303415427
"248","MAMAME",1420.56788615396,1266.09940825152,1255.9419878192,1145.90687791259
"249","MANBID",1528.1967088022,1361.87987883419,1353.96514067039,1352.57681543206
"250","MANIND",1497.16505738518,1244.20488318588,1129.17160362414,1098.7296542581
"251","MANPLE",1536.10343081381,1496.36210806827,1502.50736303345,1474.06543977842
"252","MARMIC",1276.59219883041,1181.21222752328,1163.93828971052,1111.0240998684
"253","MARNOB",1365.64617847962,1188.28566033773,1140.33032171287,1127.52671510648
"254","MATDOM",1267.92945905406,1382.18287494704,1113.74549361648,1040.17058731466
"255","MAYELO",1343.68651338106,1221.96951423803,1220.54130525102,1165.22223537542
"256","MAYLAE",1560.3452741509,1225.73155461796,1369.39992058153,1368.90599182404
"257","MAYPON",1258.08214617361,1314.29808821544,1269.82110718299,1237.82261061172
"258","MECLAT",1224.93062879292,1307.51421281606,1084.56362895648,1039.24283863179
"259","MELAZE",1277.43357767395,1192.36714674244,1167.14152834128,1118.45096095142
"260","MELBIJ",1458.52996854216,1280.89142305285,1295.58527002809,1266.37028437679
"261","MELHER",1341.14541827385,1261.03106172619,1144.46892449902,1082.54540182417
"262","MELOBT",1326.38883289031,1193.20127808193,1139.90022082542,1077.67371824294
"263","MELTOM",1432.05095960432,1268.76879121669,1355.69529948427,1244.75628724613
"264","MICCAL",1261.18758774321,1351.72006295274,1283.85095026308,1188.3119584494
"265","MICFOV",1800.49117269906,1226.64923765162,1184.29331264058,1104.78959277542
"266","MICGAR",1764.80763495717,1266.91124033297,1095.51988968897,1045.28397476867
"267","MICGUY",1250.87902753442,1327.74342476888,1092.98989563457,1048.46426572423
"268","MICIMP",1462.02872192984,1260.17680289165,1209.46058457496,1215.83350180138
"269","MICLAE",1284.45294725028,1182.51903392542,1140.63221359911,1100.67977093857
"270","MICMIR",1521.23976514954,1316.21318870848,1178.42485856088,1136.12111717501
"271","MICPAC",3120.27484601744,3209.00055007449,4367.81318334912,2963.63126710303
"272","MICPRA",1401.81886326607,1268.20974986443,1208.28315329982,1180.48751312036
"273","MICRAC",1338.10890320619,1323.26889480499,1113.92091358298,1057.64375957026
"274","MICSER",1335.38567224765,1342.62666791651,1255.06607560548,1199.24106736679
"275","MICSIN",1210.23054425186,1273.08021618813,1063.69856959955,1049.76106309306
"276","MICTET",1430.46448795992,1257.31347990934,1140.7877774597,1094.09954545489
"277","MICTHO",1722.12211188604,1382.51398683515,1339.02072991211,1352.33669383887
"278","MORCIT",1788.03987119528,1397.35321134688,1380.6368420488,1354.66704240895
"279","MOSXER",1939.81174968777,1613.22128898835,1520.74485687823,1419.50529468011
"280","MOUHEL",1879.33891053381,1684.53059410968,4053.24573341001,2045.09494777825
"281","MUNCAL",1601.29886218371,1347.83480446557,1383.76691335765,1359.23324341939
"282","MYRAMA",1357.68661126981,1173.3356851295,1127.98753555039,1104.4900220228
"283","MYRBOR",1364.28010257731,1178.2781965557,1156.43896098801,1099.29387039438
"284","MYRCER",1242.80382401852,1199.72687869888,1157.39862192222,1114.8936592012
"285","MYRCIT",1499.64582607971,1329.93279939249,1401.52786990953,1279.27482933612
"286","MYRCOR",1285.37552001713,1206.8996144668,1159.75852467982,1064.61090410303
"287","MYRDEF",1400.28387481697,1187.19880959142,1187.07529513897,1125.84572825691
"288","MYRFAL",1231.88080753262,1295.55640210425,1179.96528889484,1089.63284093981
"289","MYRFLO",4616.84236177389,2795.98225532594,2719.88699505159,1901.96955547704
"290","MYRGUI",1645.76096355457,1492.07634954223,1375.65950899213,1421.2589052476
"291","MYRSPL",1324.15355649878,1229.83892284163,1099.27811927703,1060.45403892405
"292","NECCOR",1318.46974590145,1250.80759359295,1178.99390719259,1143.32148024544
"293","NECKRU",1366.90273095639,1250.55153072457,1241.02556457279,1219.88800868738
"294","NECMEM",1325.57459601722,1210.00141805168,1116.8269573032,1075.61620350313
"295","NECPAT",1551.27657031023,1650.21765748148,1523.15441421485,1544.6879139026
"296","NECTUR",1400.64191568771,1324.28618181248,1192.96118871925,1159.38342901391
"297","NEEBUX",1474.12530221721,1436.82108151994,1316.09868057613,1350.58298017347
"298","NEORES",1489.49016535686,1487.68554580484,1398.12290656946,1440.35045167766
"299","OCHPYR",1337.41906109936,1201.41570106541,1137.18728695331,1079.4943413521
"300","OCOCUN",1879.33891053381,1684.53059410968,4053.24573341001,2045.09494777825
"301","OCOFLO",1264.96171480856,1167.14857321185,1143.50014254503,1089.69693342194
"302","OCOLEU",1304.54475416139,1212.92679490791,1135.60985503209,1078.75671200751
"303","OCOSPA",1591.52697626514,1805.22444086156,1701.2264189366,1593.3114521756
"304","OCOWRI",1498.37417920317,1491.75377743689,1394.30744808581,1338.91758905463
"305","ORMKRU",1385.57474379482,1312.27955986364,1106.34886389472,1065.74422925887
"306","OSSKRU",1277.96980070846,1211.91530622804,1188.40784714625,1106.12960362203
"307","OURLIT",1907.31871086963,1416.89062363283,1433.90456801194,1376.09887430388
"308","OXALAN",1273.60987075228,1449.28153465494,1390.60962772685,1383.62371646345
"309","PALALP",1244.50793417132,1343.57455280099,1175.19288647023,1109.69942706499
"310","PALCRO",1404.506264239,1287.75608111531,1250.97646008612,1213.79577518742
"311","PALRIP",1360.35125572557,1207.63479362808,1109.9437703714,1094.11944782017
"312","PARCRE",1762.16644077662,1568.83542626494,1456.6593853531,1487.01851267007
"313","PERAME",1284.03095324249,1177.51231622434,1173.8737799375,1124.94148238622
"314","PETDOM",1328.54219983943,1216.60725991229,1167.59326537518,1160.79551102427
"315","PHIMYR",1804.35338789714,1697.7120689139,1605.08449956648,1437.19365167568
"316","PHLCOW",1413.01777514066,1264.28925686816,1252.05878859491,1142.01147898738
"317","PHYCUN",1591.51305900845,1356.191505097,1381.01481687349,1364.23991942382
"318","PHYEPI",1527.43615415196,1553.22282450264,1495.60718509761,1511.78786703444
"319","PHYJUG",1706.29195739641,1314.1872495221,1377.31320179282,1311.88647890507
"320","PICACU",1459.57943739514,1234.75179765833,1220.64026199101,1169.91638346814
"321","PICEXC",1276.12624775905,1197.15607570904,1168.7331580163,1124.57459745007
"322","PICPEN",1354.44889902053,1206.5177959167,1178.72992169013,1140.33117349319
"323","PILRAC",2191.57453759764,1828.68369935738,1850.76142290047,1722.43222557962
"324","PIMRAC",1481.15085383212,1360.60967806714,1252.87563033666,1278.21994874762
"325","PINCAR",1345.97527262965,1212.73502205239,1142.50003092694,1088.00440088401
"326","PINCOR",1257.77539033291,1209.18132947734,1123.52455887416,1080.37416708256
"327","PIPADU",1266.8328120069,1185.57756250294,1109.16811100265,1071.06792167895
"328","PIPAMA",1269.17107667173,1174.11548684207,1148.74254725959,1099.57858643131
"329","PIPBLA",1366.83850986372,1278.6818909276,1174.46902511015,1116.84099896555
"330","PIPGLA",1285.46210859097,1175.57636655198,1110.00324351871,1070.34918166502
"331","PIPHIS",1330.699406501,1234.80038943231,1155.39206970647,1101.9330225341
"332","PIPJAC",1333.42054999183,1208.42051882962,1201.53679943928,1165.96418993186
"333","PIPMAR",1291.96827424139,1165.89762455258,1124.1107921605,1089.5183422193
"334","PIPUMB",1325.57459601722,1210.00141805168,1116.8269573032,1075.61620350313
"335","PISALB",1499.66892490548,1312.65295048729,1312.66067451951,1263.04903847225
"336","PISCAR",1673.93969878098,1337.22950526548,1344.13393447367,1217.25388246218
"337","PISSUB",1264.96171480856,1167.14857321185,1143.50014254503,1089.69693342194
"338","PITDUL",1638.65255138229,1349.34744660068,1497.25363646496,1400.56187154202
