"sp","year","metric","value"
"Pred_f51.noFIA_1",1951,"ai",90.5575142036076
"Pred_f51.noFIA_1",1951,"cohesion",99.5335501310489
"Pred_f51.noFIA_1",1951,"contag",60.2908535274719
"Pred_f51.noFIA_1",1951,"division",0.178703657428994
"Pred_f51.noFIA_1",1951,"enn_cv",49.6348145700517
"Pred_f51.noFIA_1",1951,"enn_mn",1343.9263601572
"Pred_f51.noFIA_1",1951,"enn_sd",667.05535682207
"Pred_f51.noFIA_1",1951,"lsi",11.3280871670702
"Pred_f51.noFIA_1",1951,"mesh",711828.071753551
"Pred_f51.noFIA_1",1951,"np",930
"Pred_f51.noFIA_1",1951,"pd",0.10730197766849
"Pred_f51.noFIA_1",1951,"pladj",90.9614359338902
"Pred_f51.noFIA_1",1951,"split",1.21758730456485
"Pred_f51.noFIA_2",1951,"ai",95.6413496684499
"Pred_f51.noFIA_2",1951,"cohesion",99.6172570825306
"Pred_f51.noFIA_2",1951,"contag",75.1150257003158
"Pred_f51.noFIA_2",1951,"division",0.112475375235389
"Pred_f51.noFIA_2",1951,"enn_cv",75.1272894264149
"Pred_f51.noFIA_2",1951,"enn_mn",1277.59789992316
"Pred_f51.noFIA_2",1951,"enn_sd",959.824671981073
"Pred_f51.noFIA_2",1951,"lsi",6.10290556900726
"Pred_f51.noFIA_2",1951,"mesh",769228.973189257
"Pred_f51.noFIA_2",1951,"np",232
"Pred_f51.noFIA_2",1951,"pd",0.0267678051818168
"Pred_f51.noFIA_2",1951,"pladj",96.0748770807417
"Pred_f51.noFIA_2",1951,"split",1.12672930090838
"Pred_f51.noFIA_3",1951,"ai",97.5142251546731
"Pred_f51.noFIA_3",1951,"cohesion",99.6764585557516
"Pred_f51.noFIA_3",1951,"contag",86.9651605012879
"Pred_f51.noFIA_3",1951,"division",0.0495216367450362
"Pred_f51.noFIA_3",1951,"enn_cv",92.9834765641262
"Pred_f51.noFIA_3",1951,"enn_mn",1588.98728014517
"Pred_f51.noFIA_3",1951,"enn_sd",1477.49561524073
"Pred_f51.noFIA_3",1951,"lsi",4.14769975786925
"Pred_f51.noFIA_3",1951,"mesh",823791.785607224
"Pred_f51.noFIA_3",1951,"np",243
"Pred_f51.noFIA_3",1951,"pd",0.0280369683585409
"Pred_f51.noFIA_3",1951,"pladj",97.9882708370357
"Pred_f51.noFIA_3",1951,"split",1.05210180332296
"Pred_f51.noFIA_4",1951,"ai",88.4777922686381
"Pred_f51.noFIA_4",1951,"cohesion",99.4842732512194
"Pred_f51.noFIA_4",1951,"contag",49.3188352677675
"Pred_f51.noFIA_4",1951,"division",0.26523431173959
"Pred_f51.noFIA_4",1951,"enn_cv",50.8332134966422
"Pred_f51.noFIA_4",1951,"enn_mn",1299.01445627735
"Pred_f51.noFIA_4",1951,"enn_sd",660.330791911709
"Pred_f51.noFIA_4",1951,"lsi",13.4903147699758
"Pred_f51.noFIA_4",1951,"mesh",636830.844062671
"Pred_f51.noFIA_4",1951,"np",886
"Pred_f51.noFIA_4",1951,"pd",0.102225324961593
"Pred_f51.noFIA_4",1951,"pladj",88.8454475445767
"Pred_f51.noFIA_4",1951,"split",1.36097808590864
"Pred_f51.noFIA_5",1951,"ai",96.9493921800014
"Pred_f51.noFIA_5",1951,"cohesion",99.6460503967127
"Pred_f51.noFIA_5",1951,"contag",84.5431645719307
"Pred_f51.noFIA_5",1951,"division",0.0591497902986314
"Pred_f51.noFIA_5",1951,"enn_cv",93.4948844428371
"Pred_f51.noFIA_5",1951,"enn_mn",1573.98319495973
"Pred_f51.noFIA_5",1951,"enn_sd",1471.59376927727
"Pred_f51.noFIA_5",1951,"lsi",4.73002421307506
"Pred_f51.noFIA_5",1951,"mesh",815446.941458585
"Pred_f51.noFIA_5",1951,"np",279
"Pred_f51.noFIA_5",1951,"pd",0.0321905933005469
"Pred_f51.noFIA_5",1951,"pladj",97.4183993839227
"Pred_f51.noFIA_5",1951,"split",1.06286844567682
"Pred_f51.noFIA_6",1951,"ai",95.5915342000865
"Pred_f51.noFIA_6",1951,"cohesion",99.5928214875486
