"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"GENAME",17876.0916563553,2160.25889619277,5047.57590342721,6760.97291984851,6585.71184852114,4425.45295232837,20658,2273,6011,7635,7380,5107
"GESPED",20602.8842914892,3471.57459050322,6919.54274322808,10665.7249501435,10584.742087729,7113.16749722575,17204,3272,5986,9898,9860,6588
"GOEELE",4396.78931983115,778.438473907614,1807.39232704491,1858.02538202043,1832.37899079628,1053.94051688867,8841,1600,3805,3958,3905,2305
"GOMLIN",15670.9078768804,2129.28233672958,5119.74057515385,8883.77170704491,8539.02219473384,6409.73985800426,9279,1515,3657,6151,5723,4208
"GONHIR",22707.70654542,4057.12268254533,7942.11378740892,11274.3614154533,11108.1030284055,7050.98034586012,25226,5049,9761,15183,14536,9487
"GONPOR",17151.2408835988,2153.95966807543,4877.17695613136,7353.40470178146,7072.79337900458,4918.83371092915,807,559,689,750,710,151
"GOSHIR",10310.1100848649,1163.00627054821,2285.92341111624,2909.52095656772,3133.11783532449,1970.11156477628,14807,1402,2614,3477,3885,2483
"GUABLA",25152.328374058,4127.11579973996,8242.40020655096,11705.7141487151,11649.584238559,7522.46843881905,7237,1774,3087,5221,4892,3118
"GUACAR",19055.4332496272,3470.67259695008,7253.20806349814,10082.0485244105,9934.32534758653,6463.65275063645,17346,3511,7510,8615,8431,4920
"GUAFRA",26473.3978810757,4066.53628614545,8383.2602866888,11019.6635807604,11085.9095324874,7019.37324634194,18605,2512,5488,5789,5797,3285
"GUAGLA",14419.1984659433,2800.21158752032,5596.56207087636,8387.86510105059,8120.73940830119,5320.52782078087,9565,2064,4081,6668,6116,4052
"GUAGUI",22178.8635840751,3730.05038575456,7902.11380003393,11283.579461012,11152.7658888772,7422.71550312266,27078,4645,10000,14703,14441,9796
"GUAOBT",9837.80785911344,2315.66246211436,3635.10019642115,3153.93744281447,3533.09371131007,1217.43124919571,8102,2852,4418,3800,4231,1379
