"","CODE","Species","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","D_51","D_91","D_00","D_77"
"113","GESPED","Gesneria pedunculosa",3025,5764,9096,9145,6120,2.48427641825297,NA,NA,NA,NA,NA,1383.22033854701,1209.90156204128,1179.62983207128,1265.44141486411
"114","GOMLIN","Gomidesia lindeniana",1536,3613,6148,5708,4172,0.68574518655077,NA,NA,NA,NA,NA,1282.05006878644,1126.60883775869,1054.42625965829,1208.72285602492
"115","GUACAR","Guatteria caribaea",533,705,815,769,236,NA,2.88328007692308,NA,NA,NA,NA,1491.54364434337,1352.09439257278,1428.14279573005,1447.03006619133
"116","GUAFRA","Guapira fragrans",3668,8665,9387,9578,5910,4.42317144296963,NA,11.9728424978417,NA,14.3916142037612,17.1695492548397,1375.32574417109,1163.4530621164,1133.06569282735,1163.84530864627
"117","GUAGLA","Guarea glabra",1917,3216,5202,4666,2749,1.96689409791464,NA,1.69089962454171,NA,2.37520987936802,2.21563315611236,1222.88116342828,1086.2537355091,1078.10889623813,1270.33569251459
"118","GUAGUI","Guarea guidonia",4172,9466,15307,14937,10765,66.6500714491701,NA,71.3776914540335,NA,78.8643738905235,76.298825691329,1290.04765229492,1111.11676272538,1059.97029628849,1150.68103363081
"119","GUAOBT","Guapira obtusata",2855,4457,3816,4277,1422,NA,NA,0.788232547085257,NA,0.745710243767556,1.1893674331218,1260.95096180984,1412.14164401362,1440.98959879484,1492.40377842896
"120","GUAOFF","Guaiacum officinale",777,1493,1069,1352,575,0.7465299282146,NA,0.208858843653593,NA,0.206726822280615,0.118640186110336,1729.962617417,1559.9382359006,1329.82131729015,1386.2034845084
"121","GUAULM","Guazuma ulmifolia",1381,4310,7594,7648,6267,1.84752043501635,NA,2.07754854810787,NA,3.37540282808737,4.28958637509582,1449.51640137098,1210.58847012361,1155.43730891124,1311.92890589973
"122","GUEELL","Guettarda elliptica",853,1723,1207,1546,693,0.346937918916894,20.1829605384615,NA,20.2173743976429,NA,NA,1769.31726375451,1559.5442743494,1455.61966197095,1438.10760208636
"123","GUEOVA","Guettarda ovalifolia",2910,5932,9118,8675,5765,NA,NA,0.338179924908343,NA,0.0272548719243315,0.430760356657385,1337.20590097437,1161.86770293465,1132.04353292202,1248.54184744719
"124","GUEPUN","Guettarda pungens",1863,3231,3793,3962,2099,NA,NA,4.39633902380845,NA,5.83544569955618,5.59345012699131,1492.35928854766,1352.60180699033,1410.48885146026,1433.375567354
"125","GUESCA","Guettarda scabra",3306,5571,5376,5875,2569,23.4166619179495,NA,27.5549000392642,NA,28.45336089204,34.4341458176583,1502.68947914069,1364.62463874123,1340.37363204752,1433.86916206997
"126","GUEVAL","Guettarda valenzuelana",1642,4576,6318,5986,4344,NA,NA,NA,NA,0.0272548719243315,0.0296615737937593,1529.63160563012,1149.64555867773,1102.90269535491,1289.77262316858
"127","GYMLAT","Gyminda latifolia",3276,5301,4322,5041,1765,NA,14.4164003846154,1.97058136771314,11.5527853700817,1.49142048753511,3.40747854467271,1510.84580877581,1467.94810641319,1420.70513542166,1421.64455348111
"128","GYMLUC","Gymnanthes lucida",2484,4096,3318,3877,1393,13.8203654916831,NA,11.2475126479242,NA,11.2273499821122,17.0952553369489,1398.68310273044,1315.47545841526,1263.05108273185,1345.01484371229
"129","HELJAM","Helicteres jamaicensis",2371,4066,3892,4465,2094,NA,NA,NA,NA,0.67863139410515,1.12199122183278,1543.90085418858,1363.85581449758,1300.63423359294,1364.95320493024
"130","HENFAS","Henriettea fascicularis",3132,7748,13722,13096,9964,0.0275460446677071,NA,NA,NA,NA,NA,1356.96758047843,1139.84993787525,1089.98940578083,1220.38370145789
"131","HENMAC","Henriettea macfadyenii",2076,4061,6688,6117,4041,1.87963923438317,NA,1.40704410386498,NA,NA,NA,1311.55657552002,1111.1158341905,1063.52064721739,1273.69548012849
"132","HIBELA","Hibiscus elatus",3424,7743,12262,12041,8617,0.867102841655041,NA,0.788232547085257,NA,NA,NA,1349.77518556516,1228.26651122396,1189.85543685996,1241.16562811547
"133","HIPMAN","Hippomane mancinella",1489,2797,3774,4065,2576,NA,NA,NA,NA,0.339315697052575,0.770806056670659,1500.90922690137,1287.88679174578,1225.41319322628,1314.29570643699
"134","HIRRUG","Hirtella rugosa",2179,4719,7391,6670,4491,0.68574518655077,NA,0.676359849816685,NA,0.67863139410515,NA,1295.43619548771,1050.46100742052,994.80782533749,1209.37091089075
