"sp","sum","sum.1","sum.2","sum.3","sum.4","sum.5","sum.6","sum.7","sum.8","sum.9","sum.10","sum.11","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"ALSPOR",21981.8535254188,3255.99709248915,7124.57023992017,10707.7669013776,10427.6558795832,7171.65878709406,15153,1927,5318,9344,8665,6738,0.354629102093461,1.2572477071942,0.830111703835279,1.6626749574993,NA,NA,NA,NA,0.354629102093461,1.2572477071942,0.830111703835279,1.6626749574993,0.7092582089175,28.8225616382678,6.2621787609135,2.70173102628786,1,3,3,5
"AMYELE",15977.6676641703,3007.10334641486,5607.15503399819,6724.95388364792,6968.93750371784,3961.83415730298,9451,2790,4529,4037,4515,1725,7.80184024605615,9.8427595631811,10.9465015603469,15.0809135946801,NA,NA,NA,NA,1.06388730628038,1.75763563628234,3.90668911433596,4.65995108457129,18.7486093273133,10.2497678274786,11.6156906016534,0.385961574448474,6,7,7,9
"ANAPER",23189.825023029,2757.50729498547,6402.01662214752,10172.8488605665,9902.79722616076,7145.2899311753,35839,4238,9873,15743,15312,11074,NA,NA,0.0848188817614354,0.0620042773261967,NA,NA,NA,NA,NA,NA,0.0848188817614354,0.0620042773261967,NA,NA,8.13057661950557,NA,NA,NA,1,1
"ANDINE",27646.4947330654,4167.62919351459,8677.06241112947,11537.6431309879,11561.3887456208,7393.75955210626,32300,4766,10416,12936,13100,8334,22.6844740272268,22.5003944109716,19.149498597528,18.3004253842594,1.53449924106786,1.18552309660341,0.517244617941583,1.16970778086386,14.7354059972329,15.5306588394711,13.4132718336294,12.039803619515,0.709258204186922,2.10916277291721,28.8243709459266,0.41437376563808,66,70,73,73
"ANNGLA",27583.3972453251,4045.19979748875,8378.62676279992,11379.07652051,11511.2665229514,7466.06672546268,27697,3752,7305,8459,9140,5388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANNMON",19392.3445992908,2243.69104380719,5099.31925815623,8816.7112296694,8722.68722786475,6478.99618405756,11772,1290,2705,5380,5488,4198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARDELL",19227.7920495942,3399.82731955126,7149.94674900174,10045.293877624,10007.7214595489,6607.89413999766,28481,5096,10725,15071,15011,9915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARDGLA",5781.39788259567,903.51405569143,2320.26244713586,3378.93173253024,3054.26534380954,2150.75128811811,5425,909,2411,3091,2726,1817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARDOBO",19505.191776935,3350.36469968781,6469.19023016468,7399.4675155282,7613.06261976063,4262.69792007282,14915,2941,5015,4422,4802,1861,12.4958803906652,16.7490252181495,18.508198041807,22.542231323639,NA,NA,NA,NA,2.96762781060877,4.04123049199772,5.41902841062799,5.93407452014863,33.4356303822334,0.703054259202135,1.7599531208935,1.18629691968357,13,11,13,18
"ARTALT",18981.8403253891,3289.63718483411,7019.17186733335,10027.5556842126,9957.38848848082,6667.75130364671,20452,2518,6650,11602,11123,8605,0.748539501659245,1.16503723624005,1.72408306551873,2.267851091916,0.233812251109995,0.183365166202494,0.169637763522871,0.465032079946476,0.748539501659245,0.813510108983584,1.02010182091764,1.49592794301906,1.06388731101096,2.86769811680358,0.351990622300547,39.8676911495688,7,9,10,11
"AVIGER",21117.9283592789,2163.9610653664,5008.7497628089,7138.05854323925,7379.20542262541,5215.24435725901,21509,1518,3780,5456,5791,4273,3.36649552385424,2.96890608926326,4.02881951357408,7.5776525533242,0.0284905509461046,0.056468466496443,0.0565459211742903,0.0620042773261967,2.30260821757385,0.859743325724455,1.21289453516971,2.14577831985596,8.51109850701,1.75763564566074,87.5464810792884,0.771923148896948,2,1,1,2
"BADPEN",5287.32736168742,967.873614490214,1674.70521459362,2144.98638624536,2233.43570681613,1265.56209232591,5431,927,1560,2274,2368,1441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIXORE",27835.9903027751,4158.92690240033,8706.20063577965,12077.3494826108,12069.3213629033,7910.39446050301,43165,6450,13514,18748,18731,12281,NA,NA,1.05597186690164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"BOCFRU",24030.2911850018,3013.62399789877,7002.55660056649,11277.2071368415,11098.1031523664,8084.47915446758,19713,2341,5679,10637,10617,8276,0.0284905509461046,NA,NA,NA,NA,NA,NA,NA,0.0284905509461046,NA,NA,NA,1.06388731101096,NA,NA,NA,1,NA,NA,NA
"BONUMB",14631.3421847411,2852.07655304298,5528.76357955486,7531.52389377914,7602.74403435178,4750.6674813088,2777,911,1359,1191,1299,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOUSUC",17567.0618873908,2246.43947837427,4863.08225704224,5462.27415309161,5833.77105796074,3587.33157958646,15284,1737,3636,2688,3317,1580,5.03792430016698,19.154175332445,21.6022055228252,22.5976063937062,NA,NA,NA,NA,1.33096513754371,6.96967688282299,8.08739279928463,7.5166927990261,2.48240372411538,0.703054254512936,82.2451575310972,144.969903806186,6,16,16,13
"BOUVIR",12166.6508726911,2222.45635942696,3867.4605652797,3833.70946392743,4188.13890311448,1965.68254368752,13584,2942,4770,4072,4635,1693,1.06388730628038,0.703054254512936,1.05597186690164,1.96081001090547,NA,NA,NA,NA,0.354629102093461,NA,NA,0.0310021386630984,2.1277746267525,NA,0.703981249296475,1.54384630809097,2,1,2,3
"BRUAME",27869.7634389699,4329.19705981016,8863.10665893555,12211.6365605295,12206.5215379596,7877.32447814941,43747,6809,13936,19196,19184,12375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRUDEN",14461.1932005063,1967.42988980468,4797.07407550421,8109.91652321164,7803.3206176497,5835.89072784502,21155,2884,7084,12066,11592,8708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRULAC",11118.1888661319,1551.46251351619,3751.17245026724,6297.99238092173,5985.53767651413,4434.07516299793,6975,1047,2597,3576,3069,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUCBUC",22569.779523232,2858.04251889884,6379.24726492912,8394.99428590247,8669.92591296323,5811.88339406438,20252,1960,4869,5478,6160,4200,11.6379578163351,2.48086105133674,2.24614765973285,3.38830380179333,0.227924407568837,0.141171166241107,0.144141912060049,0.0952692810222168,4.90000487655931,1.42627966956734,1.8941570374323,2.2304190784479,1.06388731101096,21.0308207758512,3.20270787443025,21.1330621746756,16,6,8,9
"BUCTET",14160.1084008552,2636.87611726299,5262.97640376538,7399.31340003945,7106.2561931815,4469.38007591851,9845,2257,4545,6721,6102,3845,0.725006264392821,0.258761354805048,0.288283824120099,0.254805704403552,0.170943305676628,0.117590188563941,0.0565459211742903,0.130797149751159,0.37037716229936,0.258761354805048,0.288283824120099,0.254805704403552,8.31713753062881,1.40610851371507,12.9500006127962,1.18629691453503,7,6,6,5
"BUNGLA",18675.9098967589,2409.47278165957,5130.75640670536,6670.91147433175,7005.97111297539,4596.49833131582,13906,1427,3111,4121,4625,3198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURSIM",18777.3020994421,2664.76402428932,5037.78723388165,5746.52097007819,6156.0747058671,3491.31068157777,19469,3099,5334,4744,5345,2246,7.38825558257068,10.9967772431899,9.15416821619929,8.60385344688696,0.211209543705048,0.169405399489329,NA,0.0310021386630984,5.89612528222796,8.71318238747449,6.93784767530617,7.03159495790346,1.28472898789956,10.8973409965317,0.386782891330494,0.385961574448474,28,33,32,33
"BUXPOR",16380.4907617364,3349.25392531045,6471.80014918745,8548.97920027189,8568.7866115924,5219.53268628195,12849,3457,5858,6451,6692,3235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUXVAH",25678.9234297238,3863.04809700325,7939.73284946755,10645.536281161,10761.9713936485,6898.92329664528,39515,5941,12205,16321,16514,10573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BYRCRA",21884.5200739936,2060.05369859096,5252.46491989121,8512.71695270808,8474.55362095451,6414.49992236355,22492,1729,4516,6674,7124,5395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BYRLUC",15566.6008227523,1915.4623396548,4295.56254845881,6467.12364141177,6633.51898414898,4718.05664449418,15899,1731,3916,6272,6634,4903,4.6386688781611,5.09078518107988,4.37177157898509,6.82482632875099,NA,0.0282342332482215,NA,NA,2.15626516350687,2.63009529028461,2.92901682075295,4.83819407412941,6.38332387079635,11.9519223970579,0.703981244601093,145.026728261782,2,4,5,6
"BYRSPI",22564.9564124597,2561.23340959474,6129.804471415,9354.35571685899,9076.32986959815,6515.09646000341,15214,1337,3661,4570,4111,2774,1.05114481554018,1.2441579418002,0.897508200829275,0.726985099742556,0.113962203784418,0.141171166241107,0.0565459211742903,0.0620042773261967,0.696515713446717,0.892630814543731,0.897508200829275,0.341023525294082,21.1439588044755,1.40610851840427,17.0347190221362,0.41437376563808,5,10,10,8
"BYRWAD",7818.4974326028,1563.8937259221,3149.46127106668,4988.86320750113,4672.12705148128,3108.23332555918,7772,1857,3352,5463,4848,2991,0.41161020398567,0.379761360504689,0.380263582887692,0.416963713111572,0.0284905509461046,NA,0.0282729605871451,NA,0.0569811018922092,0.0282342332482215,0.0282729605871451,0.0310021386630984,0.428242994062336,35.1527129085256,22.171341387479,3.85961576507889,2,2,2,2
"CALANT",18852.7510341285,3043.19626655616,5858.37431497686,6945.66672145575,7021.43517657928,3978.23891002312,19223,3273,6201,6627,6699,3426,5.27134884251656,10.2871324080007,4.74300207968149,7.70226475389,0.341886611353255,0.423513498723322,NA,0.434029941283377,1.01579961739503,3.20110877504917,2.49188926975842,1.77078018121486,2.55601761608426,4.85790988145283,43.4954645231642,7.80446808313245,11,14,16,20
"CALKRU",4196.75279362596,965.970650510513,1709.46182629652,2451.26932333774,2287.60142620452,1321.63077569401,3485,1408,2110,2574,2358,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALPAL",11866.8934508336,2179.47484926949,3528.80727735953,2968.85756188096,3378.29090627562,1198.81605700613,18234,3398,5479,4580,5225,1827,NA,0.351527127256468,0.703981244601093,0.771923148896948,NA,NA,NA,NA,NA,NA,0.351990622300547,0.385961574448474,NA,1.0545813864586,13.3019912163152,NA,NA,1,2,2
"CAPFRO",5433.17478148417,571.506210004003,1319.53104181255,1743.70021749331,1861.11382413381,1289.60761412981,3502,244,471,353,498,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASACU",21580.227284129,2385.80431755236,5402.97433912731,7329.52775521297,7580.37486862729,5194.57055107492,23004,1668,4222,5820,6147,4479,NA,1.40610850902587,1.40796248920219,1.15788472334542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2
