"","SCIENTIFIC_NAME","CODE","D_51","D_91","D_00"
"84","Eugenia domingensis","EUGDOM",1367.8319722253,1147.16832837747,NA
"85","Eugenia ligustrina","EUGLIG",1547.14376111939,1350.36029047836,NA
"86","Eugenia monticola","EUGMON",1371.30872655956,1162.40143958187,NA
"87","Eugenia pseudopsidium","EUGPSE",1578.62039479743,1295.02524023892,NA
"88","Eugenia rhombea","EUGRHO",1428.67250791725,1249.73971160182,NA
"89","Eugenia stahlii","EUGSTA",1266.19894603731,1077.78701093866,NA
"90","Exostema caribaeum","EXOCAR",1530.56020248124,1259.96660444195,NA
"91","Exothea paniculata","EXOPAN",1347.86348328957,1269.57853573723,NA
"92","Faramea occidentalis","FAROCC",1335.63396424942,1167.95551211798,NA
"93","Ficus americana","FICAME",1354.99442694501,1151.86063935478,NA
"94","Ficus citrifolia","FICCIT",1325.04612620329,1157.68845911205,NA
"95","Ficus trigonata","FICTRI",1346.78725120809,1214.52288198176,NA
"96","Guapira fragrans","GUAFRA",1374.11191400202,1157.76502756627,NA
"97","Guarea glabra","GUAGLA",1225.68190871872,1087.00608033616,NA
"98","Guarea guidonia","GUAGUI",1289.28013359594,1111.22810039516,NA
"99","Guapira obtusata","GUAOBT",1390.52094223767,1411.49600919105,NA
"100","Guaiacum officinale","GUAOFF",1741.12536091654,1561.39167514817,NA
"101","Guazuma ulmifolia","GUAULM",1450.16489793145,1211.35900354585,NA
"102","Guettarda ovalifolia","GUEOVA",1338.50446601103,1163.97850941954,NA
"103","Guettarda pungens","GUEPUN",1499.63525844792,1354.14105165949,NA
"104","Guettarda scabra","GUESCA",1491.40484444621,1361.81532264426,NA
"105","Guettarda valenzuelana","GUEVAL",1531.3164734058,1147.25904072361,NA
"106","Gyminda latifolia","GYMLAT",1498.03647702282,1459.75041996333,NA
"107","Gymnanthes lucida","GYMLUC",1398.8608879829,1317.87710597155,NA
"108","Helicteres jamaicensis","HELJAM",1537.90451787383,1362.91504497537,NA
"109","Henriettea squamulosum","HENSQU",1241.16668449077,1133.74113159842,NA
"110","Hippomane mancinella","HIPMAN",1510.42890953559,1288.78081276897,NA
"111","Homalium racemosum","HOMRAC",1518.21605975371,1191.32923803985,NA
"112","Hura crepitans","HURCRE",1344.7815486568,1227.27342619867,NA
"113","Hymenaea courbaril","HYMCOU",1441.05802828036,1224.06798450918,NA
"114","Ilex nitida","ILENIT",1194.70185134736,1198.60671738411,NA
"115","Inga laurina","INGLAU",1327.416640985,1103.43608088369,NA
"116","Inga vera","INGVER",1303.49986338445,1128.95915063379,NA
"117","Ixora ferrea","IXOFER",1373.19221874878,1146.26096886192,NA
"118","Krugiodendron ferreum","KRUFER",1525.5086255947,1309.2317082439,NA
"119","Laetia procera","LAEPRO",1337.22594177471,1137.47794911842,NA
"120","Laguncularia racemosa","LAGRAC",1751.94050661493,1635.48034985269,NA
"121","Leucaena leucocephala","LEULEU",1488.31288837602,1356.92347080406,NA
"122","Licaria brittoniana","LICBRI",1879.33891053381,4053.24573341001,NA
"123","Licaria parvifolia","LICPAR",1496.77464297268,1271.00138975588,NA
"124","Lonchocarpus glaucifolius","LONGLA",1110.29545242663,1201.04553677185,NA
"125","Lonchocarpus heptaphyllus","LONHEP",1254.8221745701,1126.17571600505,NA
"126","Magnolia portoricensis","MAGPOR",1035.97146638713,1270.76755577539,NA
"127","Mammea americana","MAMAME",1413.16531835211,1251.67369127252,NA
"128","Manilkara bidentata","MANBID",1525.80235607711,1352.85955616984,NA
