"","id","X","code","Species","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass","Dim1"
"1",1,1,"DENARB","Dendropanax arboreus",-1.24376489840353,-0.314211803784312,-0.0955574860222728,1.00142876833545,1.75154911214419,-0.186028349448881,1.04995464747718
"2",2,2,"ILENIT","Ilex nitida",-0.165068610481732,0.0965015474562347,-0.100119849915579,-0.2027137863632,0.208991655426295,-0.0328246654247972,0.206567515607534
"3",3,3,"PLUOBT","Plumeria obtusa",-0.858715748631844,-0.105056081575435,-0.0997779545781183,1.16922701196459,-1.39289493424229,-0.400368202695856,-0.56629266364251
"4",4,4,"PLUALB","Plumeria alba",-1.07014682109907,2.17708836860603,-0.0954662845994658,-1.227628195888,-0.740274471784717,-0.183802425089796,1.17595033513876
"5",5,5,"RANACU","Randia aculeata",1.68013969940223,-0.496383887271498,-0.109147320162159,-0.0897131585743894,-1.03692013653816,0.0620842281604249,-1.38749965761064
"6",6,6,"COFARA","Coffea arabica",-0.101649406743054,-0.279042000899207,-0.0967519797659374,0.449944134108374,-0.97759100358747,-0.163732007118717,-0.652768673752059
"7",7,7,"IXOFER","Ixora ferrea",0.0698032599724645,-0.190664731068746,-0.0959406530503035,-0.0523718860229694,-0.740274471784717,-0.0815487459169969,-0.497523492895617
"8",8,8,"EXOCAR","Exostema caribaeum",1.40797692266209,-0.185034761582461,-0.108865899393488,-0.742073060310249,-0.502957939981964,0.113177137748312,-0.794128591054705
"9",9,9,"ERIFRU","Erithalis fruticosa",1.91570224498709,2.49063460137885,-0.107276358062764,-1.25421345309933,-1.39289493424229,0.14338736752166,-0.148503698240556
"10",10,10,"NEORES","Neolaugeria resinosa",0.2272274306745,-0.697922673693689,-0.106341983187208,-0.358276825148439,0.683624719031802,-0.113497434903758,0.0037411755861992
"11",11,11,"GUEVAL","Guettarda valenzuelana",-0.455067371983198,1.69327199640973,-0.0922646778378312,-0.688712919175136,0.802282984933178,-0.266610561199263,1.48497081551136
"12",12,12,"GUEOVA","Guettarda ovalifolia",0.164930352868498,-0.734552874713269,-0.100334072107192,0.838726994332501,-0.62161620588334,-0.195614867660816,-0.818576610387131
"13",13,13,"GUESCA","Guettarda scabra",0.820321316085631,1.47246129254857,-0.104716784388639,-0.520925330725425,-0.146983142277834,-0.117791529436709,0.379550470114241
"14",14,14,"FAROCC","Faramea occidentalis",0.302080400033772,-0.670000310665885,-0.0989555303352293,0.783041647010663,-0.740274471784717,-0.149918909845953,-0.902609685967885
"15",15,15,"PSYGRA","Psychotria grandis",-2.02895520896713,-1.206238319453,-0.0694493272374619,0.749774079168161,0.208991655426295,-0.333184871446903,0.222999918058419
"16",16,16,"CHIDOM","Chionanthus domingensis",1.00179083253732,-0.358056962626666,-0.0931732528450739,-0.0205458570924409,0.920941250834555,-0.138649150736155,-0.0234579815934119
"17",17,17,"CITSPI","Citharexylum spinosum",-0.0473913807029352,0.758134109589439,-0.101589895800149,0.365531522951682,0.446308187229049,-0.177978454765455,0.544055636798426
"18",18,18,"TABSCH","Tabebuia schumanniana",0.319866970510729,1.65534918667512,-0.0860529449130063,-0.920780877260701,0.564966453130425,-0.185196101063512,1.0934776823421
"19",19,19,"TABHET","Tabebuia heterophylla",0.572690866202536,0.864730033644066,-0.080010237911609,-0.317196864095366,-0.384299674080587,-0.185781024520093,0.071924988280025
"20",20,20,"SPACAM","Spathodea campanulata",-1.97472827741092,-0.530184992000293,0.0166522135957885,1.29983783715545,-1.21490753539022,-0.186399336842061,-0.306565167440681
"21",21,21,"PETDOM","Petitia domingensis",-0.452481069489872,2.09381118835264,-0.0957512090572703,-0.72705755103804,1.15825778263731,-0.185475578233041,1.82634984571369
"22",22,22,"VITDIV","Vitex divaricata",-0.187222647390024,-0.686466314017063,-0.086464115956085,-0.103068933371254,1.63289084624281,-0.224987338830317,0.646340205712184
"23",23,23,"CORALL","Cordia alliodora",-0.615072548772193,-0.335215846566455,-0.100954615703938,-0.0130327785343077,-1.21490753539022,-0.182936787839041,-0.548844721692624
"24",24,24,"CORSUL","Cordia sulcata",-0.707327214528339,1.40311331832276,-0.00183338947496491,-0.547784340428079,1.15825778263731,-0.176939801360767,1.62398379396248
"25",25,25,"CORBOR","Cordia borinquensis",-0.0821837341352816,0.564877137401201,-0.0825457901916283,0.327175676654716,-0.502957939981964,-0.17940498785596,-0.00265792273882355
"26",26,26,"CORLAE","Cordia laevigata",-1.15559848745776,-0.601221957268707,-0.10008077234959,-0.07590156069196,-1.27423666834091,-0.181123797181059,-0.504315124112653
"27",27,27,"BOUVIR","Bourreria virgata",0.674486615176817,0.404224310313679,-0.107905463893546,-0.821838286702707,-0.0283248763764576,-0.184414158568658,0.074357095309147
"28",28,28,"SYMMAR","Symplocos martinicensis",-0.119743513592628,-0.797666485811461,-0.0743233403468907,0.098142306038021,-0.0283248763764576,0.11077029879042,-0.411959117897208
"29",29,29,"MANBID","Manilkara bidentata",0.874725487895853,0.183165224722546,-0.0789095298627023,-0.648736880027865,-0.384299674080587,-0.0015239525736487,-0.345552464516685
"30",30,30,"SIDSAL","Sideroxylon salicifolium",0.892503715260968,-0.430778779012681,-0.105630186480346,-0.534870770723964,1.15825778263731,-0.178410741642236,0.188370780278776
"31",31,31,"SIDOBO","Sideroxylon obovatum",1.57605281660487,0.424005372627647,-0.10886296549524,-0.90898454330871,-0.740274471784717,0.241085345617525,-0.713674391785125
"32",32,32,"POUMUL","Pouteria multiflora",0.769207354436534,-0.565521328262022,-0.0745666977960585,-0.478809316854249,-0.146983142277834,1.79158178113336,-1.11458605285908
