"","sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019","species","seedmass","ss.guanica","ss.swenson","ss","WD","THK","LA.wp","SLA.wp","MAXHT","ss.log","thk.log","la.log","sla.log","wd.z","ss.log.z","thk.log.z","la.log.z","sla.log.z","maxht.z","ss.log.z_pi","wd.z_pi","thk.log.z_pi","la.log.z_pi","sla.log.z_pi","maxht.z_pi","pca1","pca2","pca1_pi","pca2_pi"
"Acnistus_arborescens","ACNARB",22232.6357526658,2614.21489135083,5985.85295419395,9646.4013932813,9410.51451395173,6796.2996226009,33838,3943,9076,14699,14322,10379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acnistus_arborescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.08414367785811,-1.14691595345796,2.6805751627561,0.137261474885305,-1.48338004974523,-1.35942823325585,NA,NA,-3.22437912218601,1.57880497343058
"Adenanthera_pavonina","ADEPAV",14723.4900686906,2749.16499962565,5002.06984049804,5810.36589110724,6015.03029340191,3265.86529377627,10548,2328,3964,3394,3727,1399,6.79882434100443,5.6399519410739,6.61236502046928,6.97885084894265,0.227924407568837,0.225873865985772,0.0848188817614354,0.465032079946476,2.18864601378944,2.12468066850922,2.00169466153223,2.31889976437135,3.19166193776346,10.6012949492703,1.40796249859295,39.289859273635,3,2,3,3,"Adenanthera_pavonina",234,NA,NA,234,0.60277991,152.4444444,1233.654518,150.8393019,6.5,2.36921585741014,2.18311160180479,3.09119355359225,2.17851451377814,-0.499126247395113,0.546424759718368,-1.32926458819922,2.17298051946664,0.370866090590057,-0.808058043932894,0.546424759718368,-0.499126247395113,-1.32926458819922,2.17298051946664,0.370866090590057,-0.808058043932894,-1.72281896325415,0.410086486405826,1.49479087797032,0.97699004186971
"Adelia_ricinella","ADERIC",15800.4372108945,1941.52310817911,4398.72306210338,5020.12142086636,5410.25009770549,3468.72698952638,16534,1697,4353,3858,4537,2840,NA,1.11104984826585,2.19676261556471,3.98103435166364,NA,NA,NA,NA,NA,0.056468466496443,0.436809504061982,1.25089113933472,NA,3.1029371872982,9.60405571755126,NA,NA,3,3,5,"Adelia_ricinella",NA,NA,NA,NA,0.817326947,136.6666667,23.93057147,138.3520253,4,NA,2.135662602106,1.37895306983384,2.14098552104962,0.643338991086682,NA,-1.63821504645419,-0.437780043391061,0.199624603732434,-1.11215308703043,-0.460752861422876,0.643338991086682,-1.63821504645419,-0.437780043391061,0.199624603732434,-1.11215308703043,NA,NA,0.702692019382308,-1.23242951831923
"Aiphanes_acanthophylla","AIPMIN",24266.8128268234,3857.93103565276,7666.22387780994,10186.0992870741,10331.7338901237,6473.80285447091,37211,5924,11766,15599,15827,9903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aiphanes_acanthophylla",NA,NA,NA,NA,NA,192.1111111,45.22604067,174.0977514,8,NA,2.28355248380948,1.65538856894343,2.24079316192217,NA,NA,-0.675272792379095,-0.0162814828237727,0.65503807422986,-0.625601018074375,-0.170774231508598,-1.60467475768684,-0.675272792379095,-0.0162814828237727,0.65503807422986,-0.625601018074375,NA,NA,0.792587030701612,0.986596558176627
"Albizia_lebbeck","ALBLEB",17337.8640311766,2036.78296888279,4589.09833617756,6440.09441288238,6628.66205381535,4591.87908493256,10394,596,2030,3620,3633,3037,1.62772840787419,0.056468466496443,NA,0.0642671423591184,0.0854716528383138,0.0282342332482215,NA,NA,1.62772840787419,0.056468466496443,NA,0.0642671423591184,1.28472898789956,NA,NA,3.08769260588487,7,1,NA,2,"Albizia_lebbeck",123,NA,NA,123,NA,NA,NA,NA,NA,2.0899051114394,NA,NA,NA,NA,0.287556897119118,NA,NA,NA,NA,0.287556897119118,-0.391388115007665,-0.786014489192088,0.727007164333104,-0.344190433425272,-0.560997853060671,NA,NA,0.400045759260772,0.3026873244669
"Albizia_procera","ALBPRO",20839.5896565272,2382.06357715093,5227.36075299233,7784.29219500907,7930.75487646554,5548.69129931461,15788,1189,2590,4745,4810,3621,2.91268547452437,5.85591110409123,4.2800026550884,3.82325664049415,0.37037716229936,0.338810798978658,0.172414872647194,0.314547116696827,2.12981337836857,3.92384337563231,3.92801203278785,3.0513334915972,6.60416554197239,3.51527128194308,22.1754093317097,2.31576946213646,11,15,15,13,"Albizia_procera",36,NA,NA,36,NA,NA,NA,NA,NA,1.55630250076729,NA,NA,NA,NA,-0.206991090363388,NA,NA,NA,NA,-0.206991090363388,-0.933591479795947,0.0657215691758929,0.727124263712248,-1.18277503474601,-0.822784528051559,NA,NA,-0.819360874772601,0.988509136823908
"Alchornea_latifolia","ALCLAT",15869.3320610784,2853.44880842976,5950.51296693459,8604.24046113901,8296.3695249185,5442.92071648873,16364,2789,6376,9979,9317,6528,7.39704383708551,3.5837891382183,4.41271260902035,4.44493975176109,0.256414958514942,0.254108099233993,0.0848188817614354,0.250279974337709,3.0678807199951,2.47106372572337,2.54838269042778,2.37307092357069,6.53055164054236,2.10916277291721,22.4189551876753,18.2656519352477,19,19,25,23,"Alchornea_latifolia",34,NA,21.8636,21.8636,0.430138969,179.302682,179.2952453,163.8239611,27,1.33972167323172,2.25358678576458,2.25356877273367,2.21437742253101,-1.41844108198445,-0.407720266425885,-0.87038578109693,0.895801428631374,0.534505383078056,1.68552130946687,-0.407720266425885,-1.41844108198445,-0.87038578109693,0.895801428631374,0.534505383078056,1.68552130946687,-2.05743924685668,-0.333010406550289,1.4955528220551,1.47918908436104
"Allophylus_crassinervis","ALLCRA",22121.1487111747,3713.17176523805,7348.1924200654,10286.8147811294,10362.6963157654,6649.52455052733,20617,3920,7510,11331,11606,7686,NA,NA,NA,1.5438462977939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Allophylus_crassinervis",NA,NA,NA,NA,0.881489862,207.25,16.15970792,118.3069046,8,NA,2.31649453922231,1.20843350681736,2.07301009156094,0.985007191273302,NA,-0.460780112232793,-0.697781926620653,-0.110541291196641,-0.625601018074375,-1.08921309142737,0.985007191273302,-0.460780112232793,-0.697781926620653,-0.110541291196641,-0.625601018074375,NA,NA,-0.410552452295016,-1.22017556014424
"Allophylus_racemosus","ALLRAC",24872.6179271638,4292.67383633554,8316.37346851826,10949.8454463631,11082.3096639514,6789.63582761586,7543,2515,4000,3362,3793,1278,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,0.0282729605871451,0.0310021386630984,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,106.825301354927,NA,NA,NA,1,1,"Allophylus_racemosus",18.55,NA,NA,18.55,0.686336981,204.2888889,235.0207448,242.4582029,8,1.26834391395106,2.31024474636498,2.37110619824849,2.38463688184788,-0.0541839616302661,-0.473873854315563,-0.501473833481437,1.07501812050655,1.31138429309586,-0.625601018074375,-0.473873854315563,-0.0541839616302661,-0.501473833481437,1.07501812050655,1.31138429309586,-0.625601018074375,-0.997947107110485,0.998197712504892,1.05791559035876,0.449462835920338
"NA","ALSBRY",7427.7984089196,1370.99962504674,2839.73289431666,4572.01312438515,4322.8648590378,2951.86523399106,2213,1026,1437,1793,1665,639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alsophila_bryophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
