"sp","year","metric","value"
"ACNARB",1951,"ai",90.5374961108348
"ACNARB",1951,"cohesion",99.5378234740769
"ACNARB",1951,"contag",60.248636185221
"ACNARB",1951,"division",0.178645210879785
"ACNARB",1951,"enn_cv",50.5594013419738
"ACNARB",1951,"enn_mn",1345.93949425728
"ACNARB",1951,"enn_sd",680.49895072167
"ACNARB",1951,"lsi",11.3647342995169
"ACNARB",1951,"mesh",714266.574301978
"ACNARB",1951,"np",934
"ACNARB",1951,"pd",0.10740323019987
"ACNARB",1951,"pladj",90.9581566733197
"ACNARB",1951,"split",1.21750066262003
"ADEPAV",1951,"ai",95.5995704311476
"ADEPAV",1951,"cohesion",99.6413103572859
"ADEPAV",1951,"contag",75.1721894008019
"ADEPAV",1951,"division",0.109715683132589
"ADEPAV",1951,"enn_cv",76.3333441159305
"ADEPAV",1951,"enn_mn",1437.72376851978
"ADEPAV",1951,"enn_sd",1097.46263166073
"ADEPAV",1951,"lsi",6.15579710144928
"ADEPAV",1951,"mesh",774209.072117057
"ADEPAV",1951,"np",231
"ADEPAV",1951,"pd",0.0265633256704176
"ADEPAV",1951,"pladj",96.0518701356985
"ADEPAV",1951,"split",1.12323667962459
"ADERIC",1951,"ai",95.8630658101724
"ADERIC",1951,"cohesion",99.6014277173297
"ADERIC",1951,"contag",79.6563347237099
"ADERIC",1951,"division",0.0813465765745148
"ADERIC",1951,"enn_cv",68.8003755828728
"ADERIC",1951,"enn_mn",1548.42126176789
"ADERIC",1951,"enn_sd",1065.31964370137
"ADERIC",1951,"lsi",5.86473429951691
"ADERIC",1951,"mesh",798879.41534224
"ADERIC",1951,"np",406
"ADERIC",1951,"pd",0.0466870572389158
"ADERIC",1951,"pladj",96.3364945141899
"ADERIC",1951,"split",1.08854979963084
"AIPMIN",1951,"ai",88.4713468987132
"AIPMIN",1951,"cohesion",99.4884698853839
"AIPMIN",1951,"contag",49.3363762926984
"AIPMIN",1951,"division",0.264862139400537
"AIPMIN",1951,"enn_cv",50.5893235042483
"AIPMIN",1951,"enn_mn",1301.47361977893
"AIPMIN",1951,"enn_sd",658.406699832414
"AIPMIN",1951,"lsi",13.5144927536232
"AIPMIN",1951,"mesh",639290.606550796
"AIPMIN",1951,"np",884
"AIPMIN",1951,"pd",0.101653592608871
"AIPMIN",1951,"pladj",88.8559517201469
"AIPMIN",1951,"split",1.36028907446633
"ALBLEB",1951,"ai",97.3853939652308
"ALBLEB",1951,"cohesion",99.7335283113991
"ALBLEB",1951,"contag",90.0457302790238
"ALBLEB",1951,"division",0.0284547260292922
"ALBLEB",1951,"enn_cv",79.7161086406247
"ALBLEB",1951,"enn_mn",1800.34235461787
"ALBLEB",1951,"enn_sd",1435.16286731036
"ALBLEB",1951,"lsi",4.26328502415459
"ALBLEB",1951,"mesh",844875.227867902
"ALBLEB",1951,"np",312
"ALBLEB",1951,"pd",0.0358777385678367
"ALBLEB",1951,"pladj",97.9025191029017
"ALBLEB",1951,"split",1.02928811120968
"ALBPRO",1951,"ai",95.679287963699
"ALBPRO",1951,"cohesion",99.6479762144084
"ALBPRO",1951,"contag",82.8652088677436
"ALBPRO",1951,"division",0.0565864177917084
"ALBPRO",1951,"enn_cv",63.7313996089668
"ALBPRO",1951,"enn_mn",1493.98554982161
"ALBPRO",1951,"enn_sd",952.137900857032
"ALBPRO",1951,"lsi",6.03019323671498
"ALBPRO",1951,"mesh",820411.345303848
"ALBPRO",1951,"np",485
"ALBPRO",1951,"pd",0.0557714846326949
"ALBPRO",1951,"pladj",96.1746955936367
"ALBPRO",1951,"split",1.05998049938952
"ALCLAT",1951,"ai",94.3303782226437
"ALCLAT",1951,"cohesion",99.6283020215281
"ALCLAT",1951,"contag",70.6982267191839
"ALCLAT",1951,"division",0.127584453330992
"ALCLAT",1951,"enn_cv",64.6334632430753
"ALCLAT",1951,"enn_mn",1375.56412615675
"ALCLAT",1951,"enn_sd",889.074733864454
"ALCLAT",1951,"lsi",7.46256038647343
"ALCLAT",1951,"mesh",758670.03168573
"ALCLAT",1951,"np",418
"ALCLAT",1951,"pd",0.0480669702607556
"ALCLAT",1951,"pladj",94.7740129675339
"ALCLAT",1951,"split",1.14624275532242
"ALLCRA",1951,"ai",91.8126620595262
"ALLCRA",1951,"cohesion",99.5707062382378
"ALLCRA",1951,"contag",61.7030982372197
"ALLCRA",1951,"division",0.177672040747103
"ALLCRA",1951,"enn_cv",51.4218252241217
"ALLCRA",1951,"enn_mn",1267.85305329817
"ALLCRA",1951,"enn_sd",651.953181165677
"ALLCRA",1951,"lsi",10.0615942028986
"ALLCRA",1951,"mesh",715112.862539523
"ALLCRA",1951,"np",609
"ALLCRA",1951,"pd",0.0700305858583736
"ALLCRA",1951,"pladj",92.2324707994284
"ALLCRA",1951,"split",1.21605983202678
"ALLRAC",1951,"ai",95.5688639851188
"ALLRAC",1951,"cohesion",99.6259269507982
"ALLRAC",1951,"contag",74.1400394063047
"ALLRAC",1951,"division",0.118606425026499
"ALLRAC",1951,"enn_cv",59.7945607597635
"ALLRAC",1951,"enn_mn",1267.2502450632
"ALLRAC",1951,"enn_sd",757.746717762564
"ALLRAC",1951,"lsi",6.19202898550725
"ALLRAC",1951,"mesh",766477.50490678
"ALLRAC",1951,"np",221
"ALLRAC",1951,"pd",0.0254133981522177
"ALLRAC",1951,"pladj",96.0164397151394
"ALLRAC",1951,"split",1.13456692718694
"ALSBRY",1951,"ai",97.9987039176858
"ALSBRY",1951,"cohesion",99.7854763372688
"ALSBRY",1951,"contag",87.4962561284432
"ALSBRY",1951,"division",0.0482760790443519
"ALSBRY",1951,"enn_cv",38.2970391660742
"ALSBRY",1951,"enn_mn",1127.60625102864
"ALSBRY",1951,"enn_sd",431.839807595539
"ALSBRY",1951,"lsi",3.66908212560386
"ALSBRY",1951,"mesh",827638.182313859
"ALSBRY",1951,"np",81
"ALSBRY",1951,"pd",0.00931441289741915
"ALSBRY",1951,"pladj",98.4835780000709
"ALSBRY",1951,"split",1.05072487722687
"ALSPOR",1951,"ai",94.4550870492612
"ALSPOR",1951,"cohesion",99.6362966691857
"ALSPOR",1951,"contag",74.5323113585344
"ALSPOR",1951,"division",0.0993597059081727
"ALSPOR",1951,"enn_cv",85.0453998609548
"ALSPOR",1951,"enn_mn",1392.63004420754
"ALSPOR",1951,"enn_sd",1184.36778968009
"ALSPOR",1951,"lsi",7.31763285024155
"ALSPOR",1951,"mesh",783214.837315743
"ALSPOR",1951,"np",445
"ALSPOR",1951,"pd",0.0511717745598954
"ALSPOR",1951,"pladj",94.9157346497703
"ALSPOR",1951,"split",1.11032118656024
"AMYELE",1951,"ai",95.1565157951641
"AMYELE",1951,"cohesion",99.6167636948686
"AMYELE",1951,"contag",72.1452712484913
"AMYELE",1951,"division",0.12940460683288
"AMYELE",1951,"enn_cv",59.5914863341866
"AMYELE",1951,"enn_mn",1298.11203363079
"AMYELE",1951,"enn_sd",773.564255123522
"AMYELE",1951,"lsi",6.6195652173913
"AMYELE",1951,"mesh",757087.189747364
"AMYELE",1951,"np",249
"AMYELE",1951,"pd",0.0286331952031774
"AMYELE",1951,"pladj",95.5983607525421
"AMYELE",1951,"split",1.14863920467362
"ANAPER",1951,"ai",90.3155571615604
"ANAPER",1951,"cohesion",99.5329279735467
"ANAPER",1951,"contag",58.3795335292552
"ANAPER",1951,"division",0.192827488376685
"ANAPER",1951,"enn_cv",50.5381247860424
"ANAPER",1951,"enn_mn",1338.26661870158
"ANAPER",1951,"enn_sd",676.334853729355
"ANAPER",1951,"lsi",11.5990338164251
"ANAPER",1951,"mesh",701933.381755112
"ANAPER",1951,"np",933
"ANAPER",1951,"pd",0.10728823744805
"ANAPER",1951,"pladj",90.7290399537042
"ANAPER",1951,"split",1.23889253610593
"ANDINE",1951,"ai",91.849300166149
"ANDINE",1951,"cohesion",99.5770577125935
"ANDINE",1951,"contag",66.2830038318613
"ANDINE",1951,"division",0.139674799531754
"ANDINE",1951,"enn_cv",54.2938818914376
"ANDINE",1951,"enn_mn",1379.01900136485
"ANDINE",1951,"enn_sd",748.722947861511
"ANDINE",1951,"lsi",10.0024154589372
"ANDINE",1951,"mesh",748156.024490139
"ANDINE",1951,"np",678
"ANDINE",1951,"pd",0.0779650857339529
"ANDINE",1951,"pladj",92.2903404863416
"ANDINE",1951,"split",1.16235116611223
"ANNGLA",1951,"ai",92.3248205321097
"ANNGLA",1951,"cohesion",99.5314449585843
"ANNGLA",1951,"contag",63.5147398272463
"ANNGLA",1951,"division",0.172005784826138
"ANNGLA",1951,"enn_cv",59.2924153864618
"ANNGLA",1951,"enn_mn",1393.92384876203
"ANNGLA",1951,"enn_sd",826.491118578937
"ANNGLA",1951,"lsi",9.53260869565217
"ANNGLA",1951,"mesh",720040.352169335
"ANNGLA",1951,"np",628
"ANNGLA",1951,"pd",0.0722154481429534
"ANNGLA",1951,"pladj",92.7497549395911
"ANNGLA",1951,"split",1.20773790646595
"ANNMON",1951,"ai",96.6802018347057
"ANNMON",1951,"cohesion",99.6856281967003
"ANNMON",1951,"contag",85.356661651989
"ANNMON",1951,"division",0.0489335133718937
"ANNMON",1951,"enn_cv",52.8683011722597
"ANNMON",1951,"enn_mn",1394.30484108745
"ANNMON",1951,"enn_sd",737.145282645509
"ANNMON",1951,"lsi",5.006038647343
"ANNMON",1951,"mesh",827066.464255862
"ANNMON",1951,"np",331
"ANNMON",1951,"pd",0.0380626008524165
"ANNMON",1951,"pladj",97.1761954814404
"ANNMON",1951,"split",1.05145120142481
"ARDELL",1951,"ai",89.8183449801159
"ARDELL",1951,"cohesion",99.5378086479736
"ARDELL",1951,"contag",53.9660182314332
"ARDELL",1951,"division",0.228864612209443
"ARDELL",1951,"enn_cv",49.5230085586499
"ARDELL",1951,"enn_mn",1291.45698237127
"ARDELL",1951,"enn_sd",639.568351911007
"ARDELL",1951,"lsi",12.1243961352657
"ARDELL",1951,"mesh",670594.777136648
"ARDELL",1951,"np",744
"ARDELL",1951,"pd",0.0855546073540722
"ARDELL",1951,"pladj",90.2152988555974
"ARDELL",1951,"split",1.29678914472487
"ARDGLA",1951,"ai",97.9712532276593
"ARDGLA",1951,"cohesion",99.7840545907857
"ARDGLA",1951,"contag",88.1265994030392
"ARDGLA",1951,"division",0.0440236948599172
"ARDGLA",1951,"enn_cv",46.3425542553939
"ARDGLA",1951,"enn_mn",1416.99916021024
"ARDGLA",1951,"enn_sd",656.673604618905
"ARDGLA",1951,"lsi",3.69323671497585
"ARDGLA",1951,"mesh",831336.140765267
