"","code","Species","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass"
"1","DENARB","Dendropanax arboreus",-1.24376489840353,-0.314211803784312,-0.0955574860222728,1.00142876833545,1.75154911214419,8
"2","ILENIT","Ilex nitida",-0.165068610481732,0.0965015474562347,-0.100119849915579,-0.2027137863632,0.208991655426295,1150.35523225249
"3","PLUOBT","Plumeria obtusa",-0.858715748631844,-0.105056081575435,-0.0997779545781183,1.16922701196459,-1.39289493424229,45.8446176654391
"4","PLUALB","Plumeria alba",-1.07014682109907,2.17708836860603,-0.0954662845994658,-1.227628195888,-0.740274471784717,26
"5","RANACU","Randia aculeata",1.68013969940223,-0.496383887271498,-0.109147320162159,-0.0897131585743894,-1.03692013653816,2243.07425064481
"6","COFARA","Coffea arabica",-0.101649406743054,-0.279042000899207,-0.0967519797659374,0.449944134108374,-0.97759100358747,188.3
"7","IXOFER","Ixora ferrea",0.0698032599724645,-0.190664731068746,-0.0959406530503035,-0.0523718860229694,-0.740274471784717,702.849700832966
"8","EXOCAR","Exostema caribaeum",1.40797692266209,-0.185034761582461,-0.108865899393488,-0.742073060310249,-0.502957939981964,2368.98908906853
"9","ERIFRU","Erithalis fruticosa",1.91570224498709,2.49063460137885,-0.107276358062764,-1.25421345309933,-1.39289493424229,1638.03024904471
"10","NEORES","Neolaugeria resinosa",0.2272274306745,-0.697922673693689,-0.106341983187208,-0.358276825148439,0.683624719031802,736.292697719504
"11","GUEVAL","Guettarda valenzuelana",-0.455067371983198,1.69327199640973,-0.0922646778378312,-0.688712919175136,0.802282984933178,-1446.52537843315
"12","GUEOVA","Guettarda ovalifolia",0.164930352868498,-0.734552874713269,-0.100334072107192,0.838726994332501,-0.62161620588334,556.974042535637
"13","GUESCA","Guettarda scabra",0.820321316085631,1.47246129254857,-0.104716784388639,-0.520925330725425,-0.146983142277834,52.2525806214854
"14","FAROCC","Faramea occidentalis",0.302080400033772,-0.670000310665885,-0.0989555303352293,0.783041647010663,-0.740274471784717,300
