"sp","total_hab_raw","fcover_51_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_00","tot_change"
"TABRIG",4092.12208062215,744.278666982402,1987.73175660266,1243.45308962025,9445,1218,4117,2899
"TABSCH",12125.1808471675,1847.52519897488,6348.76967929304,4501.24448031816,7271,1481,4608,3127
"TAMIND",17100.2302775238,1642.78003309713,5846.22027378602,4203.44024068889,17885,1477,5428,3951
"TECGRA",25353.9776565433,4027.39347776957,10841.9688825011,6814.57540473156,40496,6358,17079,10721
"TECSTA",26570.3364059431,3446.11295872089,10565.3140118523,7119.20105313137,24100,1994,6954,4960
"TERCAT",28623.4128471911,4297.94194795191,12260.2614755481,7962.31952759624,34245,4455,12706,8251
"TERSTA",13760.2754412517,2555.34804323316,5644.46579743177,3089.11775419861,10203,2761,4917,2156
"TETBAL",27752.5597857833,3932.40108388662,11914.1602021456,7981.75911825895,33227,3778,13331,9553
"TETBIF",8915.80089133966,1581.55365936295,5474.38130450109,3892.82764513814,5533,1501,3957,2456
"TETELA",26232.2820650581,3629.35429678857,10509.9764587972,6880.62216200866,20601,2660,6389,3729
"TETURB",15097.8645228604,2068.54346827895,7263.06756727817,5194.52409899922,13224,2290,7984,5694
"THEGRA",23359.005367459,3028.70250144042,10004.4267628419,6975.72426140145,17456,1731,6754,5023
"THEPOP",15282.3552933485,1486.88739167468,4436.53457220329,2949.64718052861,21123,1586,5387,3801
"THOPOR",5277.82824258442,725.272017103653,1381.23389284603,655.961875742375,5643,747,1150,403
"THOSTR",20796.0336414501,3603.98743931204,8650.30293899029,5046.31549967825,7791,2574,3820,1246
"THRMOR",11044.7739999601,1715.36941339455,4291.72750096185,2576.35808756729,13517,2004,4874,2870
"TOUFIL",24392.3007329395,3534.92255266663,10433.8158885818,6898.89333591517,22797,3296,9488,6192
"TRELAM",11775.3281176372,2107.58984371042,6626.02732389607,4518.43748018565,8024,1345,5526,4181
"TREMIC",23368.2801347133,2894.17967832182,9870.93073742278,6976.75105910096,31717,3273,12539,9266
"TRIHIR",28077.7492151707,3996.08326967061,11852.7484001666,7856.66513049603,32051,3798,13146,9348
"TRIPAL",24820.7621932365,3985.39939955622,11867.652949784,7882.25355022773,21669,3625,11793,8168
"TRITRI",17060.5815178575,3107.40525297914,8797.96468634438,5690.55943336524,2264,522,709,187
"TRORAC",15834.98705331,2975.95158542739,6646.44840154261,3670.49681611522,19087,3151,6728,3577
"TUROCC",16908.8908306644,3151.91961794323,9702.64668647223,6550.727068529,15654,2776,9781,7005
"UREBAC",21512.8976305159,3631.35463807732,11258.8338791883,7627.47924111097,17765,3789,11300,7511
"VACFAR",15980.2056700431,1615.71347263351,5717.03612341209,4101.32265077858,12997,1089,3848,2759
"VARBEL",18226.9891748205,3402.83573747799,9562.08848306909,6159.2527455911,547,351,445,94
"VARPOL",28529.8907744586,4231.36280876398,12220.7974361777,7989.43462741375,10864,726,2520,1794
"VARRUP",1443.67822149249,436.121527926854,613.866864724616,177.745336797761,1252,394,465,71
"VITDIV",20477.2813264281,3025.74164178967,9756.02363871038,6730.2819969207,21894,2738,11691,8953
"WALLAM",26982.4651658759,4339.72676732391,11664.6273413077,7324.90057398379,4441,1646,2347,701
"XYLBUX",21285.7427780218,3426.50290256552,7890.78341113776,4464.28050857224,19494,3468,5367,1899
"XYLSCH",21088.9713972956,3124.81360387988,9250.43298042379,6125.61937654391,547,351,445,94
"ZANFLA",16093.3629571497,3159.53407246806,6268.38451956771,3108.85044709966,7935,2598,3863,1265
"ZANMAR",25874.7833604962,3823.13325314224,11415.1411458701,7592.00789272785,24168,3346,11119,7773
"ZANMON",15920.3249064964,1599.19491411641,6841.10206759754,5241.90715348113,13128,880,5801,4921
"ZANPUN",8693.57322234614,1412.14860814577,4474.23793729953,3062.08932915376,4365,542,1683,1141
"ZAPPOR",23021.6599009103,3082.46799791346,9235.61362735867,6153.14562944521,10153,979,2806,1827
"ZIZRET",8192.01937499922,998.79723835038,2442.86807508441,1444.07083673403,5028,588,784,196
