"sp","total_hab_raw","fcover_51_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_00","tot_change"
"HYPTRI",3411.47746350624,718.513920051504,1542.39206199973,823.878141948226,1563,450,558,108
"ILENIT",20229.9186244067,3372.43158410862,9951.48174015991,6579.05015605129,4232,1433,3418,1985
"ILESID",17295.4798978725,2266.32029506937,9178.9859837871,6912.66568871774,26776,3452,14237,10785
"ILEURB",13124.6541664321,2726.80233924557,6950.15678424295,4223.35444499739,8492,2953,4310,1357
"INDSUF",26362.8378283978,3682.49324214458,10001.1522710919,6318.65902894735,16102,1638,3224,1586
"INGLAU",25317.0941278189,3522.36601686478,11818.9202558547,8296.55423898995,19111,2395,10888,8493
"INGVER",22509.1590738222,3195.197265286,11588.826367341,8393.62910205498,23756,2756,13047,10291
"IXOFER",22626.2469699606,3684.21492485702,9554.04013288021,5869.82520802319,20280,3301,7267,3966
"JACARB",12944.365000085,1618.1992004416,4208.7016917225,2590.5024912809,6344,658,992,334
"JACBER",5641.01560190014,969.967055727154,2106.69083406947,1136.72377834231,5224,777,1242,465
"JATGOS",16012.2598811801,1758.18320873736,4819.31578585466,3061.1325771173,9852,807,1772,965
"JATHER",26805.6919715442,3964.87306837738,10716.4431408346,6751.57007245719,30309,4104,10177,6073
"KOAPOL",23331.2068358734,2773.95984763559,9955.92042002734,7181.96057239175,36716,4267,15448,11181
"KRUFER",14050.3506613047,1891.21120723964,4697.16354669695,2805.9523394573,16698,2314,4102,1788
"LAEPRO",16709.8868591581,2053.05596105661,8940.92393315863,6887.86797210202,25320,3067,13627,10560
"LAGRAC",23143.3445813619,3027.92984233797,8254.95576461218,5227.02592227422,12970,1015,1831,816
"LANCAM",28939.8592758477,4284.02730923891,12172.3479264081,7888.32061716914,17474,1603,3893,2290
"LANINV",20719.3921467718,2595.87977683358,7603.6331958212,5007.75341898762,18848,1725,5293,3568
"LEULEU",20729.5500384974,2664.03781988978,7626.66400050599,4962.62618061621,18827,1818,5085,3267
"LICBRI",12351.7944014929,2524.91393612698,6527.61378648132,4002.69985035434,547,351,445,94
"LICPAR",25746.6362160519,3679.11156633496,9961.2592272386,6282.14766090363,22337,3269,6259,2990
"LONGLA",18185.0092702229,3223.28886271361,7440.63125391956,4217.34239120595,4068,1459,2109,650
"LONHEP",19485.1630641706,3591.47354800999,10201.5762783028,6610.10273029283,29683,5519,15701,10182
"LONSER",12397.1597164012,2450.31948793959,3778.54378877673,1328.22430083714,19211,3792,5665,1873
"LYOSTA",9335.0974064419,1237.37365813789,4286.89008407961,3049.51642594172,16379,1836,7164,5328
"MACLUN",17406.1475083969,1489.61342491116,5448.1237389709,3958.51031405973,17924,1144,4078,2934
"MACPOR",8622.80807862733,1340.70211419277,3983.9799108752,2643.27779668244,6385,963,2396,1433
"MAGPOR",6725.48529741715,1696.95580061525,4207.84306922602,2510.88726861076,2434,1133,1856,723
"MAGSPL",16896.4094204791,2077.4750325121,9016.42895609606,6938.95392358396,25430,3074,13649,10575
"MALCOC",27666.4748565555,4246.15597914159,11495.4393114373,7249.28333229572,36168,5152,14086,8934
"MALFUC",21562.61603917,3674.57488586009,11232.5240276717,7557.94914181158,5276,1073,2337,1264
"MAMAME",28511.8919908851,4353.59856501222,12326.6553806588,7973.05681564659,20120,2895,6431,3536
"MANBID",18094.8812832704,2838.36548144603,7518.34612040548,4679.98063895945,11055,1510,3324,1814
