"","YEAR","SPCD","COMMON_NAME","SCIENTIFIC_NAME","TPA","BAA","TPA_SE","BAA_SE","nPlots_TREE","nPlots_AREA","N"
"1",2004,303,"sweet acacia","Acacia farnesiana",14.2867494868854,0.46159394570602,34.0403148157761,43.1519054685518,15,275,959
"2",2004,514,"swampmahogany","Eucalyptus robusta",1.5548985586545,1.29320200826321,57.6277657433682,56.228814137747,4,275,506
"3",2004,684,"black mulberry","Morus nigra",0.0275460446677071,0.0103497668315816,107.862612750082,107.862612750082,1,275,506
"4",2004,852,"sea torchwood","Amyris elemifera",7.54319705205847,0.116035183027071,63.6042201726315,63.6802887087742,6,275,506
"5",2004,854,"gumbo limbo","Bursera simaruba",7.90919291419177,1.44232995364459,29.427491534794,24.3430329175352,39,275,959
"6",2004,857,"belah","Casuarina lepidophloia",0.618333039952456,0.130068179934851,107.862612750082,107.862612750082,1,275,506
"7",2004,858,"camphortree","Cinnamomum camphora",0.0332386969961233,0.0580851594732949,96.436437120357,96.436437120357,1,275,506
"8",2004,859,"Florida fiddlewood","Citharexylum fruticosum",6.63654735052729,0.360423268919296,32.0308528243405,30.9519794617145,29,275,740
"9",2004,863,"tietongue, pigeon-plum","Coccoloba diversifolia",7.38920477355761,0.353704522827584,40.0680500987071,43.0032561079899,16,275,506
"10",2004,873,"red stopper","Eugenia rhombea",5.24640767912475,0.0734562022220229,72.7068617788925,78.6629727737159,8,275,740
"11",2004,877,"wild banyantree, shortleaf fig","Ficus citrifolia",1.98016599763923,0.860712016438982,57.0049649605871,89.5789409842413,11,275,740
"12",2004,885,"mango","Mangifera indica",2.22119328055719,3.81957953025507,37.9527084687805,32.0492183777184,21,275,740
"13",2004,888,"octopus tree, schefflera","Schefflera actinophylla",0.342872593275385,0.00187002712372395,108.070717675102,108.070717675102,1,275,506
"14",2004,890,"false mastic","Sideroxylon foetidissimum",0.88318422875307,0.0218330032325925,90.522506668198,59.6518157915763,3,275,506
"15",2004,891,"white bully, willow bustic","Sideroxylon salicifolium",0.137730223338536,0.086657700771151,88.9745271027339,82.0178894293634,2,275,506
"16",2004,897,"tamarind","Tamarindus indica",0.88318422875307,0.0489734738469273,90.9325701192444,64.791300180336,3,275,506
"17",2004,908,"coconut palm","Cocos nucifera",0.170968920334659,0.109888002772113,55.1803191175878,52.9875429674768,4,275,506
"18",2004,940,"West Indian mahogany","Swietenia mahagoni",2.30514996166167,0.157178217291085,70.884239857117,60.6945929592644,4,275,506
"19",2004,986,"black mangrove","Avicennia germinans",3.94063612387061,0.200280862427855,80.5007407919414,98.1690077663969,3,275,506
"20",2004,987,"buttonwood-mangrove","Conocarpus erectus",0.768383320553891,0.0591117387434126,107.862612750082,107.862612750082,1,275,506
"21",2004,988,"white mangrove","Laguncularia racemosa",2.88361689968352,0.424889497059821,83.9568262748798,94.7019994879713,2,275,506
"22",2004,989,"American mangrove","Rhizophora mangle",0.480602816613921,0.0596115707914348,96.2557968718444,80.2852072677285,2,275,506
"23",2004,999,"other or unknown live tree","Tree unknown",24.2534850848271,0.938444229008539,37.2411743319102,23.9265243609399,38,275,740
"24",2004,6008,"porknut","Acacia macracantha",1.22922685860113,0.0449478295205781,47.8489257674173,47.7581803145301,7,275,234
"25",2004,6012,"spineless wattle","Acacia muricata",0.795929365221598,0.0733778260145454,76.7817983324065,82.2840284389953,2,275,506
"26",2004,6023,"grugru palm","Acrocomia media",0.370418637943092,0.0198933733091101,100.270118920671,94.7006471600129,2,275,506
"27",2004,6026,"wild lime","Adelia ricinella",0.109412124750511,0.00285522657904351,99.8468746715428,99.8468746715428,1,275,234
"28",2004,6028,"red beadtree","Adenanthera pavonina",6.57343269140286,0.25323438883335,100.787951542564,98.4184014546525,3,275,506
"29",2004,6059,"woman's tongue","Albizia lebbeck",1.57783199358054,0.274233641076964,57.1836206667504,47.9756431120988,8,275,740
"30",2004,6060,"tall albizia","Albizia procera",2.81612540017236,0.483169770615553,45.5261991713172,44.6865219539107,11,275,506
"31",2004,6064,"achiotillo","Alchornea latifolia",7.15182027651186,0.585606363114926,52.4841725995332,33.9557700447683,19,275,506
"32",2004,6066,"palo de gallina","Alchorneopsis floribunda",0.0275460446677071,0.00522971960237126,107.862612750082,107.862612750082,1,275,506
"33",2004,6093,"Alsophila portoricensis","Alsophila portoricensis",0.342872593275385,0.0395697739379988,107.862612750082,107.862612750082,1,275,506
"34",2004,6103,"balsam torchwood","Amyris balsamifera",0.68574518655077,0.0537258792645891,107.862612750082,107.862612750082,1,275,506
"35",2004,6106,"anacardium","Anacardium spp.",0.0275460446677071,0.00845078217849421,108.068257337841,108.06825733784,1,275,506
"36",2004,6114,"cabbagebark tree","Andira inermis",22.0621297567852,2.66729670209447,22.8029857558677,21.2820540626077,69,275,740
"37",2004,6128,"soursop","Annona muricata",2.11232764898772,0.116192649828284,55.9034087435604,60.6987838794765,5,275,506
"38",2004,6131,"sugar apple","Annona squamosa",0.342872593275385,0.0074801084948958,107.862612750082,107.862612750082,1,275,506
"39",2004,6150,"quina roja","Antirhea obtusifolia",0.0332386969961233,0.00588991239751366,96.7057664957453,96.7057664957453,1,275,506
"40",2004,6164,"Guadeloupe marlberry","Ardisia obovata",12.0816224317576,0.209989493396849,35.4907980920172,38.6305843421414,13,275,506
"41",2004,6171,"breadfruit","Artocarpus altilis",0.723724247637549,0.307182713943685,56.4946890416651,49.4100333596454,7,275,506
"42",2004,6173,"Artocarpus heterophyllus","Artocarpus heterophyllus",0.0275460446677071,0.0071527420358775,107.862612750082,107.862612750082,1,275,506
"43",2004,6217,"Puerto Rico palo de ramon","Banara portoricensis",0.0275460446677071,0.00845078217849421,107.862612750082,107.862612750082,1,275,506
"44",2004,6247,"parrotweed","Bocconia frutescens",0.0275460446677071,0.00390764167933572,107.862612750082,107.862612750082,1,275,506
"45",2004,6255,"bodywood","Bourreria succulenta",4.87903988948787,0.124089999501542,67.9036662519671,60.4001743037156,7,275,740
"46",2004,6257,"roble de guayo","Bourreria virgata",1.02861777982615,0.022328123857264,80.2642889565365,85.7154740023737,2,275,506
"47",2004,6283,"fourleaf buchenavia","Buchenavia tetraphylla",1.04384376723096,1.03805678879089,52.6806267302288,57.8375544923692,8,275,506
"48",2004,6284,"gregorywood","Bucida buceras",12.2881433502025,0.725213425890792,43.7207961054712,36.0427140950743,24,275,959
"49",2004,6311,"Long Key locustberry","Byrsonima lucida",4.48488975724771,0.134350833010751,107.198315390548,102.863232910902,2,275,506
"50",2004,6313,"doncella","Byrsonima spicata",1.01629772256326,0.162853040798664,88.0004258012238,64.8452803046952,5,275,506
"51",2004,6315,"almendrillo","Byrsonima wadsworthii",0.397964682610799,0.0189697629280916,94.0368191879665,87.1472044795631,2,275,506
"52",2004,6338,"Antilles calophyllum","Calophyllum antillanum",5.09659539226568,0.88155626725935,69.9933348070384,62.6549243725265,11,275,506
"53",2004,6380,"wild cinnamon","Canella winterana",1.85670991924381,0.0424852017379439,61.6960180632459,66.7546828367565,3,275,506
"54",2004,6384,"caper","Capparis baducca",1.48438441042987,0.0184918372303225,63.4908821505936,64.5102236337002,3,275,740
"55",2004,6393,"crabwood","Carapa guianensis",0.910730273420778,0.0307318622993816,88.1990317980798,82.3655176871945,2,275,506
"56",2004,6403,"gia verde","Casearia arborea",8.43852067001015,0.270823022243796,44.0699453904443,43.5038447186496,15,275,506
"57",2004,6406,"wild honeytree","Casearia decandra",3.18713481294596,0.0605261307187199,52.944258165773,53.1860658079204,6,275,740
"58",2004,6407,"Guyanese wild coffee","Casearia guianensis",54.3141454461815,0.885606839519373,23.4069543961135,21.6715916820952,46,275,740
"59",2004,6410,"crackopen","Casearia sylvestris",43.5235172305948,0.637809329083815,32.7344799809217,29.2801904206121,28,275,740
"60",2004,6425,"marbletree","Cassine xylocarpa",2.24929724788464,0.0257338987144957,98.8916854706211,94.7372338587831,4,275,725
"61",2004,6443,"pumpwood","Cecropia schreberiana",14.5279955470865,2.85779838610703,26.6077876782751,18.5987582499278,58,275,506
"62",2004,6445,"Spanish cedar","Cedrela odorata",0.137730223338536,0.315733241078753,71.2824744633785,65.5185925153004,3,275,506
