"","sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019","species","seedmass","ss.guanica","ss.swenson","ss","WD","THK","LA.wp","SLA.wp","MAXHT","ss.log","thk.log","la.log","sla.log","wd.z","ss.log.z","thk.log.z","la.log.z","sla.log.z","maxht.z","ss.log.z_pi","wd.z_pi","thk.log.z_pi","la.log.z_pi","sla.log.z_pi","maxht.z_pi","pca1","pca2","pca1_pi","pca2_pi"
"Acnistus_arborescens","ACNARB",22240.9843754442,2614.06406885292,5982.9087578794,9652.41009164695,9413.51379624289,6799.44972738996,33838,3943,9069,14700,14320,10377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acnistus_arborescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.07857141541694,-1.1595874095849,2.66290309171004,0.11857128160043,-1.44823857880129,-1.39850580403619,NA,NA,-3.13103474771719,1.6725164933165
"Adenanthera_pavonina","ADEPAV",14491.5703662267,2784.49726467737,5134.03458825732,5398.78008713227,5642.09236204182,2857.59509736445,9199,2355,3582,2969,3332,977,6.79882434100443,5.6399519410739,6.61236502046928,6.97885084894265,0.227924407568837,0.225873865985772,0.0848188817614354,0.465032079946476,2.18864601378944,2.12468066850922,2.00169466153223,2.31889976437135,3.19166193776346,10.6012949492703,1.40796249859295,39.289859273635,3,2,3,3,"Adenanthera_pavonina",234,NA,NA,234,0.60277991,152.4444444,1233.654518,150.8393019,6.5,2.36921585741014,2.18311160180479,3.09119355359225,2.17851451377814,-0.497151089163936,0.550219047122289,-1.33008999542591,2.28536325555954,0.379992287600102,-0.810256518456059,0.550219047122289,-0.497151089163936,-1.33008999542591,2.28536325555954,0.379992287600102,-0.810256518456059,-1.79228030851101,0.412185409408899,1.5846395453698,0.971086268457642
"Adelia_ricinella","ADERIC",19801.1854815872,2630.09885502788,5447.67723342732,7111.8059164829,7478.81520599012,4848.71635096224,9537,1016,1928,2146,2564,1548,NA,1.11104984826585,2.19676261556471,3.98103435166364,NA,NA,NA,NA,NA,0.056468466496443,0.436809504061982,1.25089113933472,NA,3.1029371872982,9.60405571755126,NA,NA,3,3,5,"Adelia_ricinella",NA,NA,NA,NA,0.817326947,136.6666667,23.93057147,138.3520253,4,NA,2.135662602106,1.37895306983384,2.14098552104962,0.642724942075886,NA,-1.63841529939999,-0.437271451514391,0.20868974686202,-1.11621905452976,-0.449492377217015,0.642724942075886,-1.63841529939999,-0.437271451514391,0.20868974686202,-1.11621905452976,NA,NA,0.686586129237497,-1.24082787515434
"Aiphanes_acanthophylla","AIPMIN",24272.481118666,3861.67430298962,7668.30648391508,10189.2824276853,10327.5391329359,6465.86482994631,37211,5928,11765,15598,15815,9887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aiphanes_acanthophylla",NA,NA,NA,NA,NA,192.1111111,45.22604067,174.0977514,8,NA,2.28355248380948,1.65538856894343,2.24079316192217,NA,NA,-0.677421537247481,0.00228881544707484,0.664265588990863,-0.626678996811836,-0.361996169838596,-2.93437428121427,-0.677421537247481,0.00228881544707484,0.664265588990863,-0.626678996811836,NA,NA,0.961460368981887,2.08480583124808
"Albizia_lebbeck","ALBLEB",20720.1293187402,2889.48372653313,5756.84286789969,7391.43286930025,7738.325948162,4848.84222162887,10963,1221,2100,2773,3068,1847,1.62772840787419,0.056468466496443,NA,0.0642671423591184,0.0854716528383138,0.0282342332482215,NA,NA,1.62772840787419,0.056468466496443,NA,0.0642671423591184,1.28472898789956,NA,NA,3.08769260588487,7,1,NA,2,"Albizia_lebbeck",123,NA,NA,123,NA,NA,NA,NA,NA,2.0899051114394,NA,NA,NA,NA,0.292144845212335,NA,NA,NA,NA,0.292144845212335,-0.393431809716916,-0.78864161804606,0.767194968976719,-0.327968287799549,-0.569221206688828,NA,NA,0.452791510985845,0.302771286429818
"Albizia_procera","ALBPRO",24575.9616152495,3834.98190381937,7608.2776649259,10077.6483735349,10265.1209706739,6430.13906685449,15447,1862,3111,3837,4291,2429,2.91268547452437,5.85591110409123,4.2800026550884,3.82325664049415,0.37037716229936,0.338810798978658,0.172414872647194,0.314547116696827,2.12981337836857,3.92384337563231,3.92801203278785,3.0513334915972,6.60416554197239,3.51527128194308,22.1754093317097,2.31576946213646,11,15,15,13,"Albizia_procera",36,NA,NA,36,NA,NA,NA,NA,NA,1.55630250076729,NA,NA,NA,NA,-0.20088691197146,NA,NA,NA,NA,-0.20088691197146,-0.941567615620022,0.0601959997577298,0.74805982913307,-1.15304067889242,-0.846917915778569,NA,NA,-0.74461522839943,1.02023455443846
"Alchornea_latifolia","ALCLAT",17491.3661732227,3044.13874435425,6381.82394140214,9178.955866009,8915.43936531246,5871.30062095821,14151,2259,5421,8468,7893,5634,7.39704383708551,3.5837891382183,4.41271260902035,4.44493975176109,0.256414958514942,0.254108099233993,0.0848188817614354,0.250279974337709,3.0678807199951,2.47106372572337,2.54838269042778,2.37307092357069,6.53055164054236,2.10916277291721,22.4189551876753,18.2656519352477,19,19,25,23,"Alchornea_latifolia",34,NA,21.8636,21.8636,0.430138969,179.302682,179.2952453,163.8239611,27,1.33972167323172,2.25358678576458,2.25356877273367,2.21437742253101,-1.41438244974706,-0.401000674229261,-0.872139719235317,0.953455546623167,0.543689923507008,1.69863627734833,-0.401000674229261,-1.41438244974706,-0.872139719235317,0.953455546623167,0.543689923507008,1.69863627734833,-2.07633125363143,-0.28430452811406,1.57716372693324,1.43723112055173
"Allophylus_crassinervis","ALLCRA",22938.7222546041,3840.19673141837,7643.88627648354,10670.0575971305,10726.4055968225,6886.20886540413,22063,4192,8061,11942,12179,7987,NA,NA,NA,1.5438462977939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Allophylus_crassinervis",NA,NA,NA,NA,0.881489862,207.25,16.15970792,118.3069046,8,NA,2.31649453922231,1.20843350681736,2.07301009156094,0.983618808174714,NA,-0.463362878199484,-0.708414719593569,-0.101586733602249,-0.626678996811836,-1.08860619683312,0.983618808174714,-0.463362878199484,-0.708414719593569,-0.101586733602249,-0.626678996811836,NA,NA,-0.429614551773417,-1.207537077434
"Allophylus_racemosus","ALLRAC",24410.8776230812,4255.85169174522,8214.42746855319,10749.7533609942,10881.9585115463,6626.10681980103,7543,2517,4005,3363,3785,1268,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,0.0282729605871451,0.0310021386630984,NA,NA,0.0282729605871451,0.0620042773261967,NA,NA,106.825301354927,NA,NA,NA,1,1,"Allophylus_racemosus",18.55,NA,NA,18.55,0.686336981,204.2888889,235.0207448,242.4582029,8,1.26834391395106,2.31024474636498,2.37110619824849,2.38463688184788,-0.0532171910066567,-0.466951442419202,-0.503974256621424,1.14035188339494,1.32084581939415,-0.626678996811836,-0.466951442419202,-0.0532171910066567,-0.503974256621424,1.14035188339494,1.32084581939415,-0.626678996811836,-1.01334125908097,0.99705777058057,1.11627365686545,0.448085076849887
"NA","ALSBRY",13999.8333937945,1805.18127375748,4436.81379378866,7645.15508886147,7396.83449050505,5591.65321674757,20434,2627,6524,11321,10944,8317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alsophila_bryophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
