"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"ARDGLA",5592.45347316279,902.676650718135,2252.23307328255,3272.86123925993,2977.10820556944,2074.4315548513,5289,893,2349,3041,2687,1794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARDOBO",18669.7679391243,3323.23962879181,6300.68536769226,7131.24713656679,7373.9005834572,4050.66095466539,14155,2876,4878,4230,4638,1762,12.4958803906652,16.7490252181495,18.508198041807,22.542231323639,NA,NA,NA,NA,2.96762781060877,4.04123049199772,5.41902841062799,5.93407452014863,33.4356303822334,0.703054259202135,1.7599531208935,1.18629691968357,13,11,13,18
"ARTALT",18263.539021356,3312.7680856213,6838.36291452311,9712.5500896126,9680.98383723386,6368.21575161256,19740,2598,6446,11215,10792,8194,0.748539501659245,1.16503723624005,1.72408306551873,2.267851091916,0.233812251109995,0.183365166202494,0.169637763522871,0.465032079946476,0.748539501659245,0.813510108983584,1.02010182091764,1.49592794301906,1.06388731101096,2.86769811680358,0.351990622300547,39.8676911495688,7,9,10,11
"AVIGER",20231.3740170649,2197.82352829026,4838.6813287125,6886.90691596176,7123.42946415488,4925.60593586462,20584,1548,3648,5275,5593,4045,3.36649552385424,2.96890608926326,4.02881951357408,7.5776525533242,0.0284905509461046,0.056468466496443,0.0565459211742903,0.0620042773261967,2.30260821757385,0.859743325724455,1.21289453516971,2.14577831985596,8.51109850701,1.75763564566074,87.5464810792884,0.771923148896948,2,1,1,2
"BADPEN",5068.14044366344,941.60546716606,1602.06962282549,2047.28022170228,2144.9331883406,1203.32772117454,5238,896,1473,2168,2268,1372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIXORE",26687.0213461239,4165.59667978063,8415.61446455307,11635.5942254812,11665.9222325813,7500.32555280067,41381,6460,13061,18065,18104,11644,NA,NA,1.05597186690164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"BOCFRU",23084.7257399918,3058.8052033335,6740.66521759052,10861.5422031302,10723.647781563,7664.84257822949,18972,2386,5435,10264,10256,7870,0.0284905509461046,NA,NA,NA,NA,NA,NA,NA,0.0284905509461046,NA,NA,NA,1.06388731101096,NA,NA,NA,1,NA,NA,NA
"BONUMB",14060.7779524345,2845.27231073566,5393.01562339813,7281.43480520137,7394.18870339543,4548.91639265977,2649,877,1325,1152,1268,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOUSUC",16810.3404146481,2244.01621584944,4707.56709430325,5270.66496822483,5649.97837590268,3405.96216005324,14567,1745,3502,2640,3235,1490,5.03792430016698,19.154175332445,21.6022055228252,22.5976063937062,NA,NA,NA,NA,1.33096513754371,6.96967688282299,8.08739279928463,7.5166927990261,2.48240372411538,0.703054254512936,82.2451575310972,144.969903806186,6,16,16,13
"BOUVIR",11619.3194803172,2185.44845822873,3749.62225966575,3684.45278499555,4043.71392961359,1858.26547138486,12955,2865,4641,3921,4491,1626,1.06388730628038,0.703054254512936,1.05597186690164,1.96081001090547,NA,NA,NA,NA,0.354629102093461,NA,NA,0.0310021386630984,2.1277746267525,NA,0.703981249296475,1.54384630809097,2,1,2,3
