"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"CLIHIR",26956.4987639487,3757.63982090354,7917.77544716001,11698.8538865447,11606.3460688293,7848.70624792576,34416,3961,9124,14776,14446,10485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLUCLU",14903.7931927815,2168.00863175606,4997.92740977556,8563.26645109383,8191.32960648695,6023.32097473089,4965,1073,1954,3130,2963,1890,1.01079650372463,0.0847026997446644,NA,NA,0.0284905509461046,NA,NA,NA,0.656167401631173,0.0847026997446644,NA,NA,1.13750119824926,47.1046353337187,NA,NA,6,2,NA,NA
"CLUGUN",15919.1276939753,2953.05562891811,6010.38776728325,9125.96606530622,8864.58020298928,5911.52457407117,10347,2237,4457,7224,6680,4443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLUMIN",27075.6195043921,4331.29000639915,8582.3007029891,11769.4525144696,11835.8251721859,7504.53516578674,42833,6852,13577,18619,18724,11872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLUROS",26965.1457098424,4253.51814949512,8482.98119950294,11342.070232749,11449.542093426,7196.02394393086,13640,2110,4013,3493,3758,1648,3.02761448196668,4.26034341238963,4.24158087349987,4.67245994482406,0.0854716528383138,0.056468466496443,NA,0.0310021386630984,1.89011328371742,2.0930366181253,1.74285424836609,2.35669049813322,1.06388731101096,0.351527127256468,130.635947346414,3.47365419063042,15,15,15,14
"COCCOS",11221.4401737894,2599.83939037472,4611.49617674341,4955.84868382337,5189.96972388867,2590.13033351395,9683,2484,4417,4496,4757,2273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCDIV",15253.7075442523,2937.04404818453,5043.00127794035,5173.17216768861,5593.62256975099,2656.57852156647,17817,3330,5318,4439,5108,1778,7.6425678383889,10.8487007478339,9.41305565517212,9.6776648401679,0.0284905509461046,0.0282342332482215,NA,NA,1.74766052898689,3.64372611052798,3.32483826897298,3.83141684106158,0.709258204186922,81.4721834058962,0.351990622300547,3.88802795111996,16,16,13,15
"COCKRU",1899.35904748568,358.091836485483,544.784654621462,402.888349071656,482.972800843629,124.880964358146,2994,551,837,591,731,180,3.90092012302807,5.27290690884702,4.92786871220765,5.78942361672711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"COCMIC",17894.6353577152,2941.47418451682,5456.94024277478,7032.21561678499,7345.91272584349,4404.43854132667,8263,1472,2562,2559,2853,1381,5.68750599124629,11.1239029964911,11.6138183307329,15.3097376675278,NA,0.0282342332482215,NA,NA,1.49213030034272,4.44755052152155,5.13881805320327,5.29133982085106,1.418516417835,5.62443406892788,5.63184998967642,2.37259384489467,5,8,9,10
"COCPUB",13774.8298894335,3001.06320319697,5516.17184275296,7006.82309105434,7179.20606517559,4178.14286197862,4546,1593,2550,2284,2575,982,5.9954019168727,NA,NA,NA,NA,NA,NA,NA,0.428242994062336,NA,NA,NA,1.13750120297984,NA,NA,NA,1,NA,NA,NA
"COCPYR",20623.8676535562,3612.31225042045,7077.60247580707,9945.11257664859,9796.76040218771,6184.44815176725,17342,3950,7347,10170,9667,5717,NA,NA,0.41505585191764,0.445375904301178,NA,NA,NA,NA,NA,NA,0.0282729605871451,0.0310021386630984,NA,NA,0.351990622300547,NA,NA,NA,2,2
"COCRUG",15708.4696389809,2039.1366624455,5078.40438276669,8831.95458973944,8440.36955812527,6401.23289567977,11005,1365,3893,5375,4879,3514,NA,4.91605389578393,4.64139469596593,5.80123271893312,NA,NA,NA,NA,NA,0.819342315963987,0.773565782660989,0.82874753127616,NA,0.351527127256468,1.75995311619811,NA,NA,1,1,1
"COCSIN",13532.5113136768,2371.9222676754,4407.18731784821,5666.17469727993,5762.21767234802,3390.29540467262,559,334,415,432,441,107,0.354629102093461,0.0282342332482215,1.78822607208988,1.92980787224237,NA,NA,NA,NA,0.354629102093461,0.0282342332482215,0.0282729605871451,0.385961574448474,0.354629102093461,17.6345004779545,55.6841031859917,13.0326630364742,1,1,2,1
"COCSWA",16274.128225781,2903.86385869235,5825.79240074754,8480.76575378329,8268.0596608147,5364.19580212235,12038,2307,5005,8121,7665,5358,0.354629102093461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"COCUVI",24412.3349382691,3882.66192545742,7702.63670899346,10254.8752053082,10391.094037246,6508.43211178854,37211,5928,11752,15603,15817,9889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCVEN",15383.2812792056,2355.76708200428,4723.41347234999,5280.03655741026,5604.59999588341,3248.83291387913,20754,3379,6352,6152,6756,3377,NA,0.703054254512936,0.703981244601093,0.416963713111572,NA,NA,NA,NA,NA,0.703054254512936,0.703981244601093,0.416963713111572,NA,8.78817821892529,6.82699093785734,NA,NA,1,1,1
"COFARA",25863.7726786584,4202.19714643806,8458.14283905923,11951.7219917849,11878.8279864714,7676.63084003329,23398,3408,7898,13538,12959,9551,11.4486258744615,12.8294086734094,5.2798593345082,2.70173102113932,NA,NA,NA,NA,1.13750119824926,1.11272541249493,0.351990622300547,0.385961574448474,3.61990492709522,4.56718972236039,0.703981249296475,7.33326995570931,13,13,7,4
"COJARB",19067.0596484728,3430.27740237862,6099.46723120473,6940.40470290184,7272.28113385476,3842.00373147614,17914,3656,5711,4800,5449,1793,0.600134966498647,0.379761360504689,0.380263582887692,0.416963713111572,NA,NA,NA,NA,0.600134966498647,0.0282342332482215,0.0282729605871451,0.0310021386630984,6.69121980035065,0.351527127256468,22.0321723057356,7.17460587988645,1,2,2,2
"COLARB",19873.9327788986,3443.3172250241,6395.3509769626,7827.01920113713,8158.20122447982,4714.88399945572,12921,2866,4597,3871,4465,1599,1.77314551046731,1.63868463192797,0.773565782660989,0.82874753127616,NA,NA,NA,NA,0.709258204186922,NA,NA,NA,0.354629102093461,NA,NA,17.266431266373,1,2,1,1
"COLELL",4356.25555905331,575.080900176653,1068.42590796801,865.804965020937,1073.21169187039,498.130791693737,3888,561,885,551,725,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLVER",14413.6187154513,2374.81513761636,4958.36134306365,7684.3128940172,7735.29662976437,5360.48149214801,5030,749,1661,1646,1964,1215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMDOD",10741.8683592044,1555.44894469716,3145.00154152978,3753.12428705953,4020.97503670119,2465.52609200403,7766,1141,2232,2551,2781,1640,0.709258204186922,0.703054254512936,0.703981244601093,0.771923148896948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"COMGLA",24755.8009038568,4192.83281028271,8277.95215561986,10775.9259528071,10789.2221933305,6596.38938304782,15209,3246,5957,5959,5941,2695,0.354629102093461,0.351527127256468,1.05597186690164,1.5438462977939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3
"CONERE",18010.115175847,2598.04126364505,5133.91609757161,6551.48320791777,6839.00978946593,4240.96852582088,27098,3843,7706,8963,9769,5926,0.794729857025236,0.787756954257601,0.436809504061982,0.478967990437769,NA,NA,NA,NA,0.0854716528383138,0.0847026997446644,0.0848188817614354,0.478967990437769,11.7027604447735,1.40610851371507,0.703981244601093,11.9648088696851,1,1,1,1
"CORALL",27075.6195043921,4331.29000639915,8582.3007029891,11769.4525144696,11835.8251721859,7504.53516578674,42833,6852,13577,18619,18724,11872,2.53141735501346,4.72480747263899,3.96169403770595,2.65730170433875,0.0854716528383138,0.404585776617211,0.344829745294389,0.562564226001614,1.3939161567642,1.50291929660525,2.55373154850377,1.8853785554418,11.3481313142965,2.1091627776064,2.95509405968366,3.0876926110334,11,20,26,24
"CORBOR",18554.5704939235,3100.72912298515,6561.34763073549,9887.51965121552,9548.14810137078,6447.41897838563,13893,2609,5667,9479,8819,6210,3.41958632640999,1.81410410277878,1.11251778807593,1.21988900067162,0.142452754730523,NA,NA,NA,1.29181171384922,0.759522721009379,0.0565459211742903,0.0620042773261967,6.02869477343346,4.21832554583441,0.351990622300547,10.0350010025913,8,6,4,4
"CORCOL",17612.3768781863,1874.95856299727,4644.22694872965,7379.69285032878,7545.10679549175,5670.14823249448,22735,1885,5355,9007,9194,7309,NA,0.351527127256468,0.351990622300547,0.385961574448474,NA,NA,NA,NA,NA,NA,0.351990622300547,NA,NA,0.409671157981994,NA,NA,NA,1,1,1
"CORHIR",17385.5388584531,2235.92797676573,4559.90535174805,5794.83440111351,6144.53449424828,3908.60651748255,24479,2679,5919,7937,8577,5898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORLAE",27317.3544141948,4144.89901147038,8246.34259235114,11112.8054190502,11251.8500040174,7106.95099254698,31943,4373,9072,11438,12078,7705,2.30349294744462,NA,NA,0.155010693315492,NA,NA,NA,0.124008554652394,0.737748755133027,NA,NA,0.155010693315492,8.52453885253313,NA,NA,31.2628877156737,3,NA,NA,3
"COROBO",24273.3607904874,3861.80132406205,7660.1911902912,10192.8790263385,10329.1401744001,6467.33885033801,37211,5928,11752,15603,15817,9889,NA,NA,NA,0.0310021386630984,NA,NA,NA,0.0310021386630984,NA,NA,NA,0.0310021386630984,NA,NA,NA,NA,NA,NA,NA,1
"CORRIC",19017.5660617153,2553.5339097523,5180.34170006033,6667.6116531849,7044.2080488416,4490.6741390893,17799,1998,3934,4951,5515,3517,0.709258204186922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"CORSUL",22261.9964008443,3375.0675374791,7030.84355348162,9960.85966568068,9811.54160228372,6436.47406480461,21285,2797,6518,9493,9060,6263,2.849816529091,6.5624338644174,6.76174310384543,6.54208552765846,0.284905509461046,0.141171166241107,0.169637763522871,0.188275697011512,2.14055832490408,4.0435999428966,5.63618669888389,4.16949169858841,2.56945798151167,0.703054259202135,1.40796248920219,113.766061633886,23,33,33,27
"CRECUJ",21465.4555234332,3020.09033604898,6035.02780750394,7807.60478045233,8141.11184095033,5121.02150490135,11757,1324,2288,2981,3299,1975,0.0343783944872623,0.0328874888192764,NA,0.03326500369602,NA,NA,NA,NA,0.0343783944872623,0.0328874888192764,NA,0.03326500369602,2.1277746267525,63.5669342447038,NA,3.28657795049766,1,1,NA,1
"CRELIN",7669.85509319267,920.828319963145,1703.69272257382,1687.32494782846,1915.39351118641,994.565191223267,7629,855,1568,1550,1811,956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREPOR",16193.1186418496,2087.59528220817,4417.79720821604,6711.36243872344,6627.66020898148,4540.06492677331,10487,1145,1722,1450,1675,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRIPOR",24238.7545570135,4043.72450947762,7891.73925008252,10479.895911213,10610.2195881531,6566.49507867545,27628,5189,10573,14722,14738,9549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROAST",6014.57687654826,626.224954227967,1784.04177097045,2461.91140068489,2625.65099886973,1999.42604464176,1991,143,482,370,538,395,1.63935808428047,2.39988291716644,0.738773513631041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,NA
"CROBET",17142.6013789418,2393.8819884354,4675.30054860876,5757.6485875909,6160.17621346831,3766.29422503291,12616,1402,2574,3275,3694,2292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRODIS",10342.0076071867,1391.95409541996,2777.98947290448,3631.74192784377,3882.83878567489,2490.88469025493,5124,711,1236,909,1135,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROFLA",12245.9487648598,1775.09078010211,3650.55469338642,4192.46078264218,4534.87943580528,2759.78865570316,10877,1418,3060,2516,3145,1727,1.49213030034272,0.819342315963987,NA,NA,NA,NA,NA,NA,0.428242994062336,NA,NA,NA,3.90092014195038,NA,NA,NA,3,1,NA,NA
"CROGLA",7821.06590808532,1438.64789048559,2311.18630477111,1916.43723373837,2229.98600219097,791.33811170538,4817,739,1218,812,1050,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROIMP",8686.88708115387,1171.75429940192,2535.7937532588,5176.97334602775,5138.68348927589,3966.92918987398,6212,746,1590,3274,3415,2669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROPOE",13223.7405091561,2346.86286897492,4861.98680768535,7391.29163864162,7169.41576236486,4822.55289338995,925,592,789,853,809,217,1.26332116290312,1.13928408151407,0.732254205188238,0.0310021386630984,0.0854716528383138,NA,NA,NA,0.554062958716193,0.436229827001132,0.732254205188238,0.0310021386630984,117.154979713317,0.703054259202135,0.703981249296475,1.18629691453503,3,3,2,1
"CRORHA",14730.1378088596,2049.95284479663,4072.81191969443,5214.53147367846,5568.56607410473,3518.6132293081,11125,1126,2350,3158,3593,2467,3.90092012302807,4.56985265433408,4.5758780899071,6.56134676562406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3
"CSSGUI",18462.8986702356,3590.73666352965,7138.96003420465,10251.7531843148,10071.2957620863,6480.55909855664,18270,3736,7692,11726,11136,7400,NA,0.0328874888192764,0.703981244601093,0.771923148896948,NA,NA,NA,NA,NA,0.0328874888192764,0.351990622300547,0.771923148896948,NA,102.204295238439,0.351990622300547,NA,NA,1,1,1
"CUPAME",25378.3359496798,3802.60746979527,7923.78529989161,10458.3302475568,10531.5107096527,6728.90323985741,30856,4381,9691,12801,12909,8528,3.85371716401348,5.18008244771806,4.1588975322994,4.69598768565406,0.0569811018922092,0.056468466496443,NA,0.0620042773261967,0.588441353203456,2.3097213989408,2.75093504309721,3.15214138786017,13.4759059599713,0.409671157981994,0.738773513631041,10.5061991149478,15,19,20,24
"CYAARB",10804.4540770808,1585.82302800163,4035.19275473773,6011.71939391676,5568.47901180618,3982.65598380455,12695,1791,4981,6501,5982,4191,2.84187178284383,6.81547468848218,6.05731249040536,2.81210403568992,NA,NA,NA,NA,2.84187178284383,6.81547468848218,6.05731249040536,2.81210403568992,1.77314551992846,4.92137980972575,0.351990622300547,7.33326995570931,8,15,18,9
"CYABOR",21069.5514786392,3880.95571767166,7878.88370763883,11288.7436634228,11191.9641667269,7311.00844905525,32128,5991,12179,17499,17328,11337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYNFLE",18595.7529574616,2658.78665479574,5177.42282386286,6339.11313119832,6724.04629731666,4065.25964252092,10480,1210,2008,1984,2319,1109,NA,1.75763563628234,0.703981244601093,0.771923148896948,NA,NA,NA,NA,NA,0.703054254512936,0.351990622300547,0.385961574448474,NA,0.703054259202135,0.703981244601093,NA,NA,2,1,1
"CYNHAS",12249.1463597304,1480.09211576721,3221.13287988567,3979.98081355288,4358.76617634305,2878.67406057584,7390,852,1847,1388,1844,992,NA,2.46068989079528,2.46393435610383,1.92980787224237,NA,NA,NA,NA,NA,0.703054254512936,1.05597186690164,1.15788472334542,NA,22.6721683350637,2.70748024963245,NA,NA,1,1,1
"CYNPOR",18692.5768713573,2816.50389472715,5356.29095349961,6188.61098653078,6570.28418474819,3753.78029002104,13634,2208,3475,2711,3257,1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYRRAC",9303.40846351907,2020.07791132573,3802.61303468235,5685.67175180372,5452.29542201385,3432.21751068812,5615,2017,2971,4111,3791,1774,0.142452754730523,0.0282342332482215,0.0282729605871451,0.0310021386630984,NA,NA,NA,NA,0.142452754730523,0.0282342332482215,0.0282729605871451,0.0310021386630984,0.7092582089175,0.761198285238462,1.05597187159702,10.1202375349718,2,1,1,1
"DACEXC",14229.2474240236,2132.23050396633,5034.17746673821,7828.39592665498,7454.88060530269,5322.65010133636,18242,2680,6435,10578,9898,7218,0.696515713446717,1.18936503953284,1.19391799214969,1.14362173041356,0.227924407568837,0.338810798978658,0.226183684697161,0.18601283197859,0.341886611353255,0.837837912276371,1.19391799214969,1.14362173041356,2.83703282147827,44.3794139721795,69.7515242913469,17.9247056501325,5,6,6,4
"DAPAME",17424.3047083337,2388.46085722838,5305.37128345994,8753.93646476511,8406.48197632842,6018.02111910004,6036,1304,2482,4283,3897,2593,0.0343783944872623,1.69980635399547,1.63750466533206,1.78602934727056,0.0343783944872623,NA,NA,NA,0.0343783944872623,0.0611217220674979,0.0903731000100827,0.957281815994397,7.80184027917019,0.351527127256468,1.05597187159702,3.88802794082288,1,3,4,5
"DAPHEL",17858.9069262389,3155.10240190802,5797.43065467197,6352.16629568581,6600.98492564168,3445.88252373366,9985,2056,3152,2510,2874,818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAPPHI",9867.53173370927,2077.30201868818,3990.55621879653,6484.72263967246,6075.49687304033,3998.19485435216,8994,2089,3783,6393,5814,3725,0.354629102093461,0.351527127256468,0.351990622300547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
"DELREG",19842.7157647824,2321.54083085107,5072.29630443826,7833.41950115003,7789.17377834814,5467.63294749707,11378,929,1551,2556,2805,1876,0.119850047325576,0.881766165144375,1.70457764069526,1.76538699850143,NA,NA,NA,0.0310021386630984,0.119850047325576,0.178711910631439,0.648605773793616,0.607502275156006,0.428242994062336,0.351527127256468,9.64291591626171,1.92980787739091,2,4,5,4
"DENARB",19110.6125627505,3661.8042014977,7059.77090205345,9926.60969947837,9686.39816920739,6024.59396770969,18034,4037,7533,10002,9604,5567,8.48151816966793,9.40418724283026,10.3214144318211,8.80362053944359,0.256414958514942,NA,NA,0.0620042773261967,3.4430968483906,5.18586171575264,5.39354571961345,6.10188951830427,4.96480744823077,0.409671157981994,66.2664103331401,0.385961574448474,25,22,24,26
"DENLAU",16285.4532386474,2219.53796083387,4923.40383684961,7918.36271395022,7683.33306094306,5463.79510010919,12811,1912,4703,7606,7230,5318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIOSIN",12306.3580345847,2755.39100955334,4745.22369980998,5069.82326999586,5313.90005572047,2558.50904616714,4584,1827,2673,2329,2610,783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DITMYR",5479.87417901841,926.412447564784,1934.8154161336,2483.26270537473,2280.82781626808,1354.4153687033,2485,799,1404,1832,1559,760,0.709258204186922,0.703054254512936,0.732254205188238,NA,NA,NA,NA,NA,NA,NA,0.380263582887692,NA,NA,9.13970536024936,NA,NA,1,1,2,NA
"DRYALB",25804.8171283603,4286.69264286757,8323.68185353279,11075.2133929133,11178.7482739091,6892.05563104153,18030,3664,5721,4820,5466,1802,2.83703281674769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"DRYGLA",14436.3691355232,2730.66467179544,5514.83883311413,8316.78504954837,8030.39693340845,5299.73226161301,13226,2500,5456,9072,8370,5870,0.440100754931775,0.351527127256468,0.0282729605871451,0.0310021386630984,0.0569811018922092,NA,NA,0.0310021386630984,0.0854716528383138,NA,0.0282729605871451,0.0310021386630984,1.418516417835,0.703054254512936,0.386782891330494,0.771923154045485,3,1,1,1
"DRYILI",11878.971963339,2260.45703187864,3623.87776491884,3063.29712306894,3482.56542096147,1222.10838908283,12126,2563,4031,3324,3753,1190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELAXYL",19528.3001832757,2971.49070816845,5697.32843446758,6945.06802736441,7299.63303760995,4328.1423294415,15692,2166,3774,3599,4034,1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERIFRU",14900.846348688,2240.42097836314,4147.94490948552,4655.67581353337,4994.33625856414,2753.91528020101,14489,2089,3411,2765,3214,1125,1.41851640837384,0.703054254512936,0.735031314312562,0.03326500369602,NA,NA,NA,NA,NA,NA,0.0310500697114688,0.03326500369602,NA,NA,5.345375961205,NA,2,1,2,1
"ERYARE",5399.46239849506,705.336004687959,1340.05771767262,1222.41121006132,1469.48303226277,764.147027574815,5287,702,1186,756,1014,312,NA,0.819342315963987,2.31695514866449,2.52436041003091,NA,NA,NA,NA,NA,0.409671157981994,0.417832961041963,0.48090377303012,NA,0.819342321428799,19.7769915309438,NA,NA,1,3,3
"ERYBER",19525.1339699463,2426.4113614657,5290.91223897459,8193.24384123366,8067.99788817065,5641.58652670495,30111,3735,8158,12645,12450,8715,4.32430601409606,3.86679839982115,3.9284427664803,NA,0.0343783944872623,NA,NA,NA,1.48727319734837,3.51527127256468,3.57645214417975,NA,1.06388731101096,60.0450062640046,0.351990622300547,NA,2,1,1,NA
"ERYBRE",22197.8351173755,2916.92612108402,6032.27626543306,7555.22127697431,7857.08127122931,4940.15515014529,17380,1953,3840,3065,3586,1633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERYPOE",25132.1565770879,4045.56813664734,7957.60711876675,10643.250678122,10764.9922861345,6719.42414948717,29668,3409,7753,12233,12026,8617,1.95983687634983,2.94067185601504,2.62737633281469,1.40590183265021,0.284905509461046,0.19763963273755,0.141364802935726,0.155010693315492,1.25057867216291,1.88609047424564,2.27538571051415,1.40590183265021,8.1564693718025,0.351527127256468,24.4961066853163,11.1479455035058,11,15,16,9
"ERYROT",18934.1460522701,2488.50927452382,5075.09087618289,6228.86598334729,6622.43688874447,4133.92761422065,15001,1594,2957,3174,3646,2052,NA,3.86679839982115,3.87189684530601,4.63153889338169,NA,NA,NA,NA,NA,0.351527127256468,0.351990622300547,0.385961574448474,NA,10.6039578953116,13.3675078289259,NA,NA,4,4,5
"ERYRUF",24226.2774057202,4017.89906271547,7791.71841446124,10243.7402978875,10393.1447533388,6375.2456906233,18030,3664,5721,4820,5466,1802,0.428242994062336,0.409671157981994,0.738773513631041,1.24312129691424,NA,NA,NA,NA,NA,NA,0.386782891330494,0.41437376563808,NA,NA,28.6852018928196,NA,1,1,2,2
"ERYURB",19140.4553636536,3370.92481212318,6186.11472899094,7527.4633038491,7762.30035847053,4391.37554634735,18030,3664,5721,4820,5466,1802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUGAXI",21945.3727857592,3161.79152047727,6277.64176387433,7998.07454396319,8316.53905765247,5154.74753717519,13563,1890,3249,2832,3308,1418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUGBIF",22513.7963992069,2927.72103871871,6373.55018665362,7980.3994748937,8176.35404122341,5248.63300250471,19629,2115,4996,5355,5614,3499,8.54339722673851,9.02237117986535,9.50090950673547,11.5254851769982,0.0628689454333669,NA,NA,NA,1.73183039499387,4.21994240262916,3.44748438956628,2.94909396556296,0.428242994062336,8.14326799513788,2.11194374319404,0.385961574448474,14,11,13,16
"EUGBOR",2917.48693208666,687.517793093335,1336.51137639313,1684.25671495769,1540.44694044751,852.929147354177,5906,1218,2785,3381,2938,1720,1.85861716330562,1.43434274227409,1.08424482748878,1.5438462977939,0.0284905509461046,0.0282342332482215,NA,NA,0.794729857025236,0.0282342332482215,0.0282729605871451,NA,4.25554923931327,6.38563235416634,15.4487272477848,1.21470911125218,4,4,3,3
"EUGCON",7185.96276060678,1588.72507762536,2922.90258539189,3788.27089375071,3840.15994378086,2251.4348661555,559,334,415,432,441,107,0.383119653039566,1.08281561501763,0.0282729605871451,0.0310021386630984,0.0284905509461046,NA,NA,NA,0.0284905509461046,0.731288487761158,0.0282729605871451,0.0310021386630984,20.4686095994276,3.51527129132148,1.75995311619811,41.4801708875061,2,2,1,1
"EUGCOR",16433.4894311298,2035.49052244797,5119.53017843049,8991.04741155449,8708.50603059679,6673.01550814882,13645,1384,3834,8089,8083,6699,0.0569811018922092,NA,NA,NA,0.0569811018922092,NA,NA,NA,0.0569811018922092,NA,NA,NA,12.9407562459421,NA,NA,NA,1,NA,NA,NA
"EUGDOM",26396.2785375267,4137.03527400643,8422.48365221918,11511.6576325223,11450.5098314658,7313.47455745935,23019,3410,7700,9003,8844,5434,NA,NA,NA,1.15788472334542,NA,NA,NA,NA,NA,NA,NA,0.385961574448474,NA,NA,NA,NA,NA,NA,NA,1
"EUGEGG",19078.9241445633,2477.73425947875,5584.46782259271,9089.62012289837,8783.50775591657,6305.77349643782,9396,1991,3982,6505,5963,3972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUGFOE",10548.1593574949,1960.49438088527,3126.71580196661,2587.55218011746,2975.94136782875,1015.44698694348,17515,3337,5315,4393,5033,1696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUGLIG",13518.4724997489,1879.27255026518,3703.97604672754,3907.29797511462,4266.77675244132,2387.50420217613,14019,2019,3521,2733,3270,1251,NA,3.01488334347654,1.86432991859258,3.22975355153582,NA,0.0282342332482215,NA,NA,NA,0.0282342332482215,NA,NA,NA,1.0545813864586,NA,NA,NA,2,3,4
"EUGMON",27182.9223017991,4314.98666512966,8612.06921136379,11728.4748642743,11840.7652669847,7525.77860185504,35099,5176,10561,14670,14985,9809,12.3201620557813,23.4007937814484,23.3139440405266,20.1729321258913,NA,NA,NA,0.0665300073920401,1.52062085128882,4.12760875597147,6.20964055592068,4.97836976645282,3.54629103985692,0.351527127256468,15.4875874563502,12.2489307672726,12,22,22,22
"EUGPAD",8080.99154931307,1967.29514570907,3476.05548888072,4217.00964981318,4301.78335009143,2334.48820438236,8218,2861,4424,3822,4249,1388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUGPSE",17006.5047854949,2689.51571697759,5333.16559384655,5883.42606854863,6063.50784647301,3373.99212949543,19201,2937,6108,6216,6343,3406,0.0569811018922092,3.98042351836889,1.82953764956263,1.98663225462158,NA,NA,NA,NA,0.0569811018922092,1.22901347394598,0.351990622300547,0.385961574448474,22.4286877572971,4.56985266371248,1.09076413593159,58.8886631367069,1,3,3,3
