"","X","CODE","Species","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","D_51","D_91","D_00","D_77","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass","PC1","PC2"
"21",21,"BURSIM","Bursera simaruba",2406,4124,3121,3801,1395,7.90919291419177,54.4395300769231,11.7070276575133,47.2589134512543,9.86501932595323,9.3485486020213,1499.215572044,1389.86794710132,1354.77727126133,1401.12297547762,-1.57285765516391,-0.453235773661927,-0.0790420170906732,-0.105227457487164,0.795201414618107,-0.159792170113271,-0.947061810459096,1.04030332670378
"22",22,"BYRCRA","Byrsonima crassifolia",575,1007,2700,2790,2215,NA,0.231463307692308,NA,NA,NA,NA,1695.14797221765,1528.75254791438,1297.31532087122,1512.35635400008,-0.296852566251967,-0.27138594020082,-0.0955595182951455,0.112695835359879,1.06034922553019,-0.0920927620512761,-0.499408738073287,0.495353749759465
"23",23,"BYRLUC","Byrsonima lucida",1582,2922,4483,4837,3255,4.48488975724771,NA,4.89749216141162,NA,4.21434727715943,6.5297137071642,1431.54331191557,1239.66506326544,1263.72652255811,1319.62296027161,-0.489714682072382,0.159358394077773,-0.0957244436092179,-0.483719401285831,0.704334226990752,-0.062722984877376,0.0315341391817934,0.388601512420257
"24",24,"BYRSPI","Byrsonima spicata",898,2726,3534,3113,2215,1.01629772256326,NA,1.19691826521581,NA,0.865189585973567,0.695549504416745,1667.28628554603,1345.69638947163,1306.48376684389,1315.7021592142,-0.0658998715740531,-0.892092314559766,-0.0973536052010685,0.951105474148028,1.62500466355481,-0.16099368281082,-1.28378889887151,0.701215192801669
"25",25,"BYRWAD","Byrsonima wadsworthii",1521,2353,3495,3161,1640,0.397964682610799,NA,0.365342127024147,NA,0.366570568976906,0.398933766479152,1257.92272357923,1067.60692938697,1070.16904137291,1297.02652061598,-0.568926452016787,0.336268238431273,-0.0957922103068159,-0.728670301964034,0.558114772064763,-0.0506608365866624,0.249594919749389,0.344758459361405
"26",26,"CALANT","Calophyllum antillanum",3323,6745,7175,7127,3804,5.09659539226568,NA,9.89653826266934,NA,4.57221003863783,7.36921077798143,1417.37652387804,1193.2189784525,1206.1789722095,1245.99877206748,-0.104841170230298,0.31277500313999,-0.0852487695095295,-0.138519417874882,2.45480791249151,-0.0419104243426467,-0.18828034498011,1.00464819518292
"27",27,"CALPAL","Calyptranthes pallens",1153,1951,1507,1785,632,NA,NA,0.338179924908343,NA,0.67863139410515,0.738544385370785,1752.52273342656,1641.00183174198,1625.14007506395,1636.39515397388,0.426713441710743,-0.627261941850085,-0.0949614381857361,1.79653648978967,-0.755131959396837,-0.123531732870887,-1.11818903098013,-0.24920728638464
"28",28,"CASACU","Casearia aculeata",3240,6222,7073,7793,4553,NA,NA,1.35271969963337,NA,1.3572627882103,1.10781657805618,1394.44291790745,1228.8642870235,1188.3085309693,1227.15176540447,0.365759602827145,-1.07250543298519,-0.0910297392175768,0.494943068193666,0.183408810618025,-0.062095803949942,-0.688963392251056,-0.328201105891242
"29",29,"CASARB","Casearia arborea",2346,5007,8484,7723,5377,8.43852067001015,NA,9.3937731806635,NA,7.3385682514542,5.98574970044416,1320.52259343654,1122.93184139475,1026.72042077253,1207.00575294604,-0.132681861430203,-0.716757524723962,-0.0978091767826244,0.421756243668871,1.62500466355481,-0.175191557853522,-0.915705205837482,0.642651995472681
"30",30,"CASDEC","Casearia decandra",3133,7242,7794,7806,4673,3.18713481294596,NA,2.73260160138255,NA,2.47377297405656,2.4430930640387,1369.63238524968,1202.39408776944,1184.32472644921,1245.73478211463,0.512182047731261,-1.30870567537901,-0.0988699218538258,1.45885746347451,-0.508775119425284,-0.163650360886512,-1.23548522022586,-0.44050772432766
"31",31,"CASELA","Castilla elastica",6497,13153,18205,18297,11800,NA,NA,0.0543244042316082,NA,0.0817646157729944,0.0593231475875186,1275.08424119104,1161.06306492212,1107.6659541048,1178.85625130357,-2.23459645131641,-0.623038842111066,-0.00614389297465617,1.5318254828425,-1.45712168963866,-0.0995590035710399,-1.9193273192414,0.932583913493376
"32",32,"CASEQU","Casuarina equisetifolia",1158,1727,1458,1686,528,NA,NA,0.162973212694825,NA,NA,NA,1785.83950827733,1707.56199264334,1659.05019539418,1620.31013940753,-0.0639897466046999,0.228217972380632,0.0583663406918668,-0.149033028549452,-0.115010698848176,-0.027714317023008,0.228417622156467,0.0133629973431269
"33",33,"CASGUI","Casearia guianensis",3230,7624,8504,8585,5355,54.3141454461815,NA,52.8020587484159,NA,44.3280959441179,43.7276751693671,1403.4494223774,1143.32326711069,1153.25222934037,1225.12907749098,0.6704030904489,-1.05576184952692,-0.0920035040746503,0.597054737416461,0.0839414869580758,-0.0384839074186443,-0.598648005552979,-0.517887356067241
"34",34,"CASSYL","Casearia sylvestris",4699,9972,15647,15140,10441,43.5235172305948,NA,51.4127955894395,NA,42.8959157877149,33.997881799325,1274.17810378456,1111.28193068155,1082.29211871651,1175.57120347642,-0.0836896776236432,-0.862446090367673,-0.088408159547404,0.062766043902989,-0.27168847687194,-0.17501133094889,-0.471140540544697,-0.273368837841191
"35",35,"CECSCH","Cecropia schreberiana",3156,6756,12562,11881,8725,14.5279955470865,NA,10.0260154021285,NA,11.766581216735,9.33493877430232,1278.17221457668,1127.39772035152,1063.70283010531,1226.63651875669,-2.18935070137111,0.143039491500707,0.301372811221254,0.035364275118008,1.26937469972479,-0.175331734334903,-0.91922825887786,2.01106222992613
"36",36,"CEDODO","Cedrela odorata",6806,13499,18539,18594,11788,0.137730223338536,NA,0.473990935487363,NA,0.109019487697326,0.118646295175037,1271.80928740416,1171.33521706418,1112.27855372655,1176.75769099868,-0.833331831891221,-1.1214341906884,0.0607492143113976,1.11293442813649,0.374317819403938,-0.0890314252747291,-1.5458659214967,0.686201365102532
"37",37,"CEIPEN","Ceiba pentandra",3304,6475,7714,8357,5053,NA,NA,0.421278475658432,NA,0.400109993808109,0.42611738483436,1407.74566809745,1194.35907869969,1160.28113223707,1215.07833699068,-2.16771747059399,-4.11319384715873,-0.0180959145979496,2.54909442613486,2.45480791249151,-0.16753525194192,-4.67752183951764,1.91714551775119
"38",38,"CHIDOM","Chionanthus domingensis",4245,8076,10138,9938,5693,0.370418637943092,NA,0.419666531255755,NA,0.733141137953813,1.50675034453533,1275.4244433945,1151.99928691259,1087.92636589264,1187.51090042694,0.974768654765384,-0.400971838231225,-0.0833279274203736,-0.064186048382014,1.03228805717145,-0.0311117613233978,0.0941226515658145,-0.326909984664588
"39",39,"CHRARG","Chrysophyllum argenteum",3400,7116,7755,7662,4262,NA,NA,1.07047612335931,NA,1.01794709115772,0.912915603971226,1390.55312408412,1229.04884092626,1196.03196401518,1229.73990173875,0.568510558813506,-0.49822104453994,-0.0907468942958472,0.477623379563649,1.15083137844812,-0.14383875151804,-0.482217185665812,0.118928381844045
"40",40,"CHRCAI","Chrysophyllum cainito",5946,11780,15644,15873,9927,0.955433627986579,NA,0.452917252973085,NA,0.486298486485824,0.432925373041858,1276.12624775905,1168.7331580163,1124.57459745007,1197.15607570904,0.443710755325735,-0.346782405956805,-0.0898484953260682,0.319778227776102,1.06182689371397,-0.0615786209387118,-0.343861658880929,0.109808964167045
"41",41,"CHRICA","Chrysobalanus icaco",927,1542,2602,2610,1683,0.370418637943092,NA,3.71997917399177,NA,4.41110406168347,2.95417754148314,1689.23537849458,1472.23843317984,1420.26259290379,1423.19001307893,0.904846045450169,-0.36747756419814,-0.0956477366647745,-0.24239139861055,-0.594306908571441,-0.131685431247367,0.399093347782406,-0.943137874180774
"42",42,"CHRPAU","Chrysophyllum pauciflorum",1659,4018,5959,6282,4623,0.346937918916894,0.231463307692308,0.17032316002633,0.231857974553069,0.222325881496323,0.26215653192768,1501.15865664957,1320.44799030891,1305.37754330338,1361.11833496759,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"CINELO","Cinnamomum elongatum",4074,9202,14437,14093,10019,5.34420991825536,NA,3.3572757897304,NA,3.6186720986814,2.97067960329782,1291.64136440913,1137.64726752409,1085.63154348143,1199.41659079403,-0.592935273053226,-1.91563892202334,-0.0955895906244873,0.52225376775707,2.21772126993817,-0.106116888046745,-1.78964864799587,0.84369811708354
"44",44,"CINMON","Cinnamomum montanum",3409,7820,10095,9901,6492,0.425510727278506,NA,0.0904397567451089,NA,0.456366507108594,0.555901700985842,1345.78544782959,1149.24583464185,1117.61396455364,1219.06911748373,-1.03471672640184,-0.935349698976826,-0.0965814920870299,0.145451706218004,0.913744735894779,-0.0642012411715008,-1.10481404190335,0.683304672187514
"45",45,"CITCAU","Citharexylum caudatum",1556,3199,4091,3733,2177,NA,NA,0.676359849816685,NA,NA,NA,1301.81342284588,1067.00966470043,1003.86220128023,1158.54938909618,-0.282035172622252,0.336216106638213,-0.0928026704484713,0.593265841581884,-0.0280280940254045,-0.126814562782458,-0.351861582735094,0.347179754061614
"46",46,"CITSPI","Citharexylum spinosum",3083,7640,9348,9653,6570,NA,NA,NA,NA,0.089795938131688,0.127306360712931,1358.76514918524,1148.62214627895,1141.00250864617,1204.77498030838,-0.0688719078683502,0.741619762151941,-0.0926803594092671,0.299771037901655,0.558114772064763,-0.16565345610516,0.00881060719781935,0.499266618784377
"47",47,"CLUCLU","Clusia clusioides",1242,2188,3399,3216,1974,0.97728702032587,NA,0.0814866063474123,NA,NA,NA,1798.0081684389,1483.96473292672,1482.99407564881,1621.07785248815,-0.573568856576058,6.46277044670193,-0.0761081538410488,-1.41184775109248,0.439265085096478,-0.233057415468188,3.4630026074939,1.69893801146029
"48",48,"CLUROS","Clusia rosea",2893,4497,4027,4488,1595,2.92724433144926,NA,4.09858159889471,NA,4.0888446438996,4.47041789464509,1501.77483392865,1482.01890662368,1545.82130329,1631.84046459957,0.398355478776619,6.003731409265,-0.0767456568226199,-1.51999761031919,1.26937469972479,-0.173892482324933,3.61121578589711,1.31980075923549
"49",49,"COCDIV","Coccoloba diversifolia",3371,5418,4506,5221,1850,7.38920477355761,5.76656015384615,10.4367843042135,NA,9.07409839544595,9.32198228445655,1556.29385245554,1503.12619158298,1469.39347796867,1509.41787337443,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"COCKRU","Coccoloba krugii",658,1071,806,979,321,3.77159852602923,NA,5.07269887362514,NA,4.75041975873605,5.53908289028089,1895.47592283724,1609.26603127337,1616.11011636614,1529.0107587309,0.648522625736651,1.27916734487965,-0.0993283004134732,-1.10664745778496,-1.16076338644698,-0.172347550598142,1.63946505490548,-0.846657848629227
"51",51,"COCMIC","Coccoloba microstachya",956,1731,1616,1857,901,5.49895628129799,441.373315076923,10.7015373447878,560.541948423515,11.1956132142913,14.6477286139294,1654.57419268141,1455.48676354681,1318.08291300614,1393.18670960984,0.721818589643641,0.776039216233139,-0.100181139443306,-0.968049143379645,-0.627318440701956,-0.170472282980372,1.27967194886764,-0.759517898662296
"52",52,"COCPUB","Coccoloba pubescens",2897,5009,5012,5457,2560,5.79664497592359,0.231463307692308,NA,NA,NA,NA,1434.56347139906,1328.27050069579,1315.24157354172,1387.02218391889,1.00790753247907,2.48897570061599,0.118406772053353,-0.913305841686415,0.676658093341435,-0.171788072885599,2.05881239908887,0.176761454766177
"53",53,"COCPYR","Coccoloba pyrifolia",1843,2625,3471,3251,1408,NA,NA,NA,NA,0.400109993808109,0.42611738483436,1314.2173784828,1680.211708184,1247.11455194799,1440.69055506584,-0.0833598524517239,0.344378997443116,-0.0921861462847187,-0.770430561055019,-0.864405083255299,-0.169591173668836,0.666443493603684,-0.450520874781366
"54",54,"COCRUG","Coccoloba rugosa",1573,4508,5999,5504,3931,NA,NA,4.72939528251154,NA,4.47426146260533,5.55038135456841,1511.56414014902,1234.77816247623,1215.24021765185,1360.91740902951,0.411438658256817,1.29255476023675,0.2146482625544,-1.37493023689802,0.0839414869580758,-0.215791882857157,1.65972300080639,-0.0626398986752946
"55",55,"COCSIN","Coccoloba sintenisii",333,420,434,445,112,0.342872593275385,NA,0.0271622021158041,NA,1.72383335718721,1.84636096342696,1879.33891053381,4053.24573341001,2045.09494777825,1684.53059410968,0.0798872625788718,1.37493024398093,-0.0682921428403582,-1.16623611789735,-0.864405083255299,-0.205354436677657,1.44901196404502,-0.367676453087442
"56",56,"COCSWA","Coccoloba swartzii",2322,5070,8232,7795,5473,0.342872593275385,NA,NA,NA,NA,NA,1342.4889719391,1223.95601793868,1119.06528212145,1267.25889201771,-0.0528507260482649,1.36415805354953,-0.0831736757924754,-0.859011150277799,0.439571450788092,-0.33027575467772,0.991984419554015,0.358443499862065
"57",57,"COCUVI","Coccoloba uvifera",5946,11780,15644,15873,9927,NA,NA,0.0879838142030917,NA,0.0987706338156028,0.104231284753209,1276.12624775905,1168.7331580163,1124.57459745007,1197.15607570904,0.280461534589882,2.10407820754066,-0.0511497323702682,-1.00026821347251,-0.864405083255299,-0.0910389435313103,1.79211002560704,-0.298130892953119
"58",58,"COCVEN","Coccoloba venosa",3352,7536,7689,8330,4978,NA,NA,1.00812829246642,NA,0.67863139410515,0.747676203680033,1422.4121420216,1211.7235223565,1185.65213187135,1288.55344353803,0.45634538250796,1.59934390897165,-0.0130838972560788,-0.978002540103946,-0.343475867185173,-0.170991677547112,1.5499249134688,-0.243240151262364
"59",59,"COFARA","Coffea arabica",2528,6205,11490,11233,8705,11.0690860390294,NA,12.3422863426032,NA,5.08973545578862,2.58490534879775,1309.21140922132,1184.44686345754,1107.37741777635,1254.93161537438,-0.122843349729745,-0.320087987946394,-0.0873045485403196,0.379347230629327,-0.864405083255299,-0.150273519520468,-0.339770016964061,-0.281344066743186
"60",60,"COJARB","Cojoba arborea",3674,5751,4817,5498,1824,1.26598474124021,NA,0.365342127024147,NA,0.366570568976906,0.398933766479152,1533.94151744084,1515.30202739826,1502.9821462002,1510.49520613067,-0.664919082672019,-1.1007346122712,-0.0644160574930361,-0.870596014866969,-1.16076338644698,-0.0619356359684606,-0.105919987666817,-0.654218002745805
"61",61,"COLARB","Colubrina arborescens",2253,3615,3187,3652,1399,1.71436296637692,NA,1.57646509417051,NA,0.745710243767556,0.792911622081201,1461.64134064373,1516.59588321105,1446.83015940848,1493.45712657068,1.0209529220687,-0.0547263098450337,-0.0884804964440217,-0.749571541124903,-0.153145155595268,-0.173399301413012,0.828669941412412,-0.870053389881246
"62",62,"COMDOD","Comocladia dodonaea",860,1516,1108,1396,536,0.866563438508563,20.1829605384615,0.676359849816685,25.9937670826838,0.67863139410515,0.738544385370785,1849.14716526226,1604.88172221969,1477.12968776108,1380.36295742859,0.838680208031034,-0.46910221896498,-0.0934594401891884,-0.947365985901483,-0.923676743893635,1.25813906256174,1.01348780925997,-1.88738877871996
"63",63,"COMGLA","Comocladia glabra",1821,2865,2453,2750,929,0.342872593275385,NA,0.338179924908343,NA,1.01794709115772,1.47708877074157,1042.43700322657,1222.86070460408,1194.19316287038,1292.62054018829,0.410450577160469,-1.27234709810272,-0.0982126376761413,0.906861240360109,-0.745861761978628,1.11137808326783,-0.696263837254098,-1.20114593359761
"64",64,"CONERE","Conocarpus erectus",1876,3420,4228,4708,2832,0.768383320553891,NA,0.757846456164098,NA,0.421080312825569,0.458256914066671,1466.205173744,1281.73815890587,1246.2523045371,1304.57431641668,0.622361997558281,-0.296591749956364,-0.0938443789221151,0.265928224080975,1.48188568746941,-0.12721095486453,-0.28643767717883,0.203230065555067
"65",65,"CORALL","Cordia alliodora",2341,6107,11161,10800,8459,2.81456407554947,NA,5.23113434933842,NA,4.48707237991469,3.16185681331308,1354.34542667568,1211.87870029989,1153.17688705214,1310.67868318762,-0.633554654262476,-0.377590476380733,-0.0919744468589277,-0.057103431470539,-1.10149172580864,-0.171006288623727,-0.287403035559813,-0.217717042366259
"66",66,"CORBOR","Cordia borinquensis",2369,5731,8694,7933,5564,3.30622169682012,NA,1.74522402877332,NA,1.07245683500639,1.1671397256437,1364.61042834296,1106.99459008756,1064.20739655755,1245.56509932732,-0.10348049239567,0.543791810796483,-0.0715188697935539,0.263612788851703,-0.390231798148612,-0.167193488330172,0.0700938031388224,0.0944528970368943
"67",67,"CORCOL","Cordia collococca",959,3064,5177,5553,4594,NA,NA,0.338179924908343,NA,0.339315697052575,0.369272192685393,1521.74629236146,1273.20022317815,1204.00043685658,1333.3189454975,-0.658897177304031,0.433449953995272,-0.0478980641720012,-0.143269839457387,-0.086706576136333,-0.166561300921306,0.000209368538559879,0.403720074063754
"68",68,"CORLAE","Cordia laevigata",4406,9120,11523,12161,7755,2.32769667679263,NA,NA,NA,NA,0.148307868968796,1358.36876109876,1202.52203697714,1169.92328202597,1224.00055550382,-1.17122560183386,-0.649888253441023,-0.0910034468314688,-0.116370148338766,-1.16076338644698,-0.169049051139702,-0.590609562337028,-0.0234850877987257
"69",69,"COROBO","Cornutia obovata",5946,11780,15644,15873,9927,NA,NA,NA,NA,NA,0.0296615737937593,1276.12624775905,1168.7331580163,1124.57459745007,1197.15607570904,-0.37852582139017,1.38771238782944,-0.0748313668982533,-0.335749788933085,0.663745879996033,-0.152250941895736,0.552741810225643,0.70363259320279
"70",70,"CORRIC","Cordia rickseckeri",2553,5016,6060,6700,4147,0.68574518655077,NA,0.00443893870146112,NA,0.00521995550273831,NA,1394.59228230196,1252.52567849561,1224.75622241807,1250.56382286081,-0.195633039885478,0.0935892988233967,-0.0683764495192185,-0.163359079956376,-0.327104930874203,-0.146699946137318,0.0774091244718169,-0.0622477817183916
"71",71,"CORSUL","Cordia sulcata",1965,4607,9054,8331,6366,2.75534065850853,NA,6.3132635276409,NA,6.5182576728215,6.25919891374142,1305.36860011216,1113.69274628789,1066.78564416645,1240.26341901588,-0.725322042291274,1.40185423693351,0.0181673913906271,-0.561216416101379,1.26937469972479,-0.164532164405384,0.502461555873714,1.14790205691187
"72",72,"CRECUJ","Crescentia cujete",3322,5718,6103,6775,3453,0.0332386969961233,NA,0.0316387773146524,NA,NA,0.0318265901782327,1455.8986339857,1287.20694158994,1280.71207787743,1299.15633560114,0.0246029955864301,1.12862056877043,-0.0627500061314436,-0.367807836307748,0.192565597471343,-0.168564192057931,0.690683815865432,0.232536415855945
"73",73,"CROAST","Croton astroites",770,1673,1673,2020,1250,1.93301409883556,NA,2.55963945377591,NA,0.959286836594915,0.426273592583725,1863.90123904066,1457.21150832837,1374.89830469067,1440.25236891705,0.943993600115546,0.469141536389326,-0.0896955133084767,0.325442001484616,-0.778104218556812,0.454828712729121,0.57831442198929,-0.943312338443004
"74",74,"CROFLA","Croton flavens",1215,2549,1860,2378,1163,1.44266384953498,NA,0.876216361288348,NA,NA,NA,1553.2925036044,1339.24271080683,1272.06711797594,1316.18015739394,1.53351396330844,-0.134528725594952,-0.097385547920113,0.47419524564082,-1.10149172580864,0.583186650134665,0.51999240999892,-1.57237723467414
"75",75,"CROPOE","Croton poecilanthus",588,787,839,797,209,1.2214400925001,NA,1.09602638107244,NA,0.705886266029481,0.0296615737937593,1161.70333648526,NA,1000.81848278896,1199.57388845408,-0.598067962224517,3.25804351745635,-0.0741604015348814,-0.0274402952184054,-0.153145155595268,0.0103444089503618,1.27627819293494,0.964310786788197
"76",76,"CRORHA","Crossopetalum rhacoma",641,1120,782,959,318,3.77159852602923,NA,4.39633902380845,14.4409817126021,4.41110406168347,6.27762727565168,1668.43074033978,1923.40384498185,1750.23346402969,1436.85434315825,1.40972380098313,1.75749705983895,-0.101446826284515,-1.17423844109781,-1.22003504708532,-0.172758574741833,2.22277114051718,-1.1994855193309
"77",77,"CSSGUI","Cassipourea guianensis",3913,8059,10871,10321,6408,NA,NA,0.0316387773146524,NA,0.67863139410515,0.738544385370785,1335.48642528259,1167.94780737869,1106.64193995503,1213.49650335666,0.434510221410836,-0.465927835253883,-0.0955782603121926,0.264717254121558,-0.508775119425284,0.590465172973543,-0.0451988674280596,-0.859929775348045
"78",78,"CUPAME","Cupania americana",3880,8071,11789,11859,7979,3.72596041885737,NA,4.98339888264224,NA,4.00913866943157,4.49292827137791,1336.77843174026,1149.04182110889,1132.98196832647,1200.00514333102,-1.04627382629013,0.248423854875799,-0.0294008519475169,-0.118724537952211,0.32102812951142,-0.149026616343234,-0.307701084546481,0.749609872397962
