"sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"DAPAME",5550,1140,2212,3790,3413,2273
"DAPHEL",9904,2025,3124,2473,2835,810
"DAPPHI",11597,2426,4685,8010,7352,4926
"DELREG",30227,3746,8173,12671,12473,8727
"DENARB",22628,4449,8591,13916,13370,8921
"DENLAU",12834,1905,4705,7617,7231,5326
"DIOSIN",8218,2860,4429,3812,4250,1390
"DITMYR",1906,800,1152,1472,1270,470
"DRYALB",12030,3259,5564,6020,6322,3063
"DRYGLA",3440,1501,2157,2588,2399,898
"DRYILI",13403,2722,4395,3688,4163,1441
"ELAXYL",16056,2202,3833,3699,4136,1934
"ERIFRU",12258,1712,2858,2283,2689,977
"ERYARE",4761,683,1117,713,936,253
"ERYBER",34397,4279,9477,15134,14762,10483
"ERYBRE",16643,1840,3553,2724,3260,1420
"ERYPOE",24581,3735,7123,11890,11893,8158
"ERYROT",12104,1299,2547,2216,2754,1455
"ERYRUF",10371,1137,1713,1430,1656,519
"ERYURB",18030,3662,5727,4810,5464,1802
"EUGAXI",7156,890,1712,1353,1688,798
"EUGBIF",26923,3596,8408,9510,9860,6264
"EUGBOR",6049,1369,2844,3540,3168,1799
"EUGCON",559,335,415,432,442,107
"EUGCOR",13242,1068,2868,6058,6188,5120
"EUGDOM",21153,3458,7304,7913,7713,4255
"EUGEGG",9890,2095,4205,6875,6310,4215
"EUGFOE",13728,2191,3625,2860,3399,1208
"EUGLIG",15039,1934,3338,2859,3420,1486
"EUGMON",29160,4289,9784,10670,11160,6871
"EUGPAD",8218,2860,4429,3812,4250,1390
"EUGPSE",19863,2926,6108,6131,6277,3351
"EUGRHO",17257,1781,4518,6426,6960,5179
"EUGSTA",8069,1986,3509,5753,5183,3197
"EUGSTE",24585,3477,8179,14136,13548,10071
"EUGWOO",2799,574,917,700,852,278
"EUPPET",7098,830,1567,1163,1549,719
"EXOCAR",7343,916,1857,1338,1801,885
"EXOPAN",12271,2488,4590,4059,4353,1865
"FAROCC",20981,3372,7341,8111,8075,4703
"FICAME",16355,3171,6871,9466,8869,5698
"FICCIT",33555,4597,10071,12386,12855,8258
"FICCRA",37211,5928,11762,15599,15822,9894
"FICTRI",33838,3944,9062,14702,14320,10376
"FORSEG",3128,493,743,450,613,120
"GARHES",3322,557,1151,1699,1712,1155
"GARPOR",8813,1036,3138,4069,3702,2666
"GAUATT",13158,1000,1737,2533,2797,1797
"GENAME",22010,2473,6449,8315,8041,5568
"GESPED",16273,3025,5750,9093,9148,6123
"GOEELE",9098,1657,3902,4041,4000,2343
"GOMLIN",9157,1532,3611,6121,5681,4149
"GONHIR",25085,5040,9716,15081,14442,9402
"GONPOR",720,530,621,671,637,107
"GOSHIR",7365,653,1249,1204,1515,862
"GUABLA",8721,2050,3581,6372,6114,4064
"GUACAR",1095,530,703,810,765,235
"GUAFRA",26532,3659,8642,9373,9563,5904
"GUAGLA",7358,1917,3217,5195,4661,2744
"GUAGUI",26712,4183,9472,15287,14939,10756
"GUAOBT",8218,2860,4429,3812,4250,1390
"GUAOFF",5961,770,1481,1052,1335,565
"GUASAN",1293,364,516,359,416,52
"GUAULM",16699,1369,4289,7549,7630,6261
"GUEELL",6405,841,1704,1185,1511,670
"GUEKRU",4346,624,1012,648,843,219
"GUEOVA",13601,2903,5942,9101,8662,5759
"GUEPUN",7064,1864,3218,3797,3943,2079
"GUESCA",16373,3296,5547,5367,5853,2557
"GUEVAL",11848,1648,4591,6314,5986,4338
"GYMLAT",17593,3268,5257,4298,4990,1722
"GYMLUC",11118,2484,4072,3308,3852,1368
"HAESAL",3014,1205,1794,2110,1916,711
"HAMAXI",21641,3860,6616,6841,7311,3451
"HEDARB",3416,997,1814,2275,1974,977
"HELJAM",16495,2362,4021,3882,4419,2057
"HENFAS",24026,3142,7764,13704,13106,9964
"HENMAC",9500,2074,4069,6669,6099,4025
"HENSQU",4644,1598,2403,3330,3045,1447
"HIBELA",29552,3403,7748,12219,12014,8611
"HIBTIL",27283,5118,10454,14581,14591,9473
"HIECLU",37770,6263,12177,16031,16264,10001
"HIPMAN",9616,1495,2781,3776,4070,2575
"HIRRUG",10979,2190,4719,7382,6670,4480
"HIRTRI",33838,3944,9062,14702,14320,10376
"HOMRAC",12542,1745,4854,6547,5998,4253
"HURCRE",17497,2011,4271,8238,8343,6332
"HYMCOU",19604,1625,4479,6952,7234,5609
"HYPTRI",1493,446,684,501,574,128
"ILENIT",4142,1447,1792,3399,3303,1856
"ILESID",25279,3505,8251,14237,13697,10192
"ILEURB",8102,2852,4419,3792,4233,1381
"INDSUF",14889,1613,2767,2680,3041,1428
"INGLAU",18042,2439,6020,10920,10376,7937
"INGVER",22422,2826,7242,12895,12503,9677
"IXOFER",18966,3183,6535,7095,6923,3740
"JACARB",5761,633,1118,675,968,335
"JACBER",4810,730,1282,980,1213,483
"JATGOS",8869,795,1313,1382,1658,863
"JATHER",28166,4047,7618,9159,9722,5675
"KOAPOL",34397,4279,9477,15134,14762,10483
"KRUFER",15118,2221,4091,3185,3933,1712
"LAEPRO",23910,3134,7754,13684,13089,9955
"LAGRAC",11979,1006,1672,1484,1717,711
"LANCAM",16200,1593,3447,3052,3727,2134
"LANINV",17186,1665,3507,4447,5010,3345
"LEULEU",17190,1775,3625,4175,4829,3054
"LICBRI",559,335,415,432,442,107
"LICPAR",20644,3193,5737,5421,5965,2772
"LONGLA",3787,1391,2122,1763,2026,635
"LONHEP",27958,5461,10879,15033,15050,9589
"LONSER",17914,3654,5717,4790,5447,1793
"LYOSTA",15432,1877,4598,7114,6844,4967
"MACLUN",16437,1143,2484,3670,3761,2618
"MACPOR",6119,975,2023,2100,2406,1431
"MAGPOR",2352,1134,1450,1990,1829,695
"MAGSPL",24026,3142,7764,13704,13106,9964
"MALCOC",33766,5054,10080,12883,13453,8399
"MALFUC",5003,1040,2264,2487,2246,1206
"MAMAME",18728,2817,5794,6222,6113,3296
"MANBID",10506,1506,2848,3367,3185,1679
"MANIND",15702,1268,4423,8302,8136,6868
"MANPLE",18608,3682,5789,4891,5596,1914
"MARMIC",41381,6461,13066,18062,18111,11650
"MARNOB",19319,3117,6444,6986,6818,3701
"MATDOM",7832,1949,3419,5595,5022,3073
"MAYELO",34397,4279,9477,15134,14762,10483
"MAYLAE",13352,1942,4003,3640,3826,1884
"MAYPON",8796,2880,4491,3893,4382,1502
"MECLAT",7900,1922,3406,5614,5060,3138
"MELAZE",37905,5956,11834,15700,15971,10015
"MELBIJ",19479,2432,4379,5152,5733,3301
"MELHER",15126,2743,6035,10046,9392,6649
"MELOBT",24469,3469,8169,14116,13531,10062
"MELTOM",7490,880,1823,1238,1697,817
"MICCAL",12945,2142,5056,8246,7863,5721
"MICFOV",3182,634,1406,1765,1479,845
"MICGAR",6167,1016,2552,3374,2881,1865
"MICGUY",8292,2004,3559,5852,5277,3273
"MICIMP",20073,1885,5398,7114,6862,4977
"MICLAE",35828,5552,11596,16749,16575,11023
"MICMIR",4689,1358,2455,3002,2665,1307
"MICPAC",948,634,822,885,841,207
