;SCIENTIFIC_NAME;TPA;CODE;fcover_51;fcover_00;tot_change
100;Guaiacum officinale;0.118640186;GUAOFF;776;1355;579
101;Guazuma ulmifolia;4.289586375;GUAULM;1375;7649;6274
102;Guettarda ovalifolia;0.430760357;GUEOVA;2909;8677;5768
103;Guettarda pungens;5.593450127;GUEPUN;1862;3966;2104
104;Guettarda scabra;34.43414582;GUESCA;3305;5877;2572
105;Guettarda valenzuelana;0.029661574;GUEVAL;1645;5993;4348
106;Gyminda latifolia;3.407478545;GYMLAT;3273;5044;1771
107;Gymnanthes lucida;17.09525534;GYMLUC;2482;3883;1401
108;Helicteres jamaicensis;1.121991222;HELJAM;2366;4469;2103
109;Henriettea squamulosum;0.458256914;HENSQU;1603;3045;1442
110;Hippomane mancinella;0.770806057;HIPMAN;1486;4069;2583
111;Homalium racemosum;4.477256153;HOMRAC;1735;5985;4250
112;Hura crepitans;0.029661574;HURCRE;2001;8365;6364
113;Hymenaea courbaril;0.945519254;HYMCOU;1626;7236;5610
114;Ilex nitida;1.477088771;ILENIT;1443;3329;1886
115;Inga laurina;6.013215988;INGLAU;2432;10377;7945
116;Inga vera;9.00215454;INGVER;2820;12487;9667
117;Ixora ferrea;0.886852254;IXOFER;3191;6929;3738
118;Krugiodendron ferreum;7.996659597;KRUFER;2241;3975;1734
119;Laetia procera;0.029661574;LAEPRO;3122;13078;9956
120;Laguncularia racemosa;0.886852254;LAGRAC;1023;1752;729
121;Leucaena leucocephala;55.78666177;LEULEU;1800;4855;3055
122;Licaria brittoniana;0.369272193;LICBRI;332;445;113
123;Licaria parvifolia;3.920102695;LICPAR;3204;6006;2802
124;Lonchocarpus glaucifolius;0.768205959;LONGLA;1394;2038;644
125;Lonchocarpus heptaphyllus;0.266954164;LONHEP;5449;15081;9632
126;Magnolia portoricensis;0.120811312;MAGPOR;1141;1836;695
127;Mammea americana;0.458256914;MAMAME;2825;6131;3306
128;Manilkara bidentata;1.162183815;MANBID;1508;3190;1682
129;Mangifera indica;3.234937353;MANIND;1256;8132;6876
130;Margaritaria nobilis;0.220180111;MARNOB;3122;6823;3701
131;Matayba domingensis;0.148307869;MATDOM;1944;5025;3081
132;Maytenus elongata;0.369272193;MAYELO;4285;14786;10501
133;Maytenus laevigata;0.77468755;MAYLAE;1957;3861;1904
134;Maytenus ponceana;0.398933766;MAYPON;2872;4406;1534
135;Melicoccus bijugatus;2.517797967;MELBIJ;2442;5763;3321
136;Meliosma herbertii;0.576903209;MELHER;2738;9398;6660
137;Micropholis garciniifolia;0.029661574;MICGAR;1005;2879;1874
138;Micropholis guyanensis;2.248289689;MICGUY;2001;5289;3288
139;Miconia impetiolaris;1.107816578;MICIMP;1882;6864;4982
140;Miconia laevigata;0.792911622;MICLAE;5559;16605;11046
141;Miconia prasina;19.32962082;MICPRA;2787;10167;7380
142;Miconia racemosa;0.768205959;MICRAC;2395;8400;6005
143;Miconia serrulata;1.189367433;MICSER;2148;9137;6989
144;Miconia sintenisii;0.369272193;MICSIN;1583;3448;1865
145;Miconia tetrandra;5.359987152;MICTET;2665;9772;7107
146;Myrcia citrifolia;3.038206352;MYRCIT;1072;2311;1239
147;Myrsine coriacea;2.299661967;MYRCOR;2049;6974;4925
148;Myrcia deflexa;4.116361356;MYRDEF;2197;7281;5084
149;Myrciaria floribunda;0.348742437;MYRFLO;24;148;124
150;Nectandra coriacea;5.025723987;NECCOR;4053;10164;6111
151;Neolaugeria resinosa;6.881605229;NEORES;2932;5084;2152
152;Ochroma pyramidale;0.029661574;OCHPYR;3122;13078;9956
