"","code","Species","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass","Dim1","Dim2"
"1","DENARB","Dendropanax arboreus",-1.24376489840353,-0.314211803784312,-0.0955574860222728,1.00142876833544,1.75154911214419,-0.185038987711018,-1.91001322342746,1.03472236166282
"2","ILENIT","Ilex nitida",-0.165068610481732,0.0965015474562347,-0.100119849915579,-0.202713786363201,0.208991655426295,-0.0760864780464262,0.00634807697768874,0.225368352782197
"3","PLUOBT","Plumeria obtusa",-0.858715748631844,-0.105056081575435,-0.0997779545781183,1.16922701196459,-1.39289493424229,-0.367898459554237,-0.952207087656767,-0.573533395283214
"4","PLUALB","Plumeria alba",-1.07014682109907,2.17708836860603,-0.0954662845994658,-1.227628195888,-0.740274471784717,-0.182800858535798,1.37059116248307,1.16944385345872
"5","RANACU","Randia aculeata",1.68013969940223,-0.496383887271498,-0.109147320162159,-0.0897131585743895,-1.03692013653816,0.0659151464817118,0.95644026408036,-1.35634830598029
"6","COFARA","Coffea arabica",-0.101649406743054,-0.279042000899207,-0.0967519797659374,0.449944134108374,-0.97759100358747,-0.162620393805906,-0.254626933995722,-0.642930608211376
"7","IXOFER","Ixora ferrea",0.0698032599724644,-0.190664731068746,-0.0959406530503036,-0.0523718860229695,-0.740274471784717,-0.0972938252903145,0.141187358972029,-0.480520289238053
"8","EXOCAR","Exostema caribaeum",1.40797692266209,-0.185034761582461,-0.108865899393488,-0.742073060310249,-0.502957939981964,0.139490563387363,1.25046724994733,-0.776148791921195
"9","ERIFRU","Erithalis fruticosa",1.91570224498709,2.49063460137885,-0.107276358062764,-1.25421345309933,-1.39289493424229,0.152070619548246,3.3011252311874,-0.124999695865367
"10","NEORES","Neolaugeria resinosa",0.2272274306745,-0.697922673693689,-0.106341983187208,-0.358276825148439,0.683624719031802,-0.132304179349106,-0.209991897249781,0.026503945409569
"11","GUEVAL","Guettarda valenzuelana",-0.455067371983198,1.69327199640973,-0.0922646778378312,-0.688712919175136,0.802282984933178,-0.28807001308906,0.684750543821645,1.49522909463341
"12","GUEOVA","Guettarda ovalifolia",0.164930352868498,-0.734552874713269,-0.100334072107192,0.838726994332501,-0.62161620588334,-0.169967600119397,-0.669106235144399,-0.81291370118024
"13","GUESCA","Guettarda scabra",0.820321316085631,1.47246129254857,-0.104716784388639,-0.520925330725425,-0.146983142277834,-0.127049050525459,1.41465473584187,0.401098995012643
"14","FAROCC","Faramea occidentalis",0.302080400033772,-0.670000310665885,-0.0989555303352293,0.783041647010663,-0.740274471784717,-0.148731558868574,-0.498238496947987,-0.887720285400408
"15","PSYGRA","Psychotria grandis",-2.02895520896713,-1.206238319453,-0.0694493272374619,0.749774079168161,0.208991655426295,-0.365651986134465,-2.20802638212191,0.222067855335194
"16","CHIDOM","Chionanthus domingensis",1.00179083253732,-0.358056962626666,-0.0931732528450739,-0.020545857092441,0.920941250834555,-0.129129149213144,0.0663469822676666,-0.00174073287977326
"17","CITSPI","Citharexylum spinosum",-0.0473913807029354,0.758134109589439,-0.10158989580015,0.365531522951682,0.446308187229049,-0.1769449551915,-0.0727038010232875,0.548201157857878
