"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"ACNARB",22232.6357526658,2614.21489135083,5985.85295419395,9646.4013932813,9410.51451395173,6796.2996226009,33838,3943,9076,14699,14322,10379
"ADEPAV",14723.4900686906,2749.16499962565,5002.06984049804,5810.36589110724,6015.03029340191,3265.86529377627,10548,2328,3964,3394,3727,1399
"ADERIC",15800.4372108945,1941.52310817911,4398.72306210338,5020.12142086636,5410.25009770549,3468.72698952638,16534,1697,4353,3858,4537,2840
"AIPMIN",24266.8128268234,3857.93103565276,7666.22387780994,10186.0992870741,10331.7338901237,6473.80285447091,37211,5924,11766,15599,15827,9903
"ALBLEB",17337.8640311766,2036.78296888279,4589.09833617756,6440.09441288238,6628.66205381535,4591.87908493256,10394,596,2030,3620,3633,3037
"ALBPRO",20839.5896565272,2382.06357715093,5227.36075299233,7784.29219500907,7930.75487646554,5548.69129931461,15788,1189,2590,4745,4810,3621
"ALCLAT",15869.3320610784,2853.44880842976,5950.51296693459,8604.24046113901,8296.3695249185,5442.92071648873,16364,2789,6376,9979,9317,6528
"ALLCRA",22121.1487111747,3713.17176523805,7348.1924200654,10286.8147811294,10362.6963157654,6649.52455052733,20617,3920,7510,11331,11606,7686
"ALLRAC",24872.6179271638,4292.67383633554,8316.37346851826,10949.8454463631,11082.3096639514,6789.63582761586,7543,2515,4000,3362,3793,1278
"ALSBRY",7427.7984089196,1370.99962504674,2839.73289431666,4572.01312438515,4322.8648590378,2951.86523399106,2213,1026,1437,1793,1665,639
"ALSPOR",17338.5718354476,2712.76186116273,5695.23330869759,8890.46982630203,8619.14839521283,5906.38653405011,15780,2151,5337,9985,9372,7221
"AMYELE",13706.9916974641,2687.14018458687,4898.91607775725,5517.09369010478,5868.68868981674,3181.54850522988,8611,2764,4439,3823,4317,1553
"ANAPER",22257.5928771086,2782.46252670512,6155.06151634455,9775.50427745283,9548.21743023023,6765.75490352511,34397,4277,9490,15132,14764,10487
"ANDINE",27059.9768968374,3968.39079220593,8489.62613636255,11899.6456583291,11909.9913759828,7941.60058377683,23538,3045,7267,10916,10899,7854
"ANNGLA",26415.2824335471,4020.55342182517,8082.74165565521,10903.4699016511,11083.7266236246,7063.17320179939,26410,3719,7071,8138,8832,5113
