"sp","year","metric","value"
"ACNARB",1951,"ai",54.7142857142857
"ACNARB",1951,"enn_mn",1368.85830392598
"ADEPAV",1951,"ai",69.3873179091688
"ADEPAV",1951,"enn_mn",1496.98024962868
"ADERIC",1951,"ai",56.3092417061611
"ADERIC",1951,"enn_mn",1610.49464882662
"AIPMIN",1951,"ai",63.3217993079585
"AIPMIN",1951,"enn_mn",1351.20609769252
"ALBLEB",1951,"ai",25.8064516129032
"ALBLEB",1951,"enn_mn",1779.68184558036
"ALBPRO",1951,"ai",34.0560072267389
"ALBPRO",1951,"enn_mn",1543.54818349436
"ALCLAT",1951,"ai",65.6043956043956
"ALCLAT",1951,"enn_mn",1293.17565681266
"ALLCRA",1951,"ai",62.6168224299065
"ALLCRA",1951,"enn_mn",1361.80105889057
"ALLRAC",1951,"ai",72.3400078523753
"ALLRAC",1951,"enn_mn",1455.18249942087
"ALSBRY",1951,"ai",73.6737729300942
"ALSBRY",1951,"enn_mn",1141.29603549393
"ALSPOR",1951,"ai",54.7257590597454
"ALSPOR",1951,"enn_mn",1360.9742415736
"AMYELE",1951,"ai",71.8543637337141
"AMYELE",1951,"enn_mn",1469.21051641682
"ANAPER",1951,"ai",57.4199690586695
"ANAPER",1951,"enn_mn",1365.02540587157
"ANDINE",1951,"ai",52.2622192866579
"ANDINE",1951,"enn_mn",1383.68541750156
"ANNGLA",1951,"ai",61.2179487179487
"ANNGLA",1951,"enn_mn",1452.11778637811
"ANNMON",1951,"ai",47.5868725868726
"ANNMON",1951,"enn_mn",1487.18957020579
"ARDELL",1951,"ai",64.6729522687095
"ARDELL",1951,"enn_mn",1329.64688194395
"ARDGLA",1951,"ai",71.1630377057886
"ARDGLA",1951,"enn_mn",1491.45363940269
"ARDOBO",1951,"ai",68.9562740827609
"ARDOBO",1951,"enn_mn",1714.59844326743
"ARTALT",1951,"ai",35.1145038167939
"ARTALT",1951,"enn_mn",1517.24023623736
"AVIGER",1951,"ai",34.8360655737705
"AVIGER",1951,"enn_mn",1524.76999787385
"BADPEN",1951,"ai",68.9839572192513
"BADPEN",1951,"enn_mn",2765.1930666155
"BIXORE",1951,"ai",63.9717303510407
"BIXORE",1951,"enn_mn",1326.32265686703
"BOCFRU",1951,"ai",54.7142857142857
"BOCFRU",1951,"enn_mn",1368.85830392598
"BONUMB",1951,"ai",74.7663551401869
"BONUMB",1951,"enn_mn",2133.6937514158
"BOUSUC",1951,"ai",58.0560596894535
"BOUSUC",1951,"enn_mn",1467.65067274492
"BOUVIR",1951,"ai",69.1286589516678
"BOUVIR",1951,"enn_mn",1797.93547181663
"BRUAME",1951,"ai",65.1959340011785
"BRUAME",1951,"enn_mn",1323.02369171865
"BRUDEN",1951,"ai",60
"BRUDEN",1951,"enn_mn",1391.29931244844
"BRULAC",1951,"ai",95.5928646379853
"BRULAC",1951,"enn_mn",1052.29016417441
"BUCBUC",1951,"ai",60.7020743104627
"BUCBUC",1951,"enn_mn",1454.28822645794
"BUCTET",1951,"ai",66.5494645996484
"BUCTET",1951,"enn_mn",1266.01583347348
"BUNGLA",1951,"ai",57.2702331961591
"BUNGLA",1951,"enn_mn",1690.77403725874
"BURSIM",1951,"ai",60.0816326530612
"BURSIM",1951,"enn_mn",1578.94949393838
"BUXPOR",1951,"ai",70.4925241864556
"BUXPOR",1951,"enn_mn",1675.72327976687
"BUXVAH",1951,"ai",63.3243606998654
"BUXVAH",1951,"enn_mn",1352.87212427891
"BYRCRA",1951,"ai",43.9617723718506
"BYRCRA",1951,"enn_mn",1721.20298170563
"BYRLUC",1951,"ai",61.4226209548222
"BYRLUC",1951,"enn_mn",1694.72404381288
"BYRSPI",1951,"ai",54.2528735632184
"BYRSPI",1951,"enn_mn",1777.1981956849
"BYRWAD",1951,"ai",71.5447154471545
"BYRWAD",1951,"enn_mn",1288.68765925723
"CALANT",1951,"ai",66.5811320754717
"CALANT",1951,"enn_mn",1496.52140929486
"CALKRU",1951,"ai",77.3965334276618
"CALKRU",1951,"enn_mn",1204.63590943212
"CALPAL",1951,"ai",47.5225225225225
"CALPAL",1951,"enn_mn",1875.62818958156
"CANWIN",1951,"ai",57.1557155715572
"CANWIN",1951,"enn_mn",1798.28735808063
"CAPFRO",1951,"ai",52.5914634146341
"CAPFRO",1951,"enn_mn",2366.83949970271
"CASACU",1951,"ai",60.0587598577393
"CASACU",1951,"enn_mn",1465.65936171015
"CASARB",1951,"ai",62.0522961986377
"CASARB",1951,"enn_mn",1315.39285519734
"CASDEC",1951,"ai",63.4169577643696
"CASDEC",1951,"enn_mn",1372.88908418217
"CASELA",1951,"ai",63.977079138919
"CASELA",1951,"enn_mn",1323.87688401806
"CASEQU",1951,"ai",50.9409190371991
"CASEQU",1951,"enn_mn",1946.06991227869
"CASGUI",1951,"ai",61.4389154213526
"CASGUI",1951,"enn_mn",1462.23192860074
"CASSYL",1951,"ai",62.6849667595968
"CASSYL",1951,"enn_mn",1335.87273062942
"CECSCH",1951,"ai",60.6490541422048
"CECSCH",1951,"enn_mn",1293.9967675173
"CEDODO",1951,"ai",65.1959340011785
"CEDODO",1951,"enn_mn",1323.02369171865
"CEIPEN",1951,"ai",59.0825967692777
"CEIPEN",1951,"enn_mn",1494.68278357185
"CELTRI",1951,"ai",64.826357969724
"CELTRI",1951,"enn_mn",2051.73396907615
"CESCIT",1951,"ai",66.5212283940258
"CESCIT",1951,"enn_mn",1336.568962479
"CESLAU",1951,"ai",60.4313916646356
"CESLAU",1951,"enn_mn",1398.74396397741
"CESMAC",1951,"ai",69.9802761341223
"CESMAC",1951,"enn_mn",1271.15057060793
"CHICOM",1951,"ai",66.2846580406654
"CHICOM",1951,"enn_mn",1395.32269699101
"CHIDOM",1951,"ai",69.1276745826475
"CHIDOM",1951,"enn_mn",1346.10671955617
"CHIHOL",1951,"ai",73.3383121732636
"CHIHOL",1951,"enn_mn",2179.74071984477
"CHIVEN",1951,"ai",67.3667953667954
"CHIVEN",1951,"enn_mn",1362.70710257091
"CHRARG",1951,"ai",65.8073070123748
"CHRARG",1951,"enn_mn",1416.03145509683
"CHRCAI",1951,"ai",63.3217993079585
"CHRCAI",1951,"enn_mn",1351.20609769252
"CHRICA",1951,"ai",38.5915492957746
"CHRICA",1951,"enn_mn",1704.3464040786
"CHROLI",1951,"ai",43.484965304549
"CHROLI",1951,"enn_mn",1682.72766398623
"CHRPAU",1951,"ai",44.4759206798867
"CHRPAU",1951,"enn_mn",1584.02069348454
"CINELO",1951,"ai",59.1879811273901
"CINELO",1951,"enn_mn",1345.25430282919
"CINMON",1951,"ai",63.8341664216407
"CINMON",1951,"enn_mn",1356.57934482699
"CITCAU",1951,"ai",74.4996772111039
"CITCAU",1951,"enn_mn",1342.88846103414
"CITSIN",1951,"ai",58.0521739130435
"CITSIN",1951,"enn_mn",1326.98021045273
"CITSPI",1951,"ai",54.6966731898239
"CITSPI",1951,"enn_mn",1448.91027199313
"CLIEGG",1951,"ai",64.6823278163374
"CLIEGG",1951,"enn_mn",1329.51389977608
"CLIERO",1951,"ai",79.860302677532
"CLIERO",1951,"enn_mn",1688.81525129945
"CLIHIR",1951,"ai",54.6991995868836
"CLIHIR",1951,"enn_mn",1366.99394970634
"CLUCLU",1951,"ai",72.4473257698541
"CLUCLU",1951,"enn_mn",2308.31471262137
"CLUGUN",1951,"ai",71.1383928571429
"CLUGUN",1951,"enn_mn",1350.11245877044
"CLUMIN",1951,"ai",67.0250058424866
"CLUMIN",1951,"enn_mn",1631.80085427268
"CLUROS",1951,"ai",68.6778141699707
"CLUROS",1951,"enn_mn",1734.14095912443
"COCCOS",1951,"ai",71.3300023792529
"COCCOS",1951,"enn_mn",1332.60903133545
"COCDIV",1951,"ai",67.5418011146964
"COCDIV",1951,"enn_mn",1820.45001096524
"COCKRU",1951,"ai",70.6011730205279
"COCKRU",1951,"enn_mn",2562.37168449085
"COCMIC",1951,"ai",69.7626418988648
"COCMIC",1951,"enn_mn",2071.36694001824
"COCPUB",1951,"ai",69.4938440492476
"COCPUB",1951,"enn_mn",1720.95895114534
"COCPYR",1951,"ai",77.4246128769356
"COCPYR",1951,"enn_mn",1323.17393940825
"COCRUG",1951,"ai",67.6029364826045
"COCRUG",1951,"enn_mn",1509.18330507378
"COCSIN",1951,"ai",83.7349397590361
"COCSIN",1951,"enn_mn",2648.80174085272
"COCSWA",1951,"ai",64.6325167037862
"COCSWA",1951,"enn_mn",1346.48818389651
"COCUVI",1951,"ai",63.3217993079585
"COCUVI",1951,"enn_mn",1351.20609769252
"COCVEN",1951,"ai",61.5783239561741
"COCVEN",1951,"enn_mn",1568.22866934679
"COFARA",1951,"ai",51.7441860465116
"COFARA",1951,"enn_mn",1343.75531971682
"COJARB",1951,"ai",69.088471849866
"COJARB",1951,"enn_mn",1777.89405504785
"COLARB",1951,"ai",70.630591315732
"COLARB",1951,"enn_mn",1919.20082165469
"COLELL",1951,"ai",66.3949275362319
"COLELL",1951,"enn_mn",1949.22016430823
"COLVER",1951,"ai",63.7137989778535
"COLVER",1951,"enn_mn",1719.01736028973
"COMDOD",1951,"ai",68.4120660216278
"COMDOD",1951,"enn_mn",2075.20706094924
"COMGLA",1951,"ai",73.3134651855866
"COMGLA",1951,"enn_mn",1078.4272298012
"CONERE",1951,"ai",54.8066595059076
"CONERE",1951,"enn_mn",1590.43918056132
"CORALL",1951,"ai",49.9333333333333
"CORALL",1951,"enn_mn",1393.35504845569
"CORBOR",1951,"ai",67.2988881621975
"CORBOR",1951,"enn_mn",1333.58903343284
"CORCOL",1951,"ai",33.5382895472331
"CORCOL",1951,"enn_mn",1589.67209362433
"CORHIR",1951,"ai",61.384335154827
"CORHIR",1951,"enn_mn",2466.10840609007
"CORLAE",1951,"ai",60.6484641638225
"CORLAE",1951,"enn_mn",1435.36665004011
"COROBO",1951,"ai",63.3217993079585
"COROBO",1951,"enn_mn",1351.20609769252
"CORRIC",1951,"ai",56.871945259042
"CORRIC",1951,"enn_mn",1502.23846468647
"CORSUL",1951,"ai",52.4141630901288
"CORSUL",1951,"enn_mn",1285.7747557762
"CRECUJ",1951,"ai",63.192474242198
"CRECUJ",1951,"enn_mn",1535.66573360922
"CRELIN",1951,"ai",61.1435239206534
"CRELIN",1951,"enn_mn",2184.76522720427
"CREPOR",1951,"ai",50.7605388961321
"CREPOR",1951,"enn_mn",1939.48393024942
"CRIPOR",1951,"ai",65.8370832950684
"CRIPOR",1951,"enn_mn",1323.78734087035
"CROAST",1951,"ai",61.2704918032787
"CROAST",1951,"enn_mn",2396.91994914409
"CROBET",1951,"ai",57.2098842664998
