"","Species","CODE","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass"
"71","Cordia sulcata","CORSUL",0.559581852,392.1111111,521.5051323,100.6058064,25,81.4948
"72","Crescentia cujete","CRECUJ",NA,NA,NA,NA,NA,NA
"73","Croton astroites","CROAST",NA,NA,NA,NA,NA,NA
"74","Croton flavens","CROFLA",0.961319898,239.5185185,20.85813246,181.4611097,5,NA
"75","Croton poecilanthus","CROPOE",0.582214219,576.4666667,121.483871,142.2883871,13,NA
"76","Crossopetalum rhacoma","CRORHA",0.939303595,427.4333333,3.262155752,52.73491254,4,19.8744
"77","Cassipourea guianensis","CSSGUI",0.765860106,206.6041667,28.68842327,165.102972,10,NA
"78","Cupania americana","CUPAME",0.5025,NA,315.41,135.16,17,197.64
"79","Cyathea arborea","CYAARB",NA,NA,NA,NA,NA,NA
"80","Cyrilla racemiflora","CYRRAC",0.580838172,317.7333333,21.0238919,77.74172343,13,NA
"81","Dacryodes excelsa","DACEXC",0.507989783,218.5299145,529.1321962,129.5060676,28,1988.07
"82","Daphnopsis americana","DAPAME",NA,NA,NA,NA,NA,NA
"83","Daphnopsis philippiana","DAPPHI",0.356617351,335.4555556,32.65501234,125.916548,5,NA
"84","Delonix regia","DELREG",NA,NA,NA,NA,NA,NA
"85","Dendropanax arboreus","DENARB",0.46467937,217.5132275,70.2859667,214.652433,30,8
"86","Ditta myricoides","DITMYR",0.42522894,313.6888889,11.65797669,106.0222993,9,NA
"87","Drypetes alba","DRYALB",0.726896355,199.7777778,39.34479947,131.0802932,14,NA
"88","Drypetes glauca","DRYGLA",0.694962363,217.3111111,56.79770966,139.6844093,17,NA
"89","Erithalis fruticosa","ERIFRU",1.023628308,502.6777778,13.86739497,48.60143284,3.5,NA
"90","Erythroxylum areolatum","ERYARE",0.930545126,213.4567901,14.26529182,116.1929091,8,NA
"91","Erythrina poeppigiana","ERYPOE",0.324989708,124.2222222,502.1049163,379.2501888,24,245
"92","Erythroxylum rotundifolium","ERYROT",0.984493196,224.2222222,1.181258257,97.59893309,6,20.5465
"93","Erythroxylum rufum","ERYRUF",0.950822015,194.7111111,40.58090844,166.9023945,3,NA
"94","Eugenia axillaris","EUGAXI",0.888336743,289.6222222,15.56126218,81.26648576,6,158.9
"95","Eugenia biflora","EUGBIF",0.805339482,250.6444444,7.268658704,100.5496554,18,97.92
"96","Eugenia borinquensis","EUGBOR",0.4665,NA,103.554,55.611,NA,NA
"97","Eugenia confusa","EUGCON",NA,NA,NA,NA,NA,NA
"98","Eugenia cordata","EUGCOR",NA,NA,NA,NA,NA,NA
"99","Eugenia domingensis","EUGDOM",0.564446579,247.4166667,42.17733333,95.314,20,25.87
"100","Eugenia ligustrina","EUGLIG",1.01784157,261.3111111,4.456037929,83.21975984,3,NA
"101","Eugenia monticola","EUGMON",0.858228983,200.6720867,2.900834804,106.903796,19,NA
"102","Eugenia pseudopsidium","EUGPSE",0.911617723,215.4848485,27.34892411,105.6434169,9,NA
"103","Eugenia rhombea","EUGRHO",0.939445443,294.7888889,8.381956101,64.02254137,6,NA
"104","Eugenia stahlii","EUGSTA",0.728793857,384.9,49.72505251,85.74476574,23,NA
"105","Euphorbia petiolaris","EUPPET",NA,NA,NA,NA,NA,NA
"106","Exostema caribaeum","EXOCAR",0.933805399,230.6464647,6.214811063,86.3030788,11,NA
"107","Exothea paniculata","EXOPAN",0.737322109,131.8194445,57.96796526,162.4232733,14,NA
"108","Faramea occidentalis","FAROCC",0.738158583,181.3407407,53.92664422,198.5756813,9,300
"109","Ficus americana","FICAME",0.486519806,215.0555556,53.79085778,126.1857886,17,NA
"110","Ficus citrifolia","FICCIT",0.490161223,260.3827161,41.90101412,126.6175776,28,0.6
"111","Ficus trigonata","FICTRI",NA,NA,NA,NA,NA,NA
"112","Genipa americana","GENAME",0.626962069,NA,114.79,160.09,20,106
"113","Gesneria pedunculosa","GESPED",0.744258131,299.7111111,31.62403286,150.555304,5,NA
"114","Gomidesia lindeniana","GOMLIN",NA,NA,NA,NA,NA,NA
"115","Guatteria caribaea","GUACAR",0.67859854,305.75,23.33428196,109.5496751,NA,NA
"116","Guapira fragrans","GUAFRA",0.628042363,317.4285714,25.32756662,124.6362122,22.5,52
"117","Guarea glabra","GUAGLA",0.570363918,207.0296296,367.6059505,153.7631088,12,595
"118","Guarea guidonia","GUAGUI",0.603745926,188.5873016,632.6101539,221.7594176,20,500
"119","Guapira obtusata","GUAOBT",0.659363774,245.7037037,82.56342337,124.8797467,4.5,NA
"120","Guaiacum officinale","GUAOFF",1.021323866,254.9222222,36.70473203,64.75539077,7,NA
"121","Guazuma ulmifolia","GUAULM",0.525926316,NA,42.69,322.09,17,47
"122","Guettarda elliptica","GUEELL",0.908929778,221.1222222,6.119206652,131.2805784,7,86.298
"123","Guettarda ovalifolia","GUEOVA",0.713895038,174.7777778,47.2898828,202.675005,10,NA
"124","Guettarda pungens","GUEPUN",NA,NA,NA,NA,NA,NA
"125","Guettarda scabra","GUESCA",0.829841831,399.1616162,26.1900392,102.583055,14,NA
"126","Guettarda valenzuelana","GUEVAL",0.604209748,421.6111111,86.13864724,90.23123049,22,NA
"127","Gyminda latifolia","GYMLAT",0.862964727,350.5777778,6.320925642,80.30804239,12,38.2155
"128","Gymnanthes lucida","GYMLUC",0.923566003,237.236715,14.39291113,94.44891167,14,NA
"129","Helicteres jamaicensis","HELJAM",0.807694796,276.3492064,98.06386984,119.1847257,5.5,1337.96
"130","Henriettea fascicularis","HENFAS",0.47443242,188.5555556,28.77933333,280.3733333,3,NA
"131","Henriettea macfadyenii","HENMAC",0.575499409,196.6666667,33.9067605,192.6020724,5,NA
"132","Hibiscus elatus","HIBELA",NA,NA,NA,NA,NA,NA
"133","Hippomane mancinella","HIPMAN",NA,NA,NA,NA,NA,NA
"134","Hirtella rugosa","HIRRUG",0.856089422,212.6222222,19.07064454,124.9520373,9,96.892
"135","Hirtella triandra","HIRTRI",NA,NA,NA,NA,NA,NA
"136","Homalium racemosum","HOMRAC",0.790200521,187.9555556,35.3446682,226.0411287,30,NA
"137","Hura crepitans","HURCRE",NA,NA,NA,NA,NA,NA
"138","Hymenaea courbaril","HYMCOU",NA,NA,NA,NA,NA,NA
"139","Hypelate trifoliata","HYPTRI",1.028529859,310.4444444,8.701129903,54.73865275,6,NA
"140","Ilex nitida","ILENIT",0.655514127,259.2698413,48.32122012,126.0084656,17,NA
"141","Ilex sideroxyloides","ILESID",0.772795015,NA,18.70666667,180.1566667,3,NA
"142","Inga laurina","INGLAU",0.679611516,220.5111111,206.1755368,141.7319236,28,892.86
"143","Inga vera","INGVER",0.605008315,173.4920635,523.3424,242.7776,9,NA
"144","Ixora ferrea","IXOFER",0.697065875,230.0740741,68.4412724,137.0760111,9,NA
"145","Krugiodendron ferreum","KRUFER",0.957352001,170.1014493,13.66621734,117.8833885,17,90.09
"146","Laetia procera","LAEPRO",0.666998579,NA,128.0608,302.43,30,4
"147","Laguncularia racemosa","LAGRAC",NA,NA,NA,NA,NA,NA
"148","Leucaena leucocephala","LEULEU",0.687443655,147.5111111,59.03898181,109.7780581,9,43.27
"149","Licaria brittoniana","LICBRI",0.562043713,148.6666667,34.84209848,146.8035856,25,NA
"150","Licaria parvifolia","LICPAR",0.780449774,252.0888889,16.2295638,80.26022878,19,NA
"151","Lonchocarpus glaucifolius","LONGLA",0.80414719,234.7948718,84.5287233,94.15122388,18,NA
"152","Lonchocarpus heptaphyllus","LONHEP",0.685125371,NA,192.71,144.06,10,91
"153","Magnolia portoricensis","MAGPOR",0.625100991,258.8444444,79.69494271,100.5107411,15,135.53
"154","Magnolia splendens","MAGSPL",0.469333333,NA,109.2609091,106.7272727,25,NA
"155","Mammea americana","MAMAME",0.789289012,378.5555556,100.8260137,76.09275534,17,73300
"156","Manilkara bidentata","MANBID",0.839466604,268.0808081,150.4347989,93.17410025,12,1500
"157","Mangifera indica","MANIND",0.576040704,181.1555556,283.4946667,125.7686667,18,16466
"158","Margaritaria nobilis","MARNOB",0.533196408,NA,76.37333333,156.216,13,11
"159","Matayba domingensis","MATDOM",0.735805517,260.8888889,33.7343887,71.79409939,28,NA
"160","Maytenus elongata","MAYELO",0.748879561,NA,27.24625,103.944375,3,NA
"161","Maytenus laevigata","MAYLAE",NA,NA,NA,NA,NA,NA
"162","Maytenus ponceana","MAYPON",NA,NA,NA,NA,NA,NA
"163","Melicoccus bijugatus","MELBIJ",NA,NA,NA,NA,NA,NA
"164","Meliosma herbertii","MELHER",0.485808211,246.6944445,210.465627,158.1109369,20,NA
"165","Micropholis garciniifolia","MICGAR",NA,498.6444444,41.12332517,65.94702985,17,NA
"166","Micropholis guyanensis","MICGUY",0.764370669,331.5755556,32.87008458,69.45061381,25,1142.86
"167","Miconia impetiolaris","MICIMP",0.758613667,213.5833333,210.3095,195.8715,4.5,NA
"168","Miconia laevigata","MICLAE",0.483406458,NA,26.38,188.8626667,3,NA
"169","Miconia pachyphylla","MICPAC",0.687583333,NA,44.74133333,118.1053333,NA,NA
"170","Miconia prasina","MICPRA",0.661806593,168.6666667,58.25319992,156.3868944,9,5.7168
"171","Miconia racemosa","MICRAC",0.437214564,169.030303,100.444,226.4932,10,2
"172","Miconia serrulata","MICSER",NA,NA,NA,NA,NA,NA
"173","Miconia sintenisii","MICSIN",0.436916667,NA,73.47866667,96.80666667,NA,0.048
"174","Miconia tetrandra","MICTET",0.660691633,211.9494949,108.4375829,132.2611611,21,NA
"175","Mouriri helleri","MOUHEL",1.036882172,344.9444445,6.110736764,84.03922928,11,NA
"176","Myrsine coriacea","MYRCOR",0.652871088,264.5555555,17.20402082,110.0151224,17,9.34
"177","Myrcia deflexa","MYRDEF",0.807127193,248.6611111,65.49730504,112.9646487,18,NA
"178","Myrcia fallax","MYRFAL",0.880047628,200.8888889,37.08876711,140.7603147,19,NA
"179","Myrciaria floribunda","MYRFLO",NA,NA,NA,NA,NA,NA
"180","Myrcia splendens","MYRSPL",0.744340679,151.0555556,25.46828961,382.8177427,4,173
"181","Nectandra coriacea","NECCOR",0.717952139,209.6919192,30.52515694,94.92088448,34,NA
"182","Nectandra krugii","NECKRU",NA,NA,NA,NA,NA,NA
"183","Nectandra turbacensis","NECTUR",0.589532282,188,153.3279143,138.220474,8,410
"184","Neea buxifolia","NEEBUX",0.728870713,267.4722222,1.333166523,172.6094762,6,23.1772
"185","Neolaugeria resinosa","NEORES",0.724916164,178.5019157,18.36578831,114.5565616,21,NA
"186","Ochroma pyramidale","OCHPYR",0.165925641,NA,169.6,225.56,27,10.2
"187","Ocotea floribunda","OCOFLO",0.424580988,NA,113.1373333,157.0726667,20,1643.32
"188","Ocotea leucoxylon","OCOLEU",0.499727496,218.7154472,166.1296835,123.1518399,30,100
"189","Ocotea spathulata","OCOSPA",0.61396144,376.9444444,44.0659329,73.55309611,10,NA
"190","Ocotea wrightii","OCOWRI",NA,NA,NA,NA,NA,NA
"191","Ormosia krugii","ORMKRU",0.516591536,180.1333333,1402.33764,167.3877816,28,720
"192","Oxandra lanceolata","OXALAN",NA,NA,NA,NA,NA,NA
"193","Palicourea crocea","PALCRO",NA,NA,NA,NA,NA,NA
"194","Palicourea croceoides","PALRIP",0.475268182,127.6944444,76.14909091,253.1822727,5,200
"195","Parathesis crenulata","PARCRE",NA,NA,NA,NA,NA,NA
"196","Persea americana","PERAME",0.530551645,162,90.44101596,170.6231186,21,15308
"197","Petitia domingensis","PETDOM",0.604667297,462.3333333,69.35331918,87.40845815,25,12.47
