"","sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019","species","seedmass","ss.guanica","ss.swenson","ss","WD","THK","LA.wp","SLA.wp","MAXHT","ss.log","thk.log","la.log","sla.log","wd.z","ss.log.z","thk.log.z","la.log.z","sla.log.z","maxht.z","ss.log.z_pi","wd.z_pi","thk.log.z_pi","la.log.z_pi","sla.log.z_pi","maxht.z_pi","pca1","pca2","pca1_pi","pca2_pi"
"NA.1","ALSPOR",21111.1181966607,3286.28540094756,6891.22987610288,10298.7939524893,10091.0514446963,6804.76604374871,14627,2005,5150,8950,8407,6402,0.354629102093461,1.2572477071942,0.830111703835279,1.6626749574993,NA,NA,NA,NA,0.354629102093461,1.2572477071942,0.830111703835279,1.6626749574993,0.7092582089175,28.8225616382678,6.2621787609135,2.70173102628786,1,3,3,5,"Alsophila_portoricensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amyris_elemifera","AMYELE",15299.5137059093,2977.70010279864,5462.80829601735,6494.26339945942,6764.93204973638,3787.23194693774,9034,2736,4453,3912,4417,1681,7.80184024605615,9.8427595631811,10.9465015603469,15.0809135946801,NA,NA,NA,NA,1.06388730628038,1.75763563628234,3.90668911433596,4.65995108457129,18.7486093273133,10.2497678274786,11.6156906016534,0.385961574448474,6,7,7,9,"Amyris_elemifera",63.1696,8.2,NA,8.2,0.911156945,225.6262626,27.46144804,74.89156875,8,0.913813852383717,2.35338964955967,1.43872343381847,1.87443292782689,1.14123830878102,-0.7945258877707,-0.223617126294592,-0.342230556860503,-1.00799988799416,-0.626678996811836,-0.7945258877707,1.14123830878102,-0.223617126294592,-0.342230556860503,-1.00799988799416,-0.626678996811836,1.6505459378265,0.357407632019915,-1.02094425263916,-1.1444959165699
"Anadenanthera_peregrina","ANAPER",22257.1670824131,2781.37642289605,6147.20224525686,9774.20693930425,9543.04567260202,6761.66924970597,34397,4275,9477,15127,14754,10479,NA,NA,0.0848188817614354,0.0620042773261967,NA,NA,NA,NA,NA,NA,0.0848188817614354,0.0620042773261967,NA,NA,8.13057661950557,NA,NA,NA,1,1,"Anadenanthera_peregrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210216509191455,0.380543426866039,-1.46162848143922,0.218119131553366,0.178267735189985,-0.765908828750181,NA,NA,0.948183426157922,-0.757973941301715
"Andira_inermis","ANDINE",26492.9784041047,4162.25218800455,8405.61510623991,11123.5017023459,11179.4898568243,7017.23766881973,30931,4755,10112,12489,12669,7914,22.6844740272268,22.5003944109716,19.149498597528,18.3004253842594,1.53449924106786,1.18552309660341,0.517244617941583,1.16970778086386,14.7354059972329,15.5306588394711,13.4132718336294,12.039803619515,0.709258204186922,2.10916277291721,28.8243709459266,0.41437376563808,66,70,73,73,"Andira_inermis",792,NA,13520,13520,0.738835596,161.9027778,385.2892141,189.8808778,28,4.13097669160562,2.20925430009904,2.58578685141524,2.27848123075021,0.225704922057937,2.17802974828605,-1.16021380310482,1.48171572964982,0.836294238745992,1.82102129177781,2.17802974828605,0.225704922057937,-1.16021380310482,1.48171572964982,0.836294238745992,1.82102129177781,-2.28650594084592,-0.972028526779453,2.48289272299562,-0.148837847763236
"Annona_glabra","ANNGLA",26435.6693843827,4042.92722446471,8112.34612184763,10971.3665105402,11129.9589635357,7087.03173907101,26513,3742,7110,8200,8875,5133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annona_glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19567654961536,-0.711247898799892,0.0383651650053939,-0.0563413937567219,0.112768867873744,0.221453163722302,NA,NA,0.188446997131636,0.403395975136794
"Annona_montana","ANNMON",18630.7340036198,2272.02344230935,4885.97795366566,8475.08765171515,8404.16586840735,6132.142426098,11322,1280,2556,5163,5272,3992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annona_montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19567654961536,-0.711247898799892,0.0383651650053939,-0.0563413937567219,0.112768867873744,0.221453163722302,NA,NA,0.188446997131636,0.403395975136794
"NA.2","ARDELL",18494.0186438523,3418.58659283072,6967.38780703023,9730.19298359007,9730.71945440397,6312.13286157325,27399,5125,10455,14605,14600,9475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ardisia_elliptica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardisia_glauciflora","ARDGLA",5592.45347316279,902.676650718135,2252.23307328255,3272.86123925993,2977.10820556944,2074.4315548513,5289,893,2349,3041,2687,1794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ardisia_glauciflora",NA,NA,160,160,0.5485072,541.037037,230.847,59.0405,7,2.20411998265592,2.73322699600151,2.36332423499757,1.77115002676758,-0.785498866623244,0.397675735665581,2.24457959114575,1.12797777856732,-1.47943868983591,-0.749064011241318,0.397675735665581,-0.785498866623244,2.24457959114575,1.12797777856732,-1.47943868983591,-0.749064011241318,0.67447302549084,-2.13242906039228,-2.21030531891225,1.53964653355532
"Ardisia_obovata","ARDOBO",18669.7679391243,3323.23962879181,6300.68536769226,7131.24713656679,7373.9005834572,4050.66095466539,14155,2876,4878,4230,4638,1762,12.4958803906652,16.7490252181495,18.508198041807,22.542231323639,NA,NA,NA,NA,2.96762781060877,4.04123049199772,5.41902841062799,5.93407452014863,33.4356303822334,0.703054259202135,1.7599531208935,1.18629691968357,13,11,13,18,"Ardisia_obovata",NA,NA,NA,NA,0.805142717,395.9377778,50.95726004,71.55747892,12,NA,2.59762694127568,1.70720606804198,1.85465503130255,0.577990830944288,NA,1.3634455660315,0.084683854472088,-1.09827686264102,-0.137138939093906,0.846866837774487,0.577990830944288,1.3634455660315,0.084683854472088,-1.09827686264102,-0.137138939093906,NA,NA,-1.51170916566838,-0.358497649915352
"Artocarpus_altilis","ARTALT",18263.539021356,3312.7680856213,6838.36291452311,9712.5500896126,9680.98383723386,6368.21575161256,19740,2598,6446,11215,10792,8194,0.748539501659245,1.16503723624005,1.72408306551873,2.267851091916,0.233812251109995,0.183365166202494,0.169637763522871,0.465032079946476,0.748539501659245,0.813510108983584,1.02010182091764,1.49592794301906,1.06388731101096,2.86769811680358,0.351990622300547,39.8676911495688,7,9,10,11,"Artocarpus_altilis",5898,NA,NA,5898,0.44683506,288,713.6953333,196.8713333,16,3.77070476821578,2.45939248775923,2.85351285700818,2.29418248253733,-1.32567708139327,1.84515000613272,0.465193122972424,1.90742702530474,0.907963210608834,0.352401118624023,1.84515000613272,-1.32567708139327,0.465193122972424,1.90742702530474,0.907963210608834,0.352401118624023,-2.31900799695131,-1.23515877252208,1.27210278010876,1.7099381523501
