"","code","species","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass"
"1","DENARB","Dendropanax arboreus",-1.25892632870825,-0.356089638885843,-0.0859772471972057,0.899234566635804,1.86209130610815,-0.174343823894696
"2","SCHGLE","Schefflera gleasonii",-1.16398455307331,-0.32222766560419,-0.0800904051492404,0.82765334185829,1.70259104172033,-0.163443725343224
"3","ILESID","Ilex sideroxyloides",0.473502849320311,-0.144729410117502,-0.0978821217454639,0.457490893060919,-1.33857836836199,0.119456288591285
"4","ILENIT","Ilex nitida",-0.185927581082855,0.0643380432321998,-0.0910468691650706,-0.235916670735848,0.32102812951142,-0.0480072451311757
"5","RAUNIT","Rauvolfia nitida",-1.25712353558052,-3.572507326884,-0.0969350428107958,4.01483895946855,-0.864405083255299,-0.134934216195963
"6","TABCIT","Tabernaemontana citrifolia",-0.757889534160756,-0.136840757910027,-0.0868587221217326,1.30288945860049,-1.10149172580864,-0.172328099295731
"7","PLUOBT","Plumeria obtusa",-0.875910960893059,-0.141986894905402,-0.0906669608206172,1.05741881412474,-1.27930670772365,-0.0656817646033515
"8","PLUALB","Plumeria alba",-1.08622528060162,2.19413560647002,-0.0858759057112183,-1.20210863499483,-0.627318440701956,-0.171940798499599
"9","RANACU","Randia aculeata",1.64953456686605,-0.542570518009431,-0.101078042159286,-0.129390411068575,-0.923676743893635,0.115641989974589
"10","COFARA","Coffea arabica",-0.122843349729745,-0.320087987946394,-0.0873045485403196,0.379347230629327,-0.864405083255299,-0.150273519520468
"11","GENAME","Genipa americana",-0.346466064521318,-0.903664831507673,-0.0757053952523393,0.200522458518249,0.676658093341435,-0.161260685632498
"12","IXOFER","Ixora ferrea",0.0477037252186782,-0.229620389085748,-0.0864030159495659,-0.0941886057869857,-0.627318440701956,-0.0797248938127476
"13","EXOCAR","Exostema caribaeum",1.37880932023055,-0.223857257659987,-0.100765332137807,-0.744373368673988,-0.390231798148612,-0.0722440451692898
"14","ERIFRU","Erithalis fruticosa",1.88385290023767,2.51509794062193,-0.0989990605651053,-1.22717069056419,-1.27930670772365,-0.184119967721285
"15","RONINE","Rondeletia inermis",0.503359803516287,0.376766099790656,-0.0987786389023781,-0.424882378114188,-1.10149172580864,-0.175401315270232
"16","NEORES","Neolaugeria resinosa",0.204296400933434,-0.748876167865792,-0.097960798930103,-0.382566729134085,0.795201414618107,-0.317924556591754
"17","GUEVAL","Guettarda valenzuelana",-0.474394605015494,1.69887584605839,-0.0823183341647964,-0.694070495480532,0.913744735894779,-0.613687352629834
"18","GUEELL","Guettarda elliptica",1.23894218806341,-0.319752370644583,-0.100787398325572,-0.168403386481798,-0.864405083255299,-0.163890930428843
"19","GUEOVA","Guettarda ovalifolia",0.142328368582694,-0.786372758769554,-0.0912849092587593,0.745854786674265,-0.508775119425284,-0.306981774016754
"20","GUEPUN","Guettarda pungens",0.715565241246658,1.23924088195726,-0.0956301030488688,-0.469186780975785,-0.0344129309728056,-0.398237551210571
"21","GUESCA","Guettarda scabra",0.79425763784144,1.47284245286385,-0.0961549053792915,-0.53589629268279,-0.0346018343185961,-0.409520650698665
"22","FAROCC","Faramea occidentalis",0.278754006172142,-0.72029337567854,-0.0897530968443631,0.693359929923957,-0.627318440701956,-0.135361411929778
"23","PSYBRA","Psychotria brachiata",-1.51829712732805,0.101000274257754,-0.0847276492538621,2.31389147450338,-1.10149172580864,-0.412931572993415
"24","PALRIP","Palicourea croceoides",-1.19938905052343,-1.2604326723096,-0.0846239958320203,1.39263751885054,-1.10149172580864,-0.148711553013654
"25","PSYGRA","Psychotria grandis",-2.03996936122437,-1.26921466693192,-0.0569663005889827,0.661998426542646,0.32102812951142,-0.300014121113708
"26","SOLRUG","Solanum rugosum",-0.146998332349072,-0.0515974844325955,-0.0419448613361048,0.155839547292244,-0.0501481956628391,-0.0919406700166198
"27","CHIDOM","Chionanthus domingensis",0.974768654765384,-0.400971838231225,-0.0833279274203736,-0.064186048382014,1.03228805717145,-0.0311117613233978
"28","CITCAU","Citharexylum caudatum",-0.282035172622252,0.336216106638213,-0.0928026704484713,0.593265841581884,-0.0280280940254045,-0.126814562782458
"29","CITSPI","Citharexylum spinosum",-0.0688719078683502,0.741619762151941,-0.0926803594092671,0.299771037901655,0.558114772064763,-0.16565345610516
"30","CRECUJ","Crescentia cujete",0.0246029955864301,1.12862056877043,-0.0627500061314436,-0.367807836307748,0.192565597471343,-0.168564192057931
"31","TABSCH","Tabebuia schumanniana",0.296446630185054,1.66005607322177,-0.0754159610900825,-0.912842125755711,0.676658093341435,-0.173445359399751
"32","TABRIG","Tabebuia rigida",0.0283568587265569,1.22230586061163,-0.0681861578294278,-0.289591472324667,0.236131704895011,-0.171035320526159
"33","TABHET","Tabebuia heterophylla",0.547935141348586,0.850736928998727,-0.0687014067765603,-0.34384044341433,-0.27168847687194,-0.174076821073019
"34","TABHAE","Tabebuia haemantha",-0.106635008559561,0.830939785228376,-0.0541297943551621,-0.145511784610838,-0.0586986838895603,-0.165062791293073
"35","TECSTA","Tecoma stans",-0.64168672799642,0.445295566564932,-0.0320644886632392,0.236192592692918,-0.290745693863921,-0.160786879071996
"36","SPACAM","Spathodea campanulata",-1.98602884960967,-0.577171097881579,0.0387082823866796,1.18054629537769,-1.10149172580864,-0.174744328127213
"37","PETDOM","Petitia domingensis",-0.471821963051865,2.10888872622737,-0.0861925089730903,-0.730218172627138,1.26937469972479,-0.173747072588247
"38","COROBO","Cornutia obovata",-0.37852582139017,1.38771238782944,-0.0748313668982533,-0.335749788933085,0.663745879996033,-0.152250941895736
