"","sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019","species","seedmass","ss.guanica","ss.swenson","ss","WD","THK","LA.wp","SLA.wp","MAXHT","ss.log","thk.log","la.log","sla.log","wd.z","ss.log.z","thk.log.z","la.log.z","sla.log.z","maxht.z","ss.log.z_pi","wd.z_pi","thk.log.z_pi","la.log.z_pi","sla.log.z_pi","maxht.z_pi","pca1","pca2","pca1_pi","pca2_pi"
"Amyris_elemifera","AMYELE",8611,2768,4442,3819,4316,1548,7.80184024605615,9.8427595631811,10.9465015603469,15.0809135946801,6,7,7,9,"Amyris_elemifera",63.1696,8.2,NA,8.2,0.911156945,225.6262626,27.46144804,74.89156875,8,0.913813852383717,2.35338964955967,1.43872343381847,1.87443292782689,1.14298472164886,-0.802455695827428,-0.220548256588773,-0.346644416942019,-1.01663139118354,-0.625601018074375,-0.802455695827428,1.14298472164886,-0.220548256588773,-0.346644416942019,-1.01663139118354,-0.625601018074375,1.644419392026,0.41712696337102,-1.0134625399929,-1.16806373833645
"Anadenanthera_peregrina","ANAPER",34397,4279,9477,15134,14762,10483,NA,NA,0.0848188817614354,0.0620042773261967,NA,NA,1,1,"Anadenanthera_peregrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205392299440251,0.381290343210667,-1.46093209132835,0.19255705565809,0.167830791066517,-0.762561999607533,NA,NA,0.936789903505903,-0.742741499750554
"Andira_inermis","ANDINE",23538,3048,7266,10919,10896,7848,22.6844740272268,22.5003944109716,19.149498597528,18.3004253842594,66,70,73,73,"Andira_inermis",792,NA,13520,13520,0.738835596,161.9027778,385.2892141,189.8808778,28,4.13097669160562,2.20925430009904,2.58578685141524,2.27848123075021,0.225371717835673,2.17924149927562,-1.15904395827446,1.40235519039407,0.827005411312261,1.80715932670589,2.17924149927562,0.225371717835673,-1.15904395827446,1.40235519039407,0.827005411312261,1.80715932670589,-2.23851098173438,-1.04554538775358,2.41829220483524,-0.0647616077705614
"Annona_glabra","ANNGLA",26410,3719,7069,8139,8830,5111,NA,NA,NA,NA,NA,NA,NA,NA,"Annona_glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18892770422346,-0.687345576374224,0.0473995925215702,-0.0482169533194531,0.0991003716236631,0.220054168445427,NA,NA,0.137153993052026,0.402204479925539
"Annona_montana","ANNMON",10235,1033,2225,4303,4522,3489,NA,NA,NA,NA,NA,NA,NA,NA,"Annona_montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18892770422346,-0.687345576374224,0.0473995925215702,-0.0482169533194531,0.0991003716236631,0.220054168445427,NA,NA,0.137153993052026,0.402204479925539
"NA.2","ARDELL",27399,5126,10464,14601,14608,9482,NA,NA,NA,NA,NA,NA,NA,NA,"Ardisia_elliptica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardisia_glauciflora","ARDGLA",5284,930,2368,3054,2705,1775,NA,NA,NA,NA,NA,NA,NA,NA,"Ardisia_glauciflora",NA,NA,160,160,0.5485072,541.037037,230.847,59.0405,7,2.20411998265592,2.73322699600151,2.36332423499757,1.77115002676758,-0.788129001477442,0.393412328803682,2.25265292764073,1.06315247257343,-1.48790216768179,-0.747239035313388,0.393412328803682,-0.788129001477442,2.25265292764073,1.06315247257343,-1.48790216768179,-0.747239035313388,0.787139168204594,-2.07992868068787,-2.31613445156351,1.46582190104603
"Ardisia_obovata","ARDOBO",14284,2937,4786,4068,4539,1602,12.4958803906652,16.7490252181495,18.508198041807,22.542231323639,13,11,13,18,"Ardisia_obovata",NA,NA,NA,NA,0.805142717,395.9377778,50.95726004,71.55747892,12,NA,2.59762694127568,1.70720606804198,1.85465503130255,0.578457837623504,NA,1.36973233262533,0.062727911239529,-1.10687619024448,-0.139048949118323,0.849278948258641,0.578457837623504,1.36973233262533,0.062727911239529,-1.10687619024448,-0.139048949118323,NA,NA,-1.5506516395687,-0.387599762241639
"Artocarpus_altilis","ARTALT",12866,1005,3557,6445,6547,5542,0.748539501659245,1.16503723624005,1.72408306551873,2.267851091916,7,9,10,11,"Artocarpus_altilis",5898,NA,NA,5898,0.44683506,288,713.6953333,196.8713333,16,3.77070476821578,2.45939248775923,2.85351285700818,2.29418248253733,-1.32953422103335,1.8453380454779,0.469658610699868,1.8105738394002,0.898648839661143,0.347503119837729,1.8453380454779,-1.32953422103335,0.469658610699868,1.8105738394002,0.898648839661143,0.347503119837729,-2.23926598241502,-1.29170125519411,1.14761304657996,1.72688677162302
"Avicennia_germinans","AVIGER",20428,1510,3560,5205,5515,4005,3.36649552385424,2.96890608926326,4.02881951357408,7.5776525533242,2,1,1,2,"Avicennia_germinans",10120,NA,NA,10120,NA,NA,NA,NA,NA,4.00518051250378,NA,NA,NA,NA,2.06265240101494,NA,NA,NA,NA,2.06265240101494,2.43078807994306,-3.74876260657396,-0.000571046465502142,4.06655190485212,1.42058069469316,NA,NA,5.58605690292826,-3.1176932328134
