"","sp","total_hab_raw","fcover_51_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_00","tot_change","species","seedmass","ss.guanica","ss.swenson","ss","WD","THK","LA.wp","SLA.wp","MAXHT","ss.log","thk.log","la.log","sla.log","wd.z","ss.log.z","thk.log.z","la.log.z","sla.log.z","maxht.z","ss.log.z_pi","wd.z_pi","thk.log.z_pi","la.log.z_pi","sla.log.z_pi","maxht.z_pi","pca1","pca2","pca1_pi","pca2_pi"
"Acnistus_arborescens","ACNARB",23208.0878070565,2575.0804040581,9775.00858571567,7199.92818165757,36157,3913,15001,11088,"Acnistus_arborescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.08414367785811,-1.14691595345796,2.6805751627561,0.137261474885305,-1.48338004974523,-1.35942823325585,NA,NA,-3.22437912218601,1.57880497343058
"Adenanthera_pavonina","ADEPAV",15369.6289478161,2765.64882960613,6226.01144289365,3460.36261328752,11198,2383,3905,1522,"Adenanthera_pavonina",234,NA,NA,234,0.60277991,152.4444444,1233.654518,150.8393019,6.5,2.36921585741014,2.18311160180479,3.09119355359225,2.17851451377814,-0.499126247395113,0.546424759718368,-1.32926458819922,2.17298051946664,0.370866090590057,-0.808058043932894,0.546424759718368,-0.499126247395113,-1.32926458819922,2.17298051946664,0.370866090590057,-0.808058043932894,-1.72281896325415,0.410086486405826,1.49479087797032,0.97699004186971
"Adelia_ricinella","ADERIC",16498.1249974613,1930.4656107051,5561.33126886594,3630.86565816084,18183,1730,4643,2913,"Adelia_ricinella",NA,NA,NA,NA,0.817326947,136.6666667,23.93057147,138.3520253,4,NA,2.135662602106,1.37895306983384,2.14098552104962,0.643338991086682,NA,-1.63821504645419,-0.437780043391061,0.199624603732434,-1.11215308703043,-0.460752861422876,0.643338991086682,-1.63821504645419,-0.437780043391061,0.199624603732434,-1.11215308703043,NA,NA,0.702692019382308,-1.23242951831923
"Aiphanes_acanthophylla","AIPMIN",25312.0716615897,3853.97564497963,10696.2924508248,6842.31680584513,39906,6002,16614,10612,"Aiphanes_acanthophylla",NA,NA,NA,NA,NA,192.1111111,45.22604067,174.0977514,8,NA,2.28355248380948,1.65538856894343,2.24079316192217,NA,NA,-0.675272792379095,-0.0162814828237727,0.65503807422986,-0.625601018074375,-0.170774231508598,-1.60467475768684,-0.675272792379095,-0.0162814828237727,0.65503807422986,-0.625601018074375,NA,NA,0.792587030701612,0.986596558176627
"Albizia_lebbeck","ALBLEB",18095.7847298993,2002.28711956437,6819.8059877773,4817.51886821294,11136,519,3682,3163,"Albizia_lebbeck",123,NA,NA,123,NA,NA,NA,NA,NA,2.0899051114394,NA,NA,NA,NA,0.287556897119118,NA,NA,NA,NA,0.287556897119118,-0.391388115007665,-0.786014489192088,0.727007164333104,-0.344190433425272,-0.560997853060671,NA,NA,0.400045759260772,0.3026873244669
"Albizia_procera","ALBPRO",21779.7266468466,2335.88255340559,8215.93268968863,5880.05013628304,17004,1141,5121,3980,"Albizia_procera",36,NA,NA,36,NA,NA,NA,NA,NA,1.55630250076729,NA,NA,NA,NA,-0.206991090363388,NA,NA,NA,NA,-0.206991090363388,-0.933591479795947,0.0657215691758929,0.727124263712248,-1.18277503474601,-0.822784528051559,NA,NA,-0.819360874772601,0.988509136823908
"Alchornea_latifolia","ALCLAT",16515.0947821327,2852.26542023383,8553.89122007787,5701.62579984404,17190,2783,9689,6906,"Alchornea_latifolia",34,NA,21.8636,21.8636,0.430138969,179.302682,179.2952453,163.8239611,27,1.33972167323172,2.25358678576458,2.25356877273367,2.21437742253101,-1.41844108198445,-0.407720266425885,-0.87038578109693,0.895801428631374,0.534505383078056,1.68552130946687,-0.407720266425885,-1.41844108198445,-0.87038578109693,0.895801428631374,0.534505383078056,1.68552130946687,-2.05743924685668,-0.333010406550289,1.4955528220551,1.47918908436104
"Allophylus_crassinervis","ALLCRA",23046.4752202332,3716.12679517269,10692.506432116,6976.37963694334,21840,3915,12058,8143,"Allophylus_crassinervis",NA,NA,NA,NA,0.881489862,207.25,16.15970792,118.3069046,8,NA,2.31649453922231,1.20843350681736,2.07301009156094,0.985007191273302,NA,-0.460780112232793,-0.697781926620653,-0.110541291196641,-0.625601018074375,-1.08921309142737,0.985007191273302,-0.460780112232793,-0.697781926620653,-0.110541291196641,-0.625601018074375,NA,NA,-0.410552452295016,-1.22017556014424
"Allophylus_racemosus","ALLRAC",25928.9766412079,4311.01733610034,11442.1991110593,7131.18177495897,7935,2598,3863,1265,"Allophylus_racemosus",18.55,NA,NA,18.55,0.686336981,204.2888889,235.0207448,242.4582029,8,1.26834391395106,2.31024474636498,2.37110619824849,2.38463688184788,-0.0541839616302661,-0.473873854315563,-0.501473833481437,1.07501812050655,1.31138429309586,-0.625601018074375,-0.473873854315563,-0.0541839616302661,-0.501473833481437,1.07501812050655,1.31138429309586,-0.625601018074375,-0.997947107110485,0.998197712504892,1.05791559035876,0.449462835920338
"NA","ALSBRY",7721.89889941993,1357.86107892334,4458.71411817125,3100.85303924792,2308,1041,1703,662,"Alsophila_bryophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1","ALSPOR",18062.4011813451,2687.45718622138,8907.73385173944,6220.27666551806,16425,2088,9666,7578,"Alsophila_portoricensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amyris_elemifera","AMYELE",14281.2539627161,2719.40464473702,6031.10212249681,3311.69747775979,9005,2855,4361,1506,"Amyris_elemifera",63.1696,8.2,NA,8.2,0.911156945,225.6262626,27.46144804,74.89156875,8,0.913813852383717,2.35338964955967,1.43872343381847,1.87443292782689,1.14298472164886,-0.802455695827428,-0.220548256588773,-0.346644416942019,-1.01663139118354,-0.625601018074375,-0.802455695827428,1.14298472164886,-0.220548256588773,-0.346644416942019,-1.01663139118354,-0.625601018074375,1.644419392026,0.41712696337102,-1.0134625399929,-1.16806373833645
"Anadenanthera_peregrina","ANAPER",23233.9283588724,2758.96074634418,9916.04881385993,7157.08806751575,36716,4267,15448,11181,"Anadenanthera_peregrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205392299440251,0.381290343210667,-1.46093209132835,0.19255705565809,0.167830791066517,-0.762561999607533,NA,NA,0.936789903505903,-0.742741499750554
"Andira_inermis","ANDINE",28215.6413019747,3942.96304796636,12300.0861826539,8357.12313468754,25321,3084,11455,8371,"Andira_inermis",792,NA,13520,13520,0.738835596,161.9027778,385.2892141,189.8808778,28,4.13097669160562,2.20925430009904,2.58578685141524,2.27848123075021,0.225371717835673,2.17924149927562,-1.15904395827446,1.40235519039407,0.827005411312261,1.80715932670589,2.17924149927562,0.225371717835673,-1.15904395827446,1.40235519039407,0.827005411312261,1.80715932670589,-2.23851098173438,-1.04554538775358,2.41829220483524,-0.0647616077705614
"Annona_glabra","ANNGLA",27556.4920773432,4023.28728377074,11458.220439069,7434.93315529823,28562,3806,9283,5477,"Annona_glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18892770422346,-0.687345576374224,0.0473995925215702,-0.0482169533194531,0.0991003716236631,0.220054168445427,NA,NA,0.137153993052026,0.402204479925539
"Annona_montana","ANNMON",21405.031229848,2935.49400096759,9668.63581104949,6733.1418100819,11042,1069,4768,3699,"Annona_montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18892770422346,-0.687345576374224,0.0473995925215702,-0.0482169533194531,0.0991003716236631,0.220054168445427,NA,NA,0.137153993052026,0.402204479925539
"NA.2","ARDELL",19255.9408798255,3401.04056136496,10012.0045293625,6610.96396799758,29094,5163,15237,10074,"Ardisia_elliptica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardisia_glauciflora","ARDGLA",5011.36789099107,811.531582268343,2565.69218403565,1754.16060176731,5538,973,2773,1800,"Ardisia_glauciflora",NA,NA,160,160,0.5485072,541.037037,230.847,59.0405,7,2.20411998265592,2.73322699600151,2.36332423499757,1.77115002676758,-0.788129001477442,0.393412328803682,2.25265292764073,1.06315247257343,-1.48790216768179,-0.747239035313388,0.393412328803682,-0.788129001477442,2.25265292764073,1.06315247257343,-1.48790216768179,-0.747239035313388,0.787139168204594,-2.07992868068787,-2.31613445156351,1.46582190104603
"Ardisia_obovata","ARDOBO",19189.6007692255,3323.60853717104,7362.99701456726,4039.38847739622,15233,3040,4749,1709,"Ardisia_obovata",NA,NA,NA,NA,0.805142717,395.9377778,50.95726004,71.55747892,12,NA,2.59762694127568,1.70720606804198,1.85465503130255,0.578457837623504,NA,1.36973233262533,0.062727911239529,-1.10687619024448,-0.139048949118323,0.849278948258641,0.578457837623504,1.36973233262533,0.062727911239529,-1.10687619024448,-0.139048949118323,NA,NA,-1.5506516395687,-0.387599762241639
