"sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"CEDODO",41940,6796,13481,18494,18553,11757,0.142452754730523,0.492698293497575,0.113091842348581,0.124008554652393,3,5,4,4
"CEIPEN",25791,3283,6431,7692,8336,5053,NA,0.437905391230215,0.41505585191764,0.445375904301178,NA,2,2,2
"CELTRI",3864,585,1153,1001,1274,689,NA,NA,NA,NA,NA,NA,NA,NA
"CESCIT",32128,5994,12183,17496,17339,11345,NA,NA,NA,NA,NA,NA,NA,NA
"CESLAU",25497,4194,9383,13320,13246,9052,NA,NA,NA,NA,NA,NA,NA,NA
"CESMAC",16644,3845,6872,10578,9972,6127,0.119850047325576,0.794085774057738,1.47754702726208,1.60067068017311,3,3,3,3
"CHICOM",15523,2649,5299,5403,5327,2678,NA,NA,NA,NA,NA,NA,NA,NA
"CHIDOM",18183,4254,8065,10119,9898,5644,0.383119653039566,0.436229827001132,0.760527165775383,1.57484843645699,2,3,4,4
"CHIHOL",2409,681,1132,951,1082,401,NA,NA,NA,NA,NA,NA,NA,NA
"CHIVEN",19349,3171,6533,7100,6916,3745,NA,NA,NA,NA,NA,NA,NA,NA
"CHRARG",20647,3388,7124,7749,7660,4272,NA,1.11272541249493,1.05597186690164,0.771923148896948,NA,3,3,2
"CHRCAI",37211,5928,11762,15599,15822,9894,0.988193796319687,0.470792880049492,0.504463861733567,0.452491581840514,4,3,4,2
"CHRICA",10852,920,1539,2598,2613,1693,0.383119653039566,3.86679839982115,4.5758780899071,3.08769259558779,1,1,1,1
"CHROLI",14591,1378,2673,3461,3753,2375,NA,NA,NA,NA,NA,NA,NA,NA
"CHRPAU",16559,1660,4019,5931,6266,4606,0.354629102093461,NA,0.0282729605871451,0.0310021386630984,1,NA,1,1
"CINELO",26008,4089,9208,14423,14087,9998,4.46356633650083,3.48977992733152,3.75384532746545,3.10494047367285,10,29,31,33
"CINMON",19325,3424,7834,10096,9903,6479,0.440100754931775,0.0940092108867744,0.473413792022098,0.581025866558751,4,2,4,5
"CITCAU",6541,1564,3216,4081,3746,2182,NA,0.703054254512936,NA,NA,NA,1,NA,NA
"CITSIN",10341,1515,3975,6597,6232,4717,NA,NA,NA,NA,NA,NA,NA,NA
"CITSPI",25174,3066,7630,9332,9607,6541,NA,NA,0.0931502091344064,0.13306001478408,NA,NA,1,1
"CLIEGG",10229,1922,4243,6990,6473,4551,NA,NA,NA,NA,NA,NA,NA,NA
"CLIERO",1466,885,1091,1275,1217,332,NA,NA,NA,NA,NA,NA,NA,NA
"CLIHIR",34532,3972,9134,14803,14469,10497,NA,NA,NA,NA,NA,NA,NA,NA
"CLUCLU",5349,1252,2183,3396,3228,1976,1.01079650372463,0.0847026997446644,NA,NA,6,2,NA,NA
"CLUGUN",10226,2296,4459,7186,6616,4320,NA,NA,NA,NA,NA,NA,NA,NA
"CLUMIN",22894,4223,7103,7374,7902,3679,NA,NA,NA,NA,NA,NA,NA,NA
"CLUROS",13384,2874,4473,4009,4453,1579,3.02761448196668,4.26034341238963,4.24158087349987,4.67245994482406,15,15,15,14
"COCCOS",6087,2079,3325,2853,3209,1130,NA,NA,NA,NA,NA,NA,NA,NA
"COCDIV",18165,3355,5384,4479,5171,1816,7.6425678383889,10.8487007478339,9.41305565517212,9.6776648401679,16,16,13,15
"COCKRU",3634,654,1061,796,963,309,3.90092012302807,5.27290690884702,4.92786871220765,5.78942361672711,2,1,1,1
"COCMIC",5286,954,1716,1615,1839,885,5.68750599124629,11.1239029964911,11.6138183307329,15.3097376675278,5,8,9,10
"COCPUB",11373,2903,4978,5018,5442,2539,5.9954019168727,NA,NA,NA,1,NA,NA,NA
"COCPYR",4633,1842,2612,3462,3245,1403,NA,NA,0.41505585191764,0.445375904301178,NA,NA,2,2
"COCRUG",12265,1586,4532,6003,5512,3926,NA,4.91605389578393,4.64139469596593,5.80123271893312,NA,1,1,1
"COCSIN",559,335,415,432,442,107,0.354629102093461,0.0282342332482215,1.78822607208988,1.92980787224237,1,1,2,1
"COCSWA",12535,2325,5083,8209,7773,5448,0.354629102093461,NA,NA,NA,1,NA,NA,NA
"COCUVI",37211,5928,11762,15599,15822,9894,NA,NA,NA,NA,NA,NA,NA,NA
"COCVEN",24360,3318,7491,7677,8299,4981,NA,0.703054254512936,0.703981244601093,0.416963713111572,NA,1,1,1
"COFARA",20481,2520,6191,11437,11209,8689,11.4486258744615,12.8294086734094,5.2798593345082,2.70173102113932,13,13,7,4
"COJARB",17914,3654,5717,4790,5447,1793,0.600134966498647,0.379761360504689,0.380263582887692,0.416963713111572,1,2,2,2
"COLARB",9757,2254,3589,3153,3613,1359,1.77314551046731,1.63868463192797,0.773565782660989,0.82874753127616,1,2,1,1
"COLELL",3755,543,843,517,684,141,NA,NA,NA,NA,NA,NA,NA,NA
"COLVER",5653,910,1966,1949,2282,1372,NA,NA,NA,NA,NA,NA,NA,NA
"COMDOD",5826,862,1504,1094,1379,517,0.709258204186922,0.703054254512936,0.703981244601093,0.771923148896948,1,1,1,1
"COMGLA",4476,1830,2852,2452,2745,915,0.354629102093461,0.351527127256468,1.05597186690164,1.5438462977939,1,1,2,3
"CONERE",16080,1852,3367,4198,4677,2825,0.794729857025236,0.787756954257601,0.436809504061982,0.478967990437769,1,1,1,1
"CORALL",20807,2331,6094,11137,10813,8482,2.53141735501346,4.72480747263899,3.96169403770595,2.65730170433875,11,20,26,24
"CORBOR",14950,2375,5740,8688,7941,5566,3.41958632640999,1.81410410277878,1.11251778807593,1.21988900067162,8,6,4,4
"CORCOL",14162,955,3040,5148,5557,4602,NA,0.351527127256468,0.351990622300547,0.385961574448474,NA,1,1,1
"CORHIR",6955,824,1385,992,1290,466,NA,NA,NA,NA,NA,NA,NA,NA
"CORLAE",32024,4385,9105,11495,12138,7753,2.30349294744462,NA,NA,0.155010693315492,3,NA,NA,3
"COROBO",37211,5928,11762,15599,15822,9894,NA,NA,NA,0.0310021386630984,NA,NA,NA,1
"CORRIC",21049,2531,4966,6049,6686,4155,0.709258204186922,NA,NA,NA,1,NA,NA,NA
"CORSUL",14668,1966,4642,9048,8331,6365,2.849816529091,6.5624338644174,6.76174310384543,6.54208552765846,23,33,33,27
"CRECUJ",21394,3303,5678,6088,6744,3441,0.0343783944872623,0.0328874888192764,NA,0.03326500369602,1,1,NA,1
"CRELIN",7531,846,1548,1474,1747,901,NA,NA,NA,NA,NA,NA,NA,NA
"CREPOR",10487,1145,1723,1450,1673,528,NA,NA,NA,NA,NA,NA,NA,NA
"CRIPOR",27958,5461,10879,15033,15050,9589,NA,NA,NA,NA,NA,NA,NA,NA
"CROAST",5547,762,1655,1673,2024,1262,1.63935808428047,2.39988291716644,0.738773513631041,NA,2,3,2,NA
"CROBET",14257,1599,3124,2895,3534,1935,NA,NA,NA,NA,NA,NA,NA,NA
"CRODIS",5043,705,1225,897,1122,417,NA,NA,NA,NA,NA,NA,NA,NA
"CROFLA",8893,1195,2502,1829,2349,1154,1.49213030034272,0.819342315963987,NA,NA,3,1,NA,NA
"CROGLA",4959,743,1207,798,1039,296,NA,NA,NA,NA,NA,NA,NA,NA
"CROIMP",6988,1011,1967,4036,4062,3051,NA,NA,NA,NA,NA,NA,NA,NA
"CROPOE",914,590,786,844,802,212,1.26332116290312,1.13928408151407,0.732254205188238,0.0310021386630984,3,3,2,1
"CRORHA",3468,642,1114,780,950,308,3.90092012302807,4.56985265433408,4.5758780899071,6.56134676562406,2,3,3,3
"CSSGUI",18644,3927,8048,10854,10310,6383,NA,0.0328874888192764,0.703981244601093,0.771923148896948,NA,1,1,1
"CUPAME",26833,3890,8075,11778,11860,7970,3.85371716401348,5.18008244771806,4.1588975322994,4.69598768565406,15,19,20,24
"CYAARB",14895,2579,5889,9958,9324,6745,2.84187178284383,6.81547468848218,6.05731249040536,2.81210403568992,8,15,18,9
"CYABOR",32128,5994,12183,17496,17339,11345,NA,NA,NA,NA,NA,NA,NA,NA
"CYNFLE",12773,1861,3034,2391,2821,960,NA,1.75763563628234,0.703981244601093,0.771923148896948,NA,2,1,1
"CYNHAS",8058,908,1866,1415,1895,987,NA,2.46068989079528,2.46393435610383,1.92980787224237,NA,1,1,1
"CYNPOR",12996,2109,3464,2734,3222,1113,NA,NA,NA,NA,NA,NA,NA,NA
"CYRRAC",855,718,799,833,822,104,0.142452754730523,0.0282342332482215,0.0282729605871451,0.0310021386630984,2,1,1,1
"DACEXC",11829,2072,4276,6835,6196,4124,0.696515713446717,1.18936503953284,1.19391799214969,1.14362173041356,5,6,6,4
"DAPAME",5550,1140,2212,3790,3413,2273,0.0343783944872623,1.69980635399547,1.63750466533206,1.78602934727056,1,3,4,5
"DAPHEL",9904,2025,3124,2473,2835,810,NA,NA,NA,NA,NA,NA,NA,NA
"DAPPHI",11597,2426,4685,8010,7352,4926,0.354629102093461,0.351527127256468,0.351990622300547,NA,1,1,1,NA
"DELREG",30227,3746,8173,12671,12473,8727,0.119850047325576,0.881766165144375,1.70457764069526,1.76538699850143,2,4,5,4
"DENARB",22628,4449,8591,13916,13370,8921,8.48151816966793,9.40418724283026,10.3214144318211,8.80362053944359,25,22,24,26
"DENLAU",12834,1905,4705,7617,7231,5326,NA,NA,NA,NA,NA,NA,NA,NA
"DIOSIN",8218,2860,4429,3812,4250,1390,NA,NA,NA,NA,NA,NA,NA,NA
"DITMYR",1906,800,1152,1472,1270,470,0.709258204186922,0.703054254512936,0.732254205188238,NA,1,1,2,NA
"DRYALB",12030,3259,5564,6020,6322,3063,2.83703281674769,NA,NA,NA,2,NA,NA,NA
"DRYGLA",3440,1501,2157,2588,2399,898,0.440100754931775,0.351527127256468,0.0282729605871451,0.0310021386630984,3,1,1,1
"DRYILI",13403,2722,4395,3688,4163,1441,NA,NA,NA,NA,NA,NA,NA,NA
"ELAXYL",16056,2202,3833,3699,4136,1934,NA,NA,NA,NA,NA,NA,NA,NA
"ERIFRU",12258,1712,2858,2283,2689,977,1.41851640837384,0.703054254512936,0.735031314312562,0.03326500369602,2,1,2,1
"ERYARE",4761,683,1117,713,936,253,NA,0.819342315963987,2.31695514866449,2.52436041003091,NA,1,3,3
"ERYBER",34397,4279,9477,15134,14762,10483,4.32430601409606,3.86679839982115,3.9284427664803,NA,2,1,1,NA
"ERYBRE",16643,1840,3553,2724,3260,1420,NA,NA,NA,NA,NA,NA,NA,NA
"ERYPOE",24581,3735,7123,11890,11893,8158,1.95983687634983,2.94067185601504,2.62737633281469,1.40590183265021,11,15,16,9
"ERYROT",12104,1299,2547,2216,2754,1455,NA,3.86679839982115,3.87189684530601,4.63153889338169,NA,4,4,5
"ERYRUF",10371,1137,1713,1430,1656,519,0.428242994062336,0.409671157981994,0.738773513631041,1.24312129691424,1,1,2,2
"ERYURB",18030,3662,5727,4810,5464,1802,NA,NA,NA,NA,NA,NA,NA,NA
"EUGAXI",7156,890,1712,1353,1688,798,NA,NA,NA,NA,NA,NA,NA,NA
"EUGBIF",26923,3596,8408,9510,9860,6264,8.54339722673851,9.02237117986535,9.50090950673547,11.5254851769982,14,11,13,16
"EUGBOR",6049,1369,2844,3540,3168,1799,1.85861716330562,1.43434274227409,1.08424482748878,1.5438462977939,4,4,3,3
"EUGCON",559,335,415,432,442,107,0.383119653039566,1.08281561501763,0.0282729605871451,0.0310021386630984,2,2,1,1
"EUGCOR",13242,1068,2868,6058,6188,5120,0.0569811018922092,NA,NA,NA,1,NA,NA,NA
"EUGDOM",21153,3458,7304,7913,7713,4255,NA,NA,NA,1.15788472334542,NA,NA,NA,1
"EUGEGG",9890,2095,4205,6875,6310,4215,NA,NA,NA,NA,NA,NA,NA,NA
"EUGFOE",13728,2191,3625,2860,3399,1208,NA,NA,NA,NA,NA,NA,NA,NA
"EUGLIG",15039,1934,3338,2859,3420,1486,NA,3.01488334347654,1.86432991859258,3.22975355153582,NA,2,3,4
"EUGMON",29160,4289,9784,10670,11160,6871,12.3201620557813,23.4007937814484,23.3139440405266,20.1729321258913,12,22,22,22
"EUGPAD",8218,2860,4429,3812,4250,1390,NA,NA,NA,NA,NA,NA,NA,NA
"EUGPSE",19863,2926,6108,6131,6277,3351,0.0569811018922092,3.98042351836889,1.82953764956263,1.98663225462158,1,3,3,3
"EUGRHO",17257,1781,4518,6426,6960,5179,5.11203521324621,2.22545082498986,5.48861294868788,5.78942361672711,4,3,4,6
"EUGSTA",8069,1986,3509,5753,5183,3197,NA,0.0282342332482215,0.0282729605871451,0.0310021386630984,NA,1,1,1
"EUGSTE",24585,3477,8179,14136,13548,10071,NA,NA,NA,NA,NA,NA,NA,NA
"EUGWOO",2799,574,917,700,852,278,NA,NA,NA,NA,NA,NA,NA,NA
"EUPPET",7098,830,1567,1163,1549,719,NA,NA,NA,NA,NA,NA,NA,NA
"EXOCAR",7343,916,1857,1338,1801,885,11.0219927158434,7.26311866803146,9.09985736189759,12.1094597113242,10,8,12,11
"EXOPAN",12271,2488,4590,4059,4353,1865,NA,2.10916276353881,2.11194373380328,2.31576944669084,NA,2,2,3
"FAROCC",20981,3372,7341,8111,8075,4703,2.12777461256077,1.40610850902587,3.87189684530601,5.01750046783016,3,4,8,7
"FICAME",16355,3171,6871,9466,8869,5698,0.0284905509461046,0.0282342332482215,0.0282729605871451,0.0310021386630984,1,1,1,1
"FICCIT",33555,4597,10071,12386,12855,8258,2.03544831252341,1.40269869189017,1.46012464249464,2.01566697283914,10,11,11,12
"FICCRA",37211,5928,11762,15599,15822,9894,NA,NA,NA,NA,NA,NA,NA,NA
"FICTRI",33838,3944,9062,14702,14320,10376,0.0284905509461046,0.056468466496443,0.0565459211742903,0.0620042773261967,1,2,2,2
"FORSEG",3128,493,743,450,613,120,NA,NA,NA,NA,NA,NA,NA,NA
"GARHES",3322,557,1151,1699,1712,1155,NA,NA,NA,NA,NA,NA,NA,NA
"GARPOR",8813,1036,3138,4069,3702,2666,NA,NA,NA,NA,NA,NA,NA,NA
"GAUATT",13158,1000,1737,2533,2797,1797,NA,NA,NA,NA,NA,NA,NA,NA
"GENAME",22010,2473,6449,8315,8041,5568,2.48240371465423,NA,NA,NA,1,NA,NA,NA
"GESPED",16273,3025,5750,9093,9148,6123,2.56945796437401,NA,NA,NA,1,NA,NA,NA
"GOEELE",9098,1657,3902,4041,4000,2343,NA,NA,NA,NA,NA,NA,NA,NA
"GOMLIN",9157,1532,3611,6121,5681,4149,0.709258204186922,NA,NA,NA,1,NA,NA,NA
"GONHIR",25085,5040,9716,15081,14442,9402,NA,NA,NA,NA,NA,NA,NA,NA
"GONPOR",720,530,621,671,637,107,NA,NA,NA,NA,NA,NA,NA,NA
"GOSHIR",7365,653,1249,1204,1515,862,NA,NA,NA,NA,NA,NA,NA,NA
"GUABLA",8721,2050,3581,6372,6114,4064,NA,NA,NA,NA,NA,NA,NA,NA
"GUACAR",1095,530,703,810,765,235,NA,NA,NA,NA,NA,NA,NA,NA
"GUAFRA",26532,3659,8642,9373,9563,5904,3.52757861286612,10.470124137087,12.9110955392733,15.1103481763795,13,29,33,35
"GUAGLA",7358,1917,3217,5195,4661,2744,2.03433549818947,1.75763563628234,2.46393435610383,2.31576944669084,4,4,5,5
"GUAGUI",26712,4183,9472,15287,14939,10756,68.9353872430989,74.1948086771722,81.8103031607381,79.7471769489127,74,87,96,93
"GUAOBT",8218,2860,4429,3812,4250,1390,NA,0.819342315963987,0.773565782660989,1.24312129691424,NA,1,1,1
"GUAOFF",5961,770,1481,1052,1335,565,0.772127149620289,0.0893559553157194,0.0875959908857591,0.0952692810222168,3,2,2,2
"GUASAN",1293,364,516,359,416,52,NA,NA,NA,NA,NA,NA,NA,NA
"GUAULM",16699,1369,4289,7549,7630,6261,1.87817344906085,2.13647405652204,3.43924573560607,4.42557902070317,10,14,19,18
"GUEELL",6405,841,1704,1185,1511,670,0.354629102093461,NA,NA,NA,1,NA,NA,NA
"GUEKRU",4346,624,1012,648,843,219,NA,NA,NA,NA,NA,NA,NA,NA
"GUEOVA",13601,2903,5942,9101,8662,5759,NA,0.351527127256468,0.0282729605871451,0.450228716807592,NA,1,1,3
"GUEPUN",7064,1864,3218,3797,3943,2079,NA,4.56985265433408,6.05342511716919,5.84624799910632,NA,2,3,2
"GUESCA",16373,3296,5547,5367,5853,2557,23.8364591434462,28.6424300770277,29.5162183592685,35.9904086953403,18,23,24,22
"GUEVAL",11848,1648,4591,6314,5986,4338,NA,NA,0.0282729605871451,0.0310021386630984,NA,NA,1,1
"GYMLAT",17593,3268,5257,4298,4990,1722,NA,2.04835578990997,1.54713156532198,3.56148069107858,NA,1,1,4
"GYMLUC",11118,2484,4072,3308,3852,1368,14.2942419459657,11.6914267190082,11.6467406056295,17.8678811893882,3,9,10,10
"HAESAL",3014,1205,1794,2110,1916,711,NA,NA,NA,NA,NA,NA,NA,NA
"HAMAXI",21641,3860,6616,6841,7311,3451,NA,NA,NA,NA,NA,NA,NA,NA
