CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
809322659290487,72,3,2,480540212489998,2,197190583020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322660290487,72,4,2,480540212489998,2,197190583020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322661290487,72,1,1,480540213489998,1,197190609020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322662290487,72,2,1,480540213489998,1,197190609020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322663290487,72,3,1,480540213489998,1,197190609020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322664290487,72,4,1,480540213489998,1,197190609020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322665290487,72,1,2,480540213489998,1,197190609020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322666290487,72,2,2,480540213489998,1,197190609020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322667290487,72,3,2,480540213489998,1,197190609020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322668290487,72,4,2,480540213489998,1,197190609020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322669290487,72,1,1,480540214489998,1,197190628020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322670290487,72,2,1,480540214489998,1,197190628020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322671290487,72,3,1,480540214489998,1,197190628020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322672290487,72,4,1,480540214489998,1,197190628020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322673290487,72,1,2,480540214489998,1,197190628020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322674290487,72,2,2,480540214489998,1,197190628020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322675290487,72,3,2,480540214489998,1,197190628020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322676290487,72,4,2,480540214489998,1,197190628020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322677290487,72,1,1,480540215489998,1,197190700020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322678290487,72,2,1,480540215489998,1,197190700020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322679290487,72,3,1,480540215489998,1,197190700020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322680290487,72,4,1,480540215489998,1,197190700020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322681290487,72,1,2,480540215489998,1,197190700020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322682290487,72,2,2,480540215489998,1,197190700020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322683290487,72,3,2,480540215489998,1,197190700020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322684290487,72,4,2,480540215489998,1,197190700020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322685290487,72,1,1,480540216489998,1,197190644020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322686290487,72,2,1,480540216489998,1,197190644020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322687290487,72,3,1,480540216489998,1,197190644020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322688290487,72,4,1,480540216489998,1,197190644020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322689290487,72,1,2,480540216489998,1,197190644020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322690290487,72,2,2,480540216489998,1,197190644020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322691290487,72,3,2,480540216489998,1,197190644020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322692290487,72,4,2,480540216489998,1,197190644020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322693290487,72,1,1,480540217489998,1,197190627020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322694290487,72,2,1,480540217489998,1,197190627020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322695290487,72,3,1,480540217489998,1,197190627020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322696290487,72,4,1,480540217489998,1,197190627020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322697290487,72,1,2,480540217489998,1,197190627020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
