STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
72,1,125,San German,13163790010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,127,San Juan,13163791010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,129,San Lorenzo,13163792010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,131,San Sebastian,13163793010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,133,Santa Isabel,13163794010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,135,Toa Alta,13163795010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,137,Toa Baja,13163796010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,139,Trujillo Alto,13163797010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,141,Utuado,13163798010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,143,Vega Alta,13163799010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,145,Vega Baja,13163800010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,149,Villalba,13163802010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,151,Yabucoa,13163803010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,1,153,Yuaco,13163804010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,,,
72,2,147,Vieques,13163801010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,NIMS_DEV_V2_1,2005-07-25 15:10:22,10478
72,3,49,Culebra,13163751010478,NIMS_DEV_V2_1,2005-07-25 14:44:52,10478,NIMS_DEV_V2_1,2005-07-25 15:10:22,10478
